PS100;PS80;PS60;PS40;PS20
0;0;0;0.552083;0.447917;
0;0;0.791667;0.208333;0;
0;0;0;0.166667;0.833333;
0;0;0.8125;0.1875;0;
0;0;0;0;1;
0;0;0.791667;0.208333;0;
0;0;0;0;1;
0;0;0.93125;0.06875;0;
0;0;0;0;1;
0;0;0.75;0.25;0;
0;0;0;0;1;
0;0;0.89375;0.10625;0;
0;0;0;0;1;
0;0;0.810417;0.189583;0;
0;0;0;0;1;
0;0;0.979167;0.0208333;0;
0;0;0;0;1;
0;0;0.835417;0.164583;0;
0;0;0;0;1;
0;0;0.9;0.1;0;
0;0;0;0;1;
0;0;0.660417;0.339583;0;
0;0;0;0;1;
0;0;0.714583;0.285417;0;
0;0;0;0;1;
0;0;0.533333;0.466667;0;
0;0;0;0;1;
0;0;0.65;0.35;0;
0;0;0;0;1;
0;0;0.5125;0.4875;0;
0;0;0;0;1;
0;0;0.677083;0.322917;0;
0;0;0;0;1;
0;0;0.50625;0.49375;0;
0;0;0;0;1;
0;0;0.585417;0.414583;0;
0;0;0;0;1;
0;0;0.354167;0.645833;0;
0;0;0;0;1;
0;0;0.416667;0.583333;0;
0;0;0;0;1;
0;0;0.270833;0.729167;0;
0;0;0;0;1;
0;0;0.472917;0.527083;0;
0;0;0;0;1;
0;0;0.435417;0.564583;0;
0;0;0;0;1;
0;0;0.641667;0.358333;0;
0;0;0;0;1;
0;0;0.45625;0.54375;0;
0;0;0;0;1;
0;0;0.495833;0.504167;0;
0;0;0;0;1;
0;0;0.239583;0.760417;0;
0;0;0;0;1;
0;0;0.335417;0.664583;0;
0;0;0;0;1;
0;0;0.29375;0.70625;0;
0;0;0;0;1;
0;0;0.627083;0.372917;0;
0;0;0;0;1;
0;0;0.560417;0.439583;0;
0;0;0;0;1;
0;0;0.654167;0.345833;0;
0;0;0;0;1;
0;0;0.370833;0.629167;0;
0;0;0;0;1;
0;0;0.429167;0.570833;0;
0;0;0;0;1;
0;0;0.354167;0.645833;0;
0;0;0;0;1;
0;0;0.63125;0.36875;0;
0;0;0;0;1;
0;0;0.602083;0.397917;0;
0;0;0;0;1;
0;0;0.704167;0.295833;0;
0;0;0;0;1;
0;0;0.445833;0.554167;0;
0;0;0;0;1;
0;0;0.516667;0.483333;0;
0;0;0;0;1;
0;0;0.404167;0.595833;0;
0;0;0;0;1;
0;0;0.69375;0.30625;0;
0;0;0;0;1;
0;0;0.622917;0.377083;0;
0;0;0;0;1;
0;0;0.725;0.275;0;
0;0;0;0;1;
0;0;0.508333;0.491667;0;
0;0;0;0;1;
0;0;0.554167;0.445833;0;
0;0;0;0;1;
0;0;0.433333;0.566667;0;
0;0;0;0;1;
0;0;0.65625;0.34375;0;
0;0;0;0;1;
0;0;0.560417;0.439583;0;
0;0;0;0;1;
0;0;0.68125;0.31875;0;
0;0;0;0;1;
0;0;0.4875;0.5125;0;
0;0;0;0;1;
0;0;0.583333;0.416667;0;
0;0;0;0;1;
0;0;0.477083;0.522917;0;
0;0;0;0;1;
0;0;0.727083;0.272917;0;
0;0;0;0;1;
0;0;0.65625;0.34375;0;
0;0;0;0;1;
0;0;0.816667;0.183333;0;
0;0;0;0;1;
0;0;0.639583;0.360417;0;
0;0;0;0;1;
0;0;0.745833;0.254167;0;
0;0;0;0;1;
0;0;0.570833;0.429167;0;
0;0;0;0;1;
0;0;0.75;0.25;0;
