POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.484;0.759983;0.759983;0.296332;0.30465;;;-0.231826;-0.115913;-0.115913
8;1;0.484;0.477685;0.618834;0.488294;0.495056;;;0.0053046;-0.113261;0.118565
9;1;0.484;0.665709;0.634459;0.244525;0.247528;;;-0.152636;-0.189578;-0.0789701
10;1;0.484;0.308765;0.553036;0.489899;0.495056;;;0.147197;-0.11598;0.149916
11;1;0.484;0.692462;0.580921;0.152667;0.171365;;;-0.175108;-0.203534;-0.161153
12;1;0.484;0.264268;0.528145;0.517438;0.523616;;;0.184575;-0.111246;0.179841
13;1;0.484;0.694492;0.551909;0.137332;0.171365;;;-0.176813;-0.199653;-0.180694
14;1;0.484;0.173178;0.504568;0.584113;0.590259;;;0.26109;-0.0691076;0.218952
15;1;0.484;0.717111;0.528184;0.125832;0.171365;;;-0.195813;-0.167014;-0.228452
16;1;0.484;0.259729;0.501338;0.567397;0.571218;;;0.188388;-0.0728204;0.1921
17;1;0.484;0.698635;0.519274;0.171034;0.171365;;;-0.180293;-0.162967;-0.184341
18;1;0.484;0.195347;0.49228;0.607464;0.609299;;;0.242469;-0.0417329;0.211381
19;1;0.484;0.713087;0.509265;0.165254;0.171365;;;-0.192433;-0.137949;-0.217451
20;1;0.484;0.260151;0.491472;0.594484;0.599779;;;0.188033;-0.0439328;0.190233
21;1;0.484;0.711519;0.506141;0.191338;0.199926;;;-0.191116;-0.139491;-0.189575
22;1;0.484;0.246253;0.489898;0.601735;0.609299;;;0.199707;-0.0396371;0.195412
23;1;0.484;0.721607;0.503528;0.182936;0.190406;;;-0.19959;-0.139432;-0.199649
24;1;0.484;0.302114;0.492339;0.568045;0.571218;;;0.152784;-0.0630399;0.176187
25;1;0.484;0.704332;0.503496;0.194742;0.199926;;;-0.185079;-0.155579;-0.168932
26;1;0.484;0.233203;0.489982;0.591502;0.599779;;;0.210669;-0.0502446;0.197874
27;1;0.484;0.706588;0.500296;0.177061;0.180886;;;-0.186974;-0.143732;-0.198822
