POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;4.272;8.13006;8.13006;1.64852;1.91072;;;-3.24077;-1.62038;-1.62038
8;1;4.272;2.86013;5.49509;5.23207;5.2371;;;1.18597;-1.0274;2.21337
9;1;4.272;6.81198;5.93405;0.92443;1.91072;;;-2.13358;-2.09419;-1.65978
10;1;4.272;2.06842;4.96764;4.74304;4.75074;;;1.85101;-1.16868;1.9923
11;1;4.272;6.22473;5.21906;0.849958;1.91072;;;-1.64029;-1.98883;-1.74565
12;1;4.272;2.98444;4.84662;3.97886;3.98645;;;1.08155;-1.44805;1.36092
13;1;4.272;4.7719;4.83595;1.94324;1.94546;;;-0.419914;-1.65801;-0.750734
14;1;4.272;2.04298;4.48683;4.33968;4.34254;;;1.87237;-0.721821;1.14614
15;1;4.272;5.41696;4.59018;1.83542;1.91072;;;-0.961763;-1.2027;-1.41707
16;1;4.272;2.78306;4.40946;4.56266;4.56835;;;1.25071;-0.577347;1.10624
17;1;4.272;5.70099;4.52688;2.09758;2.10179;;;-1.20035;-1.17752;-1.22553
18;1;4.272;2.30255;4.34152;5.03388;5.03734;;;1.65433;-0.350356;1.42734
19;1;4.272;6.64648;4.51882;1.47983;1.91072;;;-1.99456;-1.34764;-1.82445
20;1;4.272;2.78921;4.39528;4.92994;4.93312;;;1.24554;-0.724866;1.62005
21;1;4.272;6.40567;4.5293;1.47347;1.91072;;;-1.79229;-1.62101;-1.51891
22;1;4.272;2.04375;4.37396;5.06234;5.0634;;;1.87173;-0.685143;1.83201
23;1;4.272;6.62556;4.5064;1.05057;1.91072;;;-1.97699;-1.67364;-1.92436
24;1;4.272;3.00893;4.42321;4.44574;4.44676;;;1.06098;-1.14315;1.51899
25;1;4.272;5.47148;4.47838;1.78271;1.91072;;;-1.00756;-1.64694;-1.03427
26;1;4.272;2.05755;4.35734;4.63467;4.63783;;;1.86014;-0.716865;1.43385
27;1;4.272;5.93886;4.43265;1.4916;1.91072;;;-1.40016;-1.41695;-1.63015
28;1;4.272;2.87175;4.3617;4.50731;4.50755;;;1.17621;-0.82884;1.28819
29;1;4.272;5.62237;4.41651;1.9368;1.94546;;;-1.13431;-1.396;-1.15526
30;1;4.272;1.95759;4.31406;5.01696;5.01997;;;1.9441;-0.423945;1.53921
31;1;4.272;6.40926;4.39787;1.42267;1.91072;;;-1.7953;-1.32159;-1.8697
32;1;4.272;2.68649;4.33204;4.9262;4.93312;;;1.33183;-0.655679;1.56356
33;1;4.272;6.35796;4.40708;1.53195;1.91072;;;-1.75221;-1.53178;-1.54202
34;1;4.272;2.13619;4.32597;5.06867;5.07208;;;1.79408;-0.634744;1.77314
35;1;4.272;6.72486;4.4087;1.07227;1.91072;;;-2.0604;-1.66495;-1.92724
36;1;4.272;2.66495;4.35057;4.73005;4.73337;;;1.34992;-0.989987;1.70516
37;1;4.272;6.07484;4.40619;1.38113;1.91072;;;-1.51438;-1.74718;-1.43215
38;1;4.272;2.18629;4.33682;4.70029;4.70731;;;1.75199;-0.871181;1.63319
39;1;4.272;6.15325;4.39186;1.24557;1.91072;;;-1.58025;-1.66131;-1.66612
40;1;4.272;2.7722;4.34423;4.42068;4.4207;;;1.25983;-1.03139;1.42004
41;1;4.272;5.67039;4.38212;1.65979;1.91072;;;-1.17464;-1.61871;-1.21724
42;1;4.272;2.22744;4.32226;4.63091;4.63783;;;1.71743;-0.759997;1.44604
43;1;4.272;6.07314;4.36959;1.42851;1.91072;;;-1.51295;-1.51647;-1.61519
44;1;4.272;2.7904;4.32803;4.51949;4.52492;;;1.24454;-0.894202;1.37875
45;1;4.272;5.91555;4.36873;1.63791;1.91072;;;-1.38058;-1.58449;-1.31256
46;1;4.272;2.31354;4.31735;4.70955;4.716;;;1.6451;-0.761943;1.51284
47;1;4.272;6.25102;4.36452;1.34177;1.91072;;;-1.66238;-1.59313;-1.65374
48;1;4.272;2.76244;4.32637;4.53656;4.54229;;;1.26803;-0.959116;1.4652
49;1;4.272;5.90129;4.363;1.57095;1.91072;;;-1.36861;-1.64342;-1.31832
