PS100;PS80;PS60;PS40;PS20
0;0;0;0;1;
0;0;0.877273;0.122727;0;
0;0;0;0;1;
0;0;0.568182;0.431818;0;
0;0;0;0;1;
0;0;0.0909091;0.909091;0;
0;0;0;0;1;
0;0;0.190909;0.809091;0;
0;0;0;0;1;
0;0;0.377273;0.622727;0;
0;0;0;0;1;
0;0;0.736364;0.263636;0;
0;0;0;0;1;
0;0;0.622727;0.377273;0;
0;0;0;0;1;
0;0;0.609091;0.390909;0;
0;0;0;0;1;
0;0;0.290909;0.709091;0;
0;0;0;0;1;
0;0;0.368182;0.631818;0;
0;0;0;0;1;
0;0;0.354545;0.645455;0;
0;0;0;0;1;
0;0;0.622727;0.377273;0;
0;0;0;0;1;
0;0;0.618182;0.381818;0;
0;0;0;0;1;
0;0;0.704545;0.295455;0;
0;0;0;0;1;
0;0;0.477273;0.522727;0;
0;0;0;0;1;
0;0;0.431818;0.568182;0;
0;0;0;0;1;
0;0;0.281818;0.718182;0;
0;0;0;0;1;
0;0;0.340909;0.659091;0;
0;0;0;0;1;
0;0;0.245455;0.754545;0;
0;0;0;0;1;
0;0;0.418182;0.581818;0;
0;0;0;0;1;
0;0;0.336364;0.663636;0;
0;0;0;0;1;
0;0;0.454545;0.545455;0;
0;0;0;0;1;
0;0;0.304545;0.695455;0;
0;0;0;0;1;
0;0;0.440909;0.559091;0;
0;0;0;0;1;
0;0;0.354545;0.645455;0;
0;0;0;0;1;
0;0;0.513636;0.486364;0;
0;0;0;0;1;
0;0;0.427273;0.572727;0;
0;0;0;0;1;
0;0;0.522727;0.477273;0;
0;0;0;0;1;
0;0;0.277273;0.722727;0;
0;0;0;0;1;
0;0;0.404545;0.595455;0;
0;0;0;0;1;
0;0;0.4;0.6;0;
0;0;0;0;1;
0;0;0.654545;0.345455;0;
0;0;0;0;1;
0;0;0.595455;0.404545;0;
0;0;0;0;1;
0;0;0.677273;0.322727;0;
0;0;0;0;1;
0;0;0.5;0.5;0;
0;0;0;0;1;
0;0;0.559091;0.440909;0;
0;0;0;0;1;
0;0;0.413636;0.586364;0;
0;0;0;0;1;
0;0;0.518182;0.481818;0;
0;0;0;0;1;
0;0;0.45;0.55;0;
0;0;0;0;1;
0;0;0.540909;0.459091;0;
0;0;0;0;1;
0;0;0.395455;0.604545;0;
0;0;0;0;1;
0;0;0.459091;0.540909;0;
0;0;0;0;1;
0;0;0.313636;0.686364;0;
0;0;0;0;1;
0;0;0.468182;0.531818;0;
0;0;0;0;1;
0;0;0.363636;0.636364;0;
0;0;0;0;1;
0;0;0.5;0.5;0;
0;0;0;0;1;
0;0;0.359091;0.640909;0;
0;0;0;0;1;
0;0;0.490909;0.509091;0;
0;0;0;0;1;
0;0;0.381818;0.618182;0;
0;0;0;0;1;
0;0;0.572727;0.427273;0;
0;0;0;0;1;
0;0;0.495455;0.504545;0;
0;0;0;0;1;
0;0;0.540909;0.459091;0;
0;0;0;0;1;
0;0;0.381818;0.618182;0;
0;0;0;0;1;
0;0;0.477273;0.522727;0;
0;0;0;0;1;
0;0;0.363636;0.636364;0;
0;0;0;0;1;
0;0;0.468182;0.531818;0;
0;0;0;0;1;
0;0;0.363636;0.636364;0;
0;0;0;0;1;
0;0;0.459091;0.540909;0;
0;0;0;0;1;
0;0;0.381818;0.618182;0;
0;0;0;0;1;
0;0;0.540909;0.459091;0;
