PS100;PS80;PS60;PS40;PS20
0;0;0;0.329167;0.670833;
0;0;0.791667;0.208333;0;
0;0;0;0;1;
0;0;0.914583;0.0854167;0;
0;0;0;0;1;
0;0;0.68125;0.31875;0;
0;0;0;0;1;
0;0;0.7;0.3;0;
0;0;0;0;1;
0;0;0.4125;0.5875;0;
0;0;0;0;1;
0;0;0.566667;0.433333;0;
0;0;0;0;1;
0;0;0.479167;0.520833;0;
0;0;0;0;1;
0;0;0.689583;0.310417;0;
0;0;0;0;1;
0;0;0.545833;0.454167;0;
0;0;0;0;1;
0;0;0.708333;0.291667;0;
0;0;0;0;1;
0;0;0.472917;0.527083;0;
0;0;0;0;1;
0;0;0.577083;0.422917;0;
0;0;0;0;1;
0;0;0.4;0.6;0;
0;0;0;0;1;
0;0;0.645833;0.354167;0;
0;0;0;0;1;
0;0;0.529167;0.470833;0;
0;0;0;0;1;
0;0;0.65;0.35;0;
0;0;0;0;1;
0;0;0.379167;0.620833;0;
0;0;0;0;1;
0;0;0.49375;0.50625;0;
0;0;0;0;1;
0;0;0.425;0.575;0;
0;0;0;0;1;
0;0;0.6625;0.3375;0;
0;0;0;0;1;
0;0;0.575;0.425;0;
0;0;0;0;1;
0;0;0.710417;0.289583;0;
0;0;0;0;1;
0;0;0.514583;0.485417;0;
0;0;0;0;1;
0;0;0.579167;0.420833;0;
0;0;0;0;1;
0;0;0.364583;0.635417;0;
0;0;0;0;1;
0;0;0.541667;0.458333;0;
0;0;0;0;1;
0;0;0.44375;0.55625;0;
0;0;0;0;1;
0;0;0.614583;0.385417;0;
0;0;0;0;1;
0;0;0.414583;0.585417;0;
0;0;0;0;1;
0;0;0.595833;0.404167;0;
0;0;0;0;1;
0;0;0.5;0.5;0;
0;0;0;0;1;
0;0;0.7125;0.2875;0;
0;0;0;0;1;
0;0;0.585417;0.414583;0;
0;0;0;0;1;
0;0;0.708333;0.291667;0;
0;0;0;0;1;
0;0;0.46875;0.53125;0;
0;0;0;0;1;
0;0;0.572917;0.427083;0;
0;0;0;0;1;
0;0;0.45;0.55;0;
0;0;0;0;1;
0;0;0.691667;0.308333;0;
0;0;0;0;1;
0;0;0.54375;0.45625;0;
0;0;0;0;1;
0;0;0.602083;0.397917;0;
0;0;0;0;1;
0;0;0.377083;0.622917;0;
0;0;0;0;1;
0;0;0.575;0.425;0;
0;0;0;0;1;
0;0;0.4875;0.5125;0;
0;0;0;0;1;
0;0;0.7375;0.2625;0;
0;0;0;0;1;
0;0;0.591667;0.408333;0;
0;0;0;0;1;
0;0;0.710417;0.289583;0;
0;0;0;0;1;
0;0;0.522917;0.477083;0;
0;0;0;0;1;
0;0;0.69375;0.30625;0;
0;0;0;0;1;
0;0;0.59375;0.40625;0;
0;0;0;0;1;
0;0;0.822917;0.177083;0;
0;0;0;0;1;
0;0;0.652083;0.347917;0;
0;0;0;0;1;
0;0;0.747917;0.252083;0;
0;0;0;0;1;
0;0;0.485417;0.514583;0;
0;0;0;0;1;
0;0;0.558333;0.441667;0;
0;0;0;0;1;
0;0;0.45;0.55;0;
0;0;0;0;1;
0;0;0.729167;0.270833;0;
0;0;0;0;1;
0;0;0.6625;0.3375;0;
0;0;0;0;1;
0;0;0.8125;0.1875;0;
0;0;0;0;1;
0;0;0.560417;0.439583;0;
0;0;0;0;1;
0;0;0.658333;0.341667;0;
