POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;1.314;1.45429;1.45429;1.2186;1.22905;;;-0.117846;-0.0589231;-0.0589231
8;1;1.314;2.08703;1.77066;0.788338;0.805933;;;-0.649348;-0.383597;-0.265751
9;1;1.314;0.997994;1.51311;1.46996;1.47083;;;0.265445;-0.250874;0.457396
10;1;1.314;2.00811;1.63686;0.458408;0.463412;;;-0.583053;-0.542401;-0.424249
11;1;1.314;0.663628;1.44221;1.50538;1.51112;;;0.546312;-0.269245;0.564683
12;1;1.314;2.48394;1.61583;-0.0239636;0.36267;;;-0.982754;-0.760622;-0.764533
13;1;1.314;0.536632;1.46166;1.57337;1.59172;;;0.652989;-0.434127;0.817871
14;1;1.314;1.99236;1.528;0.0920949;0.36267;;;-0.569821;-0.719037;-0.611405
15;1;1.314;0.536805;1.41787;1.40837;1.41038;;;0.652844;-0.392616;0.611332
16;1;1.314;2.33028;1.50911;-0.0961092;0.36267;;;-0.853677;-0.819454;-0.75326
17;1;1.314;0.521788;1.41935;1.46009;1.47083;;;0.665458;-0.486725;0.759567
18;1;1.314;1.78467;1.44979;0.174492;0.36267;;;-0.395361;-0.684406;-0.53041
19;1;1.314;0.536174;1.37952;1.3562;1.37009;;;0.653374;-0.357719;0.524367
20;1;1.314;2.31431;1.44629;-0.050617;0.36267;;;-0.840261;-0.777849;-0.746818
21;1;1.314;0.48393;1.38213;1.52073;1.53127;;;0.697259;-0.42922;0.76876
22;1;1.314;1.87863;1.41316;0.152204;0.36267;;;-0.474287;-0.666363;-0.585773
23;1;1.314;0.564388;1.36323;1.39452;1.41038;;;0.629674;-0.351526;0.55198
24;1;1.314;2.39888;1.42077;-0.0900795;0.36267;;;-0.911297;-0.807174;-0.770485
25;1;1.314;0.522853;1.37351;1.50045;1.51112;;;0.664563;-0.474893;0.78793
26;1;1.314;1.99129;1.4044;0.0462663;0.36267;;;-0.568926;-0.759356;-0.616745
27;1;1.314;0.595143;1.36586;1.32793;1.32979;;;0.60384;-0.457436;0.586383
28;1;1.314;2.39116;1.41247;-0.177823;0.36267;;;-0.904812;-0.909842;-0.754326
29;1;1.314;0.624556;1.37821;1.32539;1.32979;;;0.579133;-0.620275;0.741972
30;1;1.314;2.54551;1.42685;-0.433266;0.36267;;;-1.03447;-1.13751;-0.806799
31;1;1.314;0.681814;1.39705;1.12361;1.12831;;;0.531036;-0.87199;0.782751
32;1;1.314;2.37534;1.43467;-0.545216;0.36267;;;-0.891522;-1.31775;-0.711279
33;1;1.314;0.629067;1.40484;0.907765;0.926823;;;0.575344;-1.03008;0.733433
34;1;1.314;1.88516;1.42199;-0.392143;0.36267;;;-0.479779;-1.26997;-0.527561
35;1;1.314;0.691059;1.39679;0.707521;0.72534;;;0.52327;-1.00833;0.501525
36;1;1.314;1.4684;1.39917;-0.0609637;0.36267;;;-0.1297;-1.07318;-0.326485
37;1;1.314;0.690757;1.37632;0.729472;0.745488;;;0.523524;-0.811421;0.326612
38;1;1.314;1.41054;1.37739;0.175171;0.36267;;;-0.0810919;-0.851967;-0.302308
39;1;1.314;0.698869;1.35683;0.920868;0.926823;;;0.51671;-0.593612;0.298901
40;1;1.314;2.11843;1.37923;-0.0849781;0.36267;;;-0.67572;-0.931472;-0.596215
41;1;1.314;0.640619;1.35813;1.17829;1.18875;;;0.56564;-0.648652;0.62068
42;1;1.314;1.99712;1.37588;-0.0819914;0.36267;;;-0.573818;-0.935561;-0.569729
43;1;1.314;0.645862;1.35615;1.11968;1.12831;;;0.561236;-0.654943;0.567527
44;1;1.314;2.38576;1.38324;-0.350355;0.36267;;;-0.900275;-1.10508;-0.730755
45;1;1.314;0.63498;1.36405;1.12079;1.12831;;;0.570377;-0.819892;0.735326
46;1;1.314;1.87644;1.37686;-0.173538;0.36267;;;-0.472447;-1.05612;-0.521412
47;1;1.314;0.589129;1.35765;0.98702;0.987268;;;0.608892;-0.75167;0.540669
48;1;1.314;2.03319;1.37374;-0.231165;0.36267;;;-0.60412;-1.05373;-0.606506
49;1;1.314;0.56479;1.35492;1.07179;1.08801;;;0.629336;-0.739062;0.616728
50;1;1.314;1.81669;1.36542;-0.0815565;0.36267;;;-0.422256;-0.95019;-0.525796
51;1;1.314;0.602113;1.34845;1.05902;1.06786;;;0.597985;-0.651197;0.510121
52;1;1.314;2.15647;1.36602;-0.209067;0.36267;;;-0.707671;-1.00503;-0.652828
53;1;1.314;0.584953;1.3494;1.15855;1.1686;;;0.612399;-0.698833;0.660035
54;1;1.314;2.05763;1.36416;-0.196699;0.36267;;;-0.624646;-1.01116;-0.618523
55;1;1.314;0.621232;1.34899;1.08625;1.08801;;;0.581925;-0.720194;0.603285
56;1;1.314;2.50761;1.37217;-0.508812;0.36267;;;-1.00263;-1.22151;-0.792279
57;1;1.314;0.657768;1.35816;1.04004;1.04771;;;0.551235;-0.945893;0.776934
58;1;1.314;1.78233;1.36632;-0.225975;0.36267;;;-0.393398;-1.14259;-0.472316
59;1;1.314;0.572055;1.35133;0.87263;0.886527;;;0.623234;-0.830975;0.508316
60;1;1.314;1.77816;1.35923;-0.144218;0.36267;;;-0.389891;-1.02592;-0.506562
61;1;1.314;0.503362;1.34367;1.03426;1.04771;;;0.680936;-0.685453;0.535413
62;1;1.314;1.53818;1.34715;0.135636;0.36267;;;-0.188313;-0.779609;-0.434624
63;1;1.314;0.548168;1.33313;1.14931;1.1686;;;0.643299;-0.45796;0.415806
64;1;1.314;2.22597;1.34852;-0.0857493;0.36267;;;-0.766056;-0.840987;-0.704677
65;1;1.314;0.52008;1.33448;1.39591;1.41038;;;0.666893;-0.507541;0.716474
66;1;1.314;1.83648;1.34285;0.117725;0.36267;;;-0.438885;-0.726983;-0.552889
67;1;1.314;0.602819;1.33072;1.29006;1.30964;;;0.597392;-0.428287;0.518138
68;1;1.314;2.35798;1.34729;-0.122891;0.36267;;;-0.876945;-0.86676;-0.737168
69;1;1.314;0.590374;1.33527;1.37778;1.39023;;;0.607846;-0.562837;0.742395
70;1;1.314;1.90773;1.34422;0.0435058;0.36267;;;-0.498731;-0.812202;-0.553288
71;1;1.314;0.53882;1.33183;1.27829;1.28949;;;0.651151;-0.486627;0.574941
72;1;1.314;2.18234;1.34471;-0.0886735;0.36267;;;-0.729406;-0.851329;-0.690278
73;1;1.314;0.462887;1.33155;1.40613;1.41038;;;0.714935;-0.493862;0.72217
74;1;1.314;1.74184;1.33758;0.171742;0.36267;;;-0.359382;-0.673553;-0.537159
75;1;1.314;0.513359;1.32564;1.36457;1.37009;;;0.672538;-0.337284;0.51596
76;1;1.314;2.30751;1.33967;-0.0351434;0.36267;;;-0.834553;-0.75456;-0.753546
77;1;1.314;0.493771;1.32775;1.53447;1.55142;;;0.688992;-0.410064;0.761772
78;1;1.314;1.92911;1.3361;0.141162;0.36267;;;-0.516696;-0.668412;-0.602844
79;1;1.314;0.545789;1.32528;1.42632;1.43053;;;0.645297;-0.345763;0.580997
80;1;1.314;2.36363;1.33931;-0.0681603;0.36267;;;-0.881689;-0.786608;-0.763493
81;1;1.314;0.551465;1.3288;1.48676;1.49098;;;0.640529;-0.466343;0.761109
82;1;1.314;1.91212;1.33648;0.120668;0.36267;;;-0.502423;-0.717555;-0.571476
83;1;1.314;0.569281;1.32652;1.35407;1.37009;;;0.625564;-0.404773;0.563994
84;1;1.314;2.43093;1.34068;-0.163065;0.36267;;;-0.938218;-0.873882;-0.781891
85;1;1.314;0.568759;1.3309;1.41599;1.43053;;;0.626002;-0.560881;0.78211
86;1;1.314;1.90079;1.33803;0.041103;0.36267;;;-0.492901;-0.807331;-0.559452
87;1;1.314;0.594629;1.32885;1.24229;1.2492;;;0.604272;-0.505195;0.548586
88;1;1.314;2.24727;1.34005;-0.127951;0.36267;;;-0.783943;-0.897167;-0.694107
89;1;1.314;0.508115;1.33003;1.35681;1.37009;;;0.676943;-0.558695;0.730443
90;1;1.314;1.73709;1.33487;0.129132;0.36267;;;-0.355396;-0.736393;-0.51617
91;1;1.314;0.512321;1.3252;1.30045;1.30964;;;0.67341;-0.399688;0.514403
92;1;1.314;2.2643;1.33612;-0.068594;0.36267;;;-0.798249;-0.798812;-0.735829
93;1;1.314;0.490215;1.32639;1.47449;1.49098;;;0.691979;-0.452822;0.745114
94;1;1.314;1.72902;1.33097;0.232973;0.36267;;;-0.348618;-0.627131;-0.520299
95;1;1.314;0.494655;1.32157;1.41833;1.43053;;;0.68825;-0.283006;0.518434
96;1;1.314;2.3083;1.33253;0.0107432;0.36267;;;-0.835214;-0.700613;-0.761732
97;1;1.314;0.425245;1.32256;1.63535;1.65216;;;0.746554;-0.327336;0.790884
98;1;1.314;1.86624;1.32847;0.237862;0.36267;;;-0.463883;-0.559278;-0.605219
99;1;1.314;0.465476;1.31919;1.56366;1.57157;;;0.71276;-0.202898;0.588322
100;1;1.314;2.52501;1.33202;-0.0687633;0.36267;;;-1.01725;-0.711521;-0.865003
101;1;1.314;0.430436;1.32253;1.71193;1.71261;;;0.742194;-0.340424;0.87972
102;1;1.314;1.9491;1.32906;0.170609;0.36267;;;-0.533486;-0.607167;-0.63784
103;1;1.314;0.463235;1.32013;1.5521;1.57157;;;0.714643;-0.249846;0.624064
104;1;1.314;2.64375;1.33364;-0.197398;0.36267;;;-1.11699;-0.808342;-0.915817
105;1;1.314;0.401648;1.32422;1.68455;1.69246;;;0.766376;-0.425154;0.941684
106;1;1.314;1.80993;1.32908;0.168425;0.36267;;;-0.416583;-0.633445;-0.591479
107;1;1.314;0.443969;1.32032;1.48047;1.49098;;;0.730826;-0.268032;0.573704
108;1;1.314;2.31245;1.33005;0.00160806;0.36267;;;-0.838699;-0.687382;-0.784762
109;1;1.314;0.426886;1.32128;1.64921;1.65216;;;0.745176;-0.314794;0.791937
110;1;1.314;1.88559;1.3267;0.237936;0.36267;;;-0.480136;-0.554862;-0.612656
111;1;1.314;0.516805;1.31899;1.5413;1.55142;;;0.669644;-0.22004;0.57489
112;1;1.314;2.63958;1.33145;-0.142258;0.36267;;;-1.11349;-0.776785;-0.891566
113;1;1.314;0.414347;1.32288;1.70572;1.71261;;;0.755709;-0.39893;0.934599
114;1;1.314;1.95261;1.32871;0.102959;0.36267;;;-0.536434;-0.667147;-0.646071
115;1;1.314;0.462442;1.32076;1.49413;1.51112;;;0.715309;-0.309493;0.625871
116;1;1.314;2.40064;1.33058;-0.0920625;0.36267;;;-0.912778;-0.765882;-0.814043
117;1;1.314;0.493908;1.32304;1.56217;1.57157;;;0.688877;-0.421443;0.800827
118;1;1.314;1.96048;1.32873;0.10851;0.36267;;;-0.543045;-0.692966;-0.615961
119;1;1.314;0.473575;1.32116;1.46405;1.47083;;;0.705957;-0.339987;0.624501
120;1;1.314;2.59242;1.33232;-0.248289;0.36267;;;-1.07387;-0.876922;-0.889914
121;1;1.314;0.403214;1.32424;1.59335;1.61187;;;0.76506;-0.494392;0.919465
122;1;1.314;1.86938;1.32894;0.0594194;0.36267;;;-0.466519;-0.727652;-0.61579
123;1;1.314;0.467017;1.32157;1.39556;1.41038;;;0.711466;-0.371919;0.588992
124;1;1.314;2.491;1.33148;-0.21401;0.36267;;;-0.988678;-0.866258;-0.850072
125;1;1.314;0.461955;1.32417;1.52147;1.53127;;;0.715718;-0.508399;0.852198
126;1;1.314;1.85979;1.32864;0.0766048;0.36267;;;-0.458464;-0.737631;-0.587091
127
