POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;11.682;12.821;12.821;10.9075;10.9163;;;-0.956763;-0.478382;-0.478382
8;1;11.682;15.5171;14.1691;9.07411;9.08917;;;-3.22151;-2.08914;-1.13238
9;1;11.682;12.3423;13.5602;10.7546;10.7615;;;-0.554686;-2.36648;1.33341
10;1;11.682;13.3381;13.5046;8.46675;8.46981;;;-1.39108;-3.06202;-0.418198
11;1;11.682;12.0869;13.2211;9.04016;9.04272;;;-0.340155;-3.2321;0.525464
12;1;11.682;15.484;13.5982;6.03462;6.0388;;;-3.19368;-4.82894;-1.42676
13;1;11.682;8.51332;12.8718;10.6046;10.6066;;;2.66169;-3.4981;2.92768
14;1;11.682;12.6055;12.8385;6.22511;6.2401;;;-0.775703;-3.88595;-1.7187
15;1;11.682;8.58519;12.3659;10.2897;10.2969;;;2.60132;-2.58529;1.68851
16;1;11.682;15.4164;12.671;5.25663;5.2646;;;-3.13693;-4.15375;-2.86913
17;1;11.682;7.34178;12.1865;12.0481;12.0621;;;3.64579;-2.33086;3.39136
18;1;11.682;13.2334;12.2738;6.47327;6.48784;;;-1.30321;-2.98246;-2.4745
19;1;11.682;8.73589;12.0016;11.3545;11.3653;;;2.47474;-1.74509;1.88897
20;1;11.682;15.2501;12.2336;6.27324;6.28655;;;-2.99719;-3.24369;-2.73596
21;1;11.682;8.80012;12.0047;11.8966;11.9073;;;2.42078;-2.0333;2.70899
22;1;11.682;12.4252;12.031;7.93296;7.94335;;;-0.624253;-2.34543;-1.52252
23;1;11.682;10.5179;11.942;10.4403;10.4518;;;0.977812;-1.85652;0.801032
24;1;11.682;15.1309;12.1192;6.99132;6.99882;;;-2.89708;-3.30506;-1.93745
25;1;11.682;9.41605;11.9769;11.3663;11.3808;;;1.90339;-2.35336;2.40024
26;1;11.682;12.8296;12.0195;7.59657;7.6027;;;-0.963992;-2.83536;-1.43369
27;1;11.682;10.4925;11.9468;10.1375;10.1421;;;0.999203;-2.33576;0.981597
28;1;11.682;15.0242;12.0867;6.57397;6.58075;;;-2.80741;-3.73946;-1.90331
29;1;11.682;9.23649;11.9628;11.0092;11.0092;;;2.05423;-2.71235;2.43082
30;1;11.682;14.6154;12.0733;5.94784;5.96138;;;-2.46403;-3.94437;-2.25913
31;1;11.682;8.89514;11.9462;10.8647;10.8698;;;2.34096;-2.77389;2.40249
32;1;11.682;16.5777;12.1243;4.40853;4.41297;;;-4.11242;-4.8301;-3.22669
33;1;11.682;6.64228;11.9213;12.3351;12.3408;;;4.23336;-2.71342;4.17289
34;1;11.682;14.2752;12.0053;5.08852;5.09427;;;-2.1783;-3.80257;-3.20583
35;1;11.682;7.51803;11.8506;11.8001;11.8144;;;3.49774;-2.0537;2.83802
36;1;11.682;16.8044;12.0157;4.3962;4.39749;;;-4.30282;-4.20511;-3.90028
37;1;11.682;6.27832;11.8307;13.3028;13.3163;;;4.53909;-1.93557;4.42095
38;1;11.682;15.7247;11.9523;4.72788;4.73814;;;-3.39583;-3.63348;-3.96746
39;1;11.682;6.95464;11.8009;12.961;12.9757;;;3.97098;-1.64799;3.68341
40;1;11.682;18.4432;11.9963;3.45091;3.45296;;;-5.6794;-4.48769;-4.82519
41;1;11.682;5.20361;11.8022;14.4393;14.4467;;;5.44185;-1.76677;5.56063
42;1;11.682;17.9751;11.9737;2.91501;2.97295;;;-5.28619;-4.40986;-5.36402
43;1;11.682;4.23761;11.7646;14.9774;14.8647;;;6.25329;-1.28322;5.76974
44;1;11.682;22.5168;12.0475;-0.0955271;2.97295;;;-9.10123;-5.83384;-7.67726
45;1;11.682;4.20955;11.8466;15.48;14.8647;;;6.27686;-2.69541;7.68905
46;1;11.682;18.9517;12.0242;0.904758;2.97295;;;-6.10656;-5.74869;-6.19171
47;1;11.682;4.14426;11.832;14.1123;14.1215;;;6.3317;-2.58283;6.21913
48;1;11.682;20.7426;12.0441;-0.227892;2.97295;;;-7.6109;-6.38828;-6.9713
49;1;11.682;4.23972;11.8626;14.1599;14.168;;;6.25151;-3.26253;6.93121
50;1;11.682;18.066;12.0036;0.952628;2.97295;;;-5.36252;-5.94379;-5.80702
51;1;11.682;4.20482;11.8303;13.504;13.5176;;;6.28083;-2.80337;5.82168
52;1;11.682;20.3163;12.0148;-0.133116;2.97295;;;-7.25282;-6.42978;-6.76683
53;1;11.682;4.64243;11.8579;13.6655;13.6725;;;5.91324;-3.47316;6.58303
54;1;11.682;17.9983;11.9859;0.957119;2.97295;;;-5.30571;-6.12601;-5.60948
55;1;11.682;4.46627;11.8324;13.1155;13.1305;;;6.06121;-3.09541;5.68346
56;1;11.682;19.8013;11.9918;0.0348685;2.97295;;;-6.8202;-6.50551;-6.44071
57;1;11.682;4.40983;11.8431;13.5317;13.5331;;;6.10863;-3.4512;6.46441
58;1;11.682;17.4717;11.9514;1.23951;2.97295;;;-4.86333;-5.88286;-5.48598
59;1;11.682;4.1424;11.804;13.3577;13.3628;;;6.33327;-2.71623;5.5983
60;1;11.682;20.0062;11.9559;0.138652;2.97295;;;-6.99237;-6.21241;-6.66282
61;1;11.682;4.27064;11.8162;14.0055;14.0131;;;6.22554;-3.09964;6.60895
62;1;11.682;18.0091;11.9268;1.16714;2.97295;;;-5.3148;-5.75704;-5.77017
63;1;11.682;4.30676;11.7931;13.5975;13.6105;;;6.1952;-2.65944;5.755
64;1;11.682;20.9025;11.9501;-0.344947;2.97295;;;-7.74518;-6.53203;-6.97019
65;1;11.682;4.40946;11.8223;13.9679;13.9822;;;6.10893;-3.47756;6.92706
66;1;11.682;18.7964;11.9386;0.312183;2.97295;;;-5.97609;-6.46561;-6.04251
67;1;11.682;4.28083;11.813;13.2372;13.2389;;;6.21698;-3.35712;6.09654
68;1;11.682;20.3566;11.9508;-0.682358;2.97295;;;-7.28669;-7.00046;-6.75184
69;1;11.682;4.36233;11.8304;13.3023;13.3163;;;6.14852;-3.9262;6.7176
70;1;11.682;17.02;11.9115;1.05172;2.97295;;;-4.48389;-6.16815;-5.31621
71;1;11.682;4.52657;11.7979;12.6215;12.635;;;6.01056;-3.16287;5.24723
72;1;11.682;19.0749;11.9081;0.486688;2.97295;;;-6.21003;-6.26788;-6.11029
73;1;11.682;4.1947;11.793;13.6105;13.6105;;;6.28933;-3.12322;6.24968
74;1;11.682;17.816;11.8816;1.24303;2.97295;;;-5.15252;-5.69948;-5.72093
75;1;11.682;4.23084;11.7707;13.6256;13.626;;;6.25898;-2.56999;5.70575
76;1;11.682;22.7684;11.9278;-1.55626;2.97295;;;-9.31262;-7.2263;-7.7858
77;1;11.682;4.38468;11.8216;14.0742;14.0751;;;6.12975;-4.16142;7.72118
78;1;11.682;18.8988;11.9198;-0.451704;2.97295;;;-6.06209;-7.19247;-6.09592
79;1;11.682;4.27881;11.8152;12.5547;12.5576;;;6.21868;-4.08313;6.14039
80;1;11.682;18.8592;11.9104;-0.390957;2.97295;;;-6.02884;-7.09755;-6.12376
81;1;11.682;4.2398;11.8081;12.6596;12.666;;;6.25145;-3.97182;6.14015
82;1;11.682;15.9031;11.862;1.71408;2.97295;;;-3.54576;-5.7447;-4.8986
83;1;11.682;4.16494;11.762;12.8218;12.8363;;;6.31433;-2.58753;4.93004
84;1;11.682;19.3772;11.8596;0.704563;2.97295;;;-6.46397;-5.81952;-6.38915
85;1;11.682;4.15109;11.7621;14.2155;14.2299;;;6.32596;-2.65654;6.39497
86;1;11.682;18.5677;11.8471;1.18017;2.97295;;;-5.78403;-5.54855;-6.05499
87;1;11.682;4.37912;11.7549;13.9914;13.9976;;;6.13442;-2.48134;5.95922
88;1;11.682;21.7889;11.8773;-0.739234;2.97295;;;-8.48979;-6.72623;-7.3121
89;1;11.682;4.23836;11.7853;14.2623;14.2763;;;6.25266;-3.59991;7.37122
90;1;11.682;18.772;11.8684;0.13458;2.97295;;;-5.95558;-6.5777;-6.10412
91;1;11.682;4.11554;11.7772;13.2273;13.2389;;;6.35582;-3.39979;6.1557
92;1;11.682;19.9757;11.8726;-0.535446;2.97295;;;-6.96675;-6.88316;-6.66129
93;1;11.682;4.19113;11.7843;13.376;13.3783;;;6.29233;-3.73699;6.62954
94;1;11.682;15.897;11.831;1.93267;2.97295;;;-3.54056;-5.50728;-4.91645
95;1;11.682;4.0679;11.7438;13.1226;13.1305;;;6.39585;-2.30935;4.96821
96;1;11.682;18.8639;11.8229;1.29104;2.97295;;;-6.03279;-5.32575;-6.21432
97;1;11.682;3.97179;11.7366;14.6156;14.617;;;6.47658;-2.08746;6.25468
98;1;11.682;17.4136;11.7983;2.45877;2.97295;;;-4.81454;-4.49473;-5.64556
99;1;11.682;4.56278;11.7205;14.4356;14.4467;;;5.98015;-1.50465;5.39734
100;1;11.682;22.2713;11.8328;-0.013462;2.97295;;;-8.89503;-5.95217;-7.43759
101;1;11.682;4.17352;11.7521;15.2831;14.8647;;;6.30712;-2.7986;7.60108
102;1;11.682;19.5502;11.8334;0.379459;2.97295;;;-6.60929;-6.10325;-6.45821
103;1;11.682;4.5351;11.7581;13.7433;13.7499;;;6.0034;-3.10155;6.30634
104;1;11.682;21.178;11.8543;-0.878498;2.97295;;;-7.9766;-7.08985;-6.99
105;1;11.682;4.4613;11.7796;13.4905;13.5021;;;6.06539;-4.05716;7.021
106;1;11.682;18.533;11.8471;-0.0664986;2.97295;;;-5.7548;-6.93456;-5.91009
107;1;11.682;4.33098;11.7727;12.6235;12.635;;;6.17486;-3.84713;5.96483
108;1;11.682;19.5269;11.8487;-0.587062;2.97295;;;-6.58968;-7.14197;-6.38227
109;1;11.682;4.28596;11.7753;12.8642;12.8673;;;6.21268;-4.03563;6.40118
110;1;11.682;16.6827;11.8225;1.13952;2.97295;;;-4.20063;-6.13594;-5.20665
111;1;11.682;4.31754;11.751;12.6542;12.666;;;6.18615;-3.04287;5.19339
112;1;11.682;18.4027;11.8138;0.975965;2.97295;;;-5.64541;-5.86557;-5.91578
113;1;11.682;4.34436;11.7439;13.6287;13.6415;;;6.16361;-2.78377;5.90451
114;1;11.682;18.2502;11.8042;1.35004;2.97295;;;-5.51729;-5.54241;-5.84045
115;1;11.682;4.17303;11.7342;14.0043;14.0131;;;6.30754;-2.38865;5.91242
116;1;11.682;21.2642;11.8208;-0.376327;2.97295;;;-8.04907;-6.41318;-7.1783
117;1;11.682;4.21155;11.7523;14.3733;14.3847;;;6.27518;-3.27559;7.16213
118;1;11.682;18.8298;11.8155;0.408309;2.97295;;;-6.00416;-6.27767;-6.13967
119;1;11.682;4.28638;11.7488;13.4354;13.4402;;;6.21232;-3.17151;6.10824
120;1;11.682;19.9466;11.8207;-0.215622;2.97295;;;-6.94229;-6.64266;-6.57731
121;1;11.682;4.25708;11.755;13.5594;13.5641;;;6.23693;-3.52419;6.58961
122;1;11.682;18.767;11.8154;0.221554;2.97295;;;-5.95139;-6.49988;-6.09416
123;1;11.682;4.38092;11.7519;13.1225;13.1305;;;6.1329;-3.43343;6.04215
124;1;11.682;19.7657;11.8198;-0.314768;2.97295;;;-6.79027;-6.82857;-6.46159
125;1;11.682;4.3247;11.7568;13.2515;13.2544;;;6.18013;-3.7385;6.4852
126;1;11.682;17.1192;11.8015;1.15616;2.97295;;;-4.56722;-6.02211;-5.37368
127
