PS100;PS80;PS60;PS40;PS20
0;0.296875;0.703125;0;0;
0;0;0.46875;0.53125;0;
0;0.708333;0.291667;0;0;
0;0;0.270833;0.729167;0;
0;0.276042;0.723958;0;0;
0;0;0;0.401042;0.598958;
0.0885417;0.911458;0;0;0;
0;0;0;0.708333;0.291667;
0;0.854167;0.145833;0;0;
0;0;0;0.447917;0.552083;
0.463542;0.536458;0;0;0;
0;0;0;0.59375;0.40625;
0.359375;0.640625;0;0;0;
0;0;0;0.0989583;0.901042;
0.984375;0.015625;0;0;0;
0;0;0;0.307292;0.692708;
0.770833;0.229167;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.0572917;0.942708;
0.989583;0.0104167;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.942708;0.0572917;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.453125;0.546875;0;0;0;
0;0;0;0;1;
0.864583;0.135417;0;0;0;
0;0;0;0;1;
0.796875;0.203125;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.578125;0.421875;0;0;0;
0;0;0;0;1;
0.729167;0.270833;0;0;0;
0;0;0;0;1;
0.229167;0.770833;0;0;0;
0;0;0;0;1;
0.432292;0.567708;0;0;0;
0;0;0;0;1;
0.375;0.625;0;0;0;
0;0;0;0;1;
0.651042;0.348958;0;0;0;
0;0;0;0;1;
0.411458;0.588542;0;0;0;
0;0;0;0;1;
0.536458;0.463542;0;0;0;
0;0;0;0;1;
0.25;0.75;0;0;0;
0;0;0;0;1;
0.510417;0.489583;0;0;0;
0;0;0;0;1;
0.229167;0.770833;0;0;0;
0;0;0;0;1;
0.484375;0.515625;0;0;0;
0;0;0;0;1;
0.270833;0.729167;0;0;0;
0;0;0;0;1;
0.395833;0.604167;0;0;0;
0;0;0;0;1;
0.0260417;0.973958;0;0;0;
0;0;0;0;1;
0.411458;0.588542;0;0;0;
0;0;0;0;1;
0.369792;0.630208;0;0;0;
0;0;0;0;1;
0.640625;0.359375;0;0;0;
0;0;0;0;1;
0;0.958333;0.0416667;0;0;
0;0;0;0;1;
0.0572917;0.942708;0;0;0;
0;0;0;0;1;
0.0729167;0.927083;0;0;0;
0;0;0;0;1;
0.682292;0.317708;0;0;0;
0;0;0;0;1;
0.546875;0.453125;0;0;0;
0;0;0;0;1;
0.703125;0.296875;0;0;0;
0;0;0;0;1;
0.182292;0.817708;0;0;0;
0;0;0;0;1;
0.28125;0.71875;0;0;0;
0;0;0;0;1;
0.135417;0.864583;0;0;0;
0;0;0;0;1;
0.84375;0.15625;0;0;0;
0;0;0;0.03125;0.96875;
0.828125;0.171875;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.380208;0.619792;0;0;0;
0;0;0;0;1;
0.255208;0.744792;0;0;0;
0;0;0;0;1;
0;0.744792;0.255208;0;0;
0;0;0;0;1;
0.203125;0.796875;0;0;0;
0;0;0;0;1;
0.15625;0.84375;0;0;0;
0;0;0;0;1;
0.578125;0.421875;0;0;0;
0;0;0;0;1;
0.453125;0.546875;0;0;0;
0;0;0;0;1;
0.572917;0.427083;0;0;0;
0;0;0;0;1;
0.151042;0.848958;0;0;0;
0;0;0;0;1;
0.369792;0.630208;0;0;0;
0;0;0;0;1;
0.307292;0.692708;0;0;0;
0;0;0;0;1;
0.515625;0.484375;0;0;0;
0;0;0;0;1;
