POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;7.938;9.25437;9.25437;7.04287;7.04472;;;-1.10575;-0.552875;-0.552875
8;1;7.938;12.4609;10.8576;4.86245;4.86929;;;-3.79921;-2.45248;-1.34673
9;1;7.938;5.94171;9.21898;8.7426;8.75253;;;1.67689;-1.61404;2.73805
10;1;7.938;10.0313;9.42206;4.06209;4.06621;;;-1.75835;-2.49322;-1.71762
11;1;7.938;4.88259;8.51416;8.40164;8.4069;;;2.56655;-1.20994;2.16245
12;1;7.938;13.4672;9.33968;1.6849;2.23642;;;-4.64456;-3.53222;-3.60555
13;1;7.938;2.47038;8.35835;10.446;10.4502;;;4.5928;-1.23582;4.61868
14;1;7.938;11.6958;8.77553;1.85045;2.23642;;;-3.15659;-2.81411;-3.87469
15;1;7.938;2.45856;8.07365;10.4282;10.4298;;;4.60273;-0.512751;3.87966
16;1;7.938;16.2804;8.89432;-0.54893;2.23642;;;-7.0076;-4.01655;-5.80516
17;1;7.938;2.48751;8.31188;11.1316;11.1414;;;4.57841;-1.72734;5.793
18;1;7.938;12.3034;8.64451;0.952956;2.23642;;;-3.66697;-3.56083;-4.12269
19;1;7.938;2.39448;8.16374;9.98025;9.98256;;;4.65655;-1.23255;4.16176
20;1;7.938;15.3192;8.67485;-0.642037;2.23642;;;-6.2002;-4.33265;-5.42838
21;1;7.938;2.32643;8.25162;10.5213;10.5213;;;4.71372;-1.97579;5.45696
22;1;7.938;11.0463;8.42629;1.4917;2.23642;;;-2.61098;-3.28128;-3.66235
23;1;7.938;2.35688;8.06926;9.75737;9.75892;;;4.68814;-0.937209;3.64956
24;1;7.938;15.4251;8.47792;-0.434533;2.23642;;;-6.28919;-4.08181;-5.48867
25;1;7.938;2.29157;8.15232;10.8404;10.8466;;;4.743;-1.7103;5.5161
26;1;7.938;12.0992;8.34967;1.02655;2.23642;;;-3.49544;-3.45802;-4.11922
27;1;7.938;2.42228;8.06741;9.97839;9.98256;;;4.63321;-1.14142;4.06432
28;1;7.938;15.1822;8.39081;-0.446111;2.23642;;;-6.08516;-4.184;-5.35919
29;1;7.938;2.34872;8.12811;10.5973;10.6027;;;4.69499;-1.83651;5.39008
30;1;7.938;12.4265;8.30721;0.701841;2.23642;;;-3.77031;-3.72166;-4.23265
31;1;7.938;2.43139;8.07218;9.84599;9.85041;;;4.62555;-1.40889;4.19793
32;1;7.938;14.7573;8.3293;-0.420795;2.23642;;;-5.72822;-4.273;-5.17689
33;1;7.938;2.40075;8.10972;10.2944;10.2977;;;4.65129;-1.94735;5.18976
34;1;7.938;12.061;8.25084;0.861351;2.23642;;;-3.46333;-3.67902;-4.05731
