PS100;PS80;PS60;PS40;PS20
0;0;0.872727;0.127273;0;
0;0;0.818182;0.181818;0;
0;0;0.859091;0.140909;0;
0;0;0.304545;0.695455;0;
0;0;0.8;0.2;0;
0;0;0;0.554545;0.445455;
0;0.627273;0.372727;0;0;
0;0;0;0.304545;0.695455;
0.127273;0.872727;0;0;0;
0;0;0;0;1;
0.881818;0.118182;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.981818;0.0181818;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.8;0.2;0;0;0;
0;0;0;0;1;
0.936364;0.0636364;0;0;0;
0;0;0;0;1;
0.727273;0.272727;0;0;0;
0;0;0;0;1;
0.881818;0.118182;0;0;0;
0;0;0;0;1;
0.768182;0.231818;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.909091;0.0909091;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.954545;0.0454545;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.890909;0.109091;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.831818;0.168182;0;0;0;
0;0;0;0;1;
0.890909;0.109091;0;0;0;
0;0;0;0;1;
0.709091;0.290909;0;0;0;
0;0;0;0;1;
0.831818;0.168182;0;0;0;
0;0;0;0;1;
0.731818;0.268182;0;0;0;
0;0;0;0;1;
0.890909;0.109091;0;0;0;
0;0;0;0;1;
0.731818;0.268182;0;0;0;
0;0;0;0;1;
0.872727;0.127273;0;0;0;
0;0;0;0;1;
0.713636;0.286364;0;0;0;
0;0;0;0;1;
0.863636;0.136364;0;0;0;
0;0;0;0;1;
0.677273;0.322727;0;0;0;
0;0;0;0;1;
0.863636;0.136364;0;0;0;
0;0;0;0;1;
0.772727;0.227273;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.913636;0.0863636;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.790909;0.209091;0;0;0;
0;0;0;0;1;
0.877273;0.122727;0;0;0;
0;0;0;0;1;
0.672727;0.327273;0;0;0;
0;0;0;0;1;
0.818182;0.181818;0;0;0;
0;0;0;0;1;
0.686364;0.313636;0;0;0;
0;0;0;0;1;
0.845455;0.154545;0;0;0;
0;0;0;0;1;
0.636364;0.363636;0;0;0;
0;0;0;0;1;
0.768182;0.231818;0;0;0;
0;0;0;0;1;
0.540909;0.459091;0;0;0;
0;0;0;0;1;
0.695455;0.304545;0;0;0;
0;0;0;0;1;
0.463636;0.536364;0;0;0;
0;0;0;0;1;
0.613636;0.386364;0;0;0;
0;0;0;0;1;
0.386364;0.613636;0;0;0;
0;0;0;0;1;
0.527273;0.472727;0;0;0;
0;0;0;0;1;
0.254545;0.745455;0;0;0;
0;0;0;0;1;
0.413636;0.586364;0;0;0;
0;0;0;0;1;
0.209091;0.790909;0;0;0;
0;0;0;0;1;
0.431818;0.568182;0;0;0;
0;0;0;0;1;
0.218182;0.781818;0;0;0;
0;0;0;0;1;
0.45;0.55;0;0;0;
0;0;0;0;1;
0.322727;0.677273;0;0;0;
0;0;0;0;1;
0.55;0.45;0;0;0;
0;0;0;0;1;
