PS100;PS80;PS60;PS40;PS20
0;0.725275;0.274725;0;0;
0;0;0.967033;0.032967;0;
0;0.813187;0.186813;0;0;
0;0;0.945055;0.0549451;0;
0;0.032967;0.967033;0;0;
0;0;0;0.901099;0.0989011;
0;0.78022;0.21978;0;0;
0;0;0;0.978022;0.021978;
0;0.549451;0.450549;0;0;
0;0;0;0.395604;0.604396;
0.516484;0.483516;0;0;0;
0;0;0;0.494505;0.505495;
0.538462;0.461538;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.857143;0.142857;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.472527;0.527473;0;0;0;
0;0;0;0;1;
0.604396;0.395604;0;0;0;
0;0;0;0;1;
0.461538;0.538462;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.901099;0.0989011;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.945055;0.0549451;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.835165;0.164835;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.747253;0.252747;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.703297;0.296703;0;0;0;
0;0;0;0;1;
0.945055;0.0549451;0;0;0;
0;0;0;0;1;
0.571429;0.428571;0;0;0;
0;0;0;0;1;
0.824176;0.175824;0;0;0;
0;0;0;0;1;
0.549451;0.450549;0;0;0;
0;0;0;0;1;
0.857143;0.142857;0;0;0;
0;0;0;0;1;
0.615385;0.384615;0;0;0;
0;0;0;0;1;
0.89011;0.10989;0;0;0;
0;0;0;0;1;
0.571429;0.428571;0;0;0;
0;0;0;0;1;
0.956044;0.043956;0;0;0;
0;0;0;0;1;
0.681319;0.318681;0;0;0;
0;0;0;0;1;
0.956044;0.043956;0;0;0;
0;0;0;0;1;
0.593407;0.406593;0;0;0;
0;0;0;0;1;
0.824176;0.175824;0;0;0;
0;0;0;0;1;
0.637363;0.362637;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.868132;0.131868;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.802198;0.197802;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.516484;0.483516;0;0;0;
0;0;0;0;1;
0.692308;0.307692;0;0;0;
0;0;0;0;1;
0.593407;0.406593;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.703297;0.296703;0;0;0;
0;0;0;0;1;
0.791209;0.208791;0;0;0;
0;0;0;0;1;
0.208791;0.791209;0;0;0;
0;0;0;0;1;
0.56044;0.43956;0;0;0;
0;0;0;0;1;
0.516484;0.483516;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.835165;0.164835;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.395604;0.604396;0;0;0;
0;0;0;0;1;
0.725275;0.274725;0;0;0;
0;0;0;0;1;
0.285714;0.714286;0;0;0;
0;0;0;0;1;
0.89011;0.10989;0;0;0;
0;0;0;0;1;
