POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;31.002;40.3764;40.3764;24.6274;24.6327;;;-7.87448;-3.93724;-3.93724
8;1;31.002;40.9388;40.6576;24.245;24.2481;;;-8.34691;-8.1107;-0.236216
9;1;31.002;33.7263;38.3471;25.2123;25.214;;;-2.28838;-9.25489;3.02927
10;1;31.002;36.236;37.8194;19.3322;19.3376;;;-4.39653;-11.4532;-1.05408
11;1;31.002;26.1052;35.4765;25.0769;25.0799;;;4.11331;-9.3965;4.25492
12;1;31.002;41.974;36.5594;12.0879;12.0927;;;-9.21651;-14.0048;-6.66491
13;1;31.002;15.1898;33.5066;32.3578;32.3606;;;13.2823;-7.36362;11.2494
14;1;31.002;40.8874;34.4292;10.2752;10.277;;;-8.30376;-11.5155;-10.793
15;1;31.002;11.408;31.8713;36.9623;36.9669;;;16.459;-3.28602;12.3814
16;1;31.002;51.1925;33.8034;5.75692;8.94432;;;-16.9601;-11.766;-16.7095
17;1;31.002;9.21344;31.568;42.5322;42.5392;;;18.3024;-2.61485;17.6312
18;1;31.002;49.0529;33.0251;6.96134;8.94432;;;-15.1628;-10.1962;-16.7326
19;1;31.002;9.05856;31.1815;43.3087;43.3174;;;18.4325;-0.979987;16.7976
20;1;31.002;59.8719;33.2308;1.17423;8.94432;;;-24.2507;-13.1053;-21.3416
21;1;31.002;8.73828;31.598;45.1613;44.7216;;;18.7015;-3.75459;21.4761
22;1;31.002;50.3657;32.771;4.72933;8.94432;;;-16.2655;-11.8873;-17.4835
23;1;31.002;9.06455;31.3765;42.1649;42.1725;;;18.4275;-2.67362;17.3465
24;1;31.002;57.819;32.8455;0.879079;8.94432;;;-22.5263;-13.9368;-20.4769
25;1;31.002;8.6382;31.5714;43.5358;43.541;;;18.7856;-4.54397;20.6559
26;1;31.002;47.7447;32.3801;5.68022;8.94432;;;-14.0638;-11.5759;-16.4247
27;1;31.002;8.96239;31.265;41.445;41.448;;;18.5133;-2.31925;16.2886
28;1;31.002;56.1442;32.3958;2.32945;8.94432;;;-21.1194;-12.879;-19.8163
29;1;31.002;8.83395;31.3714;43.757;43.7646;;;18.6212;-3.56838;19.8703
30;1;31.002;48.849;32.0996;5.98708;8.94432;;;-14.9915;-11.0641;-16.8063
31;1;31.002;9.06758;31.1783;42.349;42.3514;;;18.4249;-1.85166;16.7082
