PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0;0.571429;0.428571;0;0;
1;0;0;0;0;
0.043956;0.956044;0;0;0;
1;0;0;0;0;
0;0;0.43956;0.56044;0;
1;0;0;0;0;
0;0.208791;0.791209;0;0;
1;0;0;0;0;
0;0;0;0.989011;0.010989;
1;0;0;0;0;
0;0;0.56044;0.43956;0;
1;0;0;0;0;
0;0;0;0.450549;0.549451;
1;0;0;0;0;
0;0;0.274725;0.725275;0;
1;0;0;0;0;
0;0;0;0.461538;0.538462;
1;0;0;0;0;
0;0;0.153846;0.846154;0;
1;0;0;0;0;
0;0;0;0.032967;0.967033;
1;0;0;0;0;
0;0;0;0.516484;0.483516;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.538462;0.461538;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.230769;0.769231;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.21978;0.78022;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.0769231;0.923077;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.230769;0.769231;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.340659;0.659341;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.483516;0.516484;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.252747;0.747253;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.395604;0.604396;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.835165;0.164835;
1;0;0;0;0;
0;0;0;0.241758;0.758242;
1;0;0;0;0;
0;0;0.274725;0.725275;0;
1;0;0;0;0;
0;0;0;0.373626;0.626374;
1;0;0;0;0;
0;0;0;0.758242;0.241758;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.461538;0.538462;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.692308;0.307692;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.527473;0.472527;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.483516;0.516484;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.351648;0.648352;
