POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.272;4.45805;4.45805;5.82548;5.04424;;;0.683715;0.341857;0.341857
8;1;5.272;7.73446;6.09626;3.59753;3.60303;;;-2.06847;-0.692375;-1.37609
9;1;5.272;4.15809;5.4502;6.37131;5.04424;;;0.935681;-0.224535;1.50207
10;1;5.272;6.01244;5.59076;4.07613;4.07973;;;-0.621967;-0.535518;-0.778824
11;1;5.272;4.47733;5.36807;5.58784;5.04424;;;0.667525;-0.201756;0.644746
12;1;5.272;8.62456;5.91082;2.45674;2.46114;;;-2.81615;-1.60983;-1.74184
13;1;5.272;3.57782;5.57754;6.22229;5.04424;;;1.42311;-0.898276;2.11963
14;1;5.272;5.90104;5.61797;3.23442;3.23718;;;-0.528394;-1.16247;-0.975753
15;1;5.272;4.17706;5.45787;5.11828;5.04424;;;0.919748;-0.702599;0.724071
16;1;5.272;8.37031;5.74912;2.00268;2.00661;;;-2.60258;-2.00389;-1.76116
17;1;5.272;2.69644;5.4716;6.32078;5.04424;;;2.16347;-0.922152;2.38303
18;1;5.272;6.27968;5.53894;2.58289;2.58309;;;-0.846452;-1.34538;-1.50496
19;1;5.272;3.77137;5.40297;5.37028;5.04424;;;1.26053;-0.715113;1.05349
20;1;5.272;8.89891;5.65268;1.46032;1.46338;;;-3.0466;-2.23842;-2.15357
21;1;5.272;2.12445;5.41747;6.69722;5.04424;;;2.64394;-0.916443;2.84527
22;1;5.272;6.37288;5.47718;2.28499;2.29485;;;-0.924741;-1.37881;-1.78434
23;1;5.272;3.35174;5.35215;5.66134;5.04424;;;1.61302;-0.572303;1.26888
24;1;5.272;8.83156;5.54546;1.47268;1.47447;;;-2.99003;-2.06732;-2.30153
25;1;5.272;2.18579;5.36863;6.79832;5.04424;;;2.59241;-0.771113;2.79122
26;1;5.272;6.79516;5.43996;2.16893;2.1729;;;-1.27945;-1.41084;-1.93593
27;1;5.272;3.33025;5.33949;5.82128;5.04424;;;1.63107;-0.595304;1.45526
28;1;5.272;9.4308;5.52546;1.03318;1.04211;;;-3.49339;-2.342;-2.56223
29;1;5.272;1.47685;5.34944;7.2574;5.04424;;;3.18793;-0.748034;3.34066
30;1;5.272;7.33105;5.432;1.52984;1.5299;;;-1.72961;-1.61284;-2.45877
31;1;5.272;2.44845;5.31266;6.44398;5.04424;;;2.37178;-0.426945;2.05069
32;1;5.272;10.1199;5.49756;0.36257;1.00885;;;-4.07226;-2.46308;-3.22202
33;1;5.272;1.48634;5.34899;7.41931;5.04424;;;3.17996;-0.873097;3.62611
34;1;5.272;7.12896;5.41256;1.54619;1.55207;;;-1.55985;-1.65302;-2.3699
35;1;5.272;2.41241;5.30911;6.34342;5.04424;;;2.40205;-0.451994;1.98095
36;1;5.272;9.85887;5.46077;0.49991;1.00885;;;-3.85297;-2.37848;-3.12751
37;1;5.272;1.64337;5.33763;7.28748;5.04424;;;3.04805;-0.854452;3.45051
38;1;5.272;7.70668;5.41166;1.23794;1.24166;;;-2.04513;-1.87702;-2.54659
39;1;5.272;1.89578;5.30512;6.71338;5.04424;;;2.83602;-0.459003;2.44058
40;1;5.272;10.3224;5.45268;-0.0392612;1.00885;;;-4.2423;-2.58015;-3.53916
41;1;5.272;1.55062;5.3412;7.34353;5.04424;;;3.12595;-1.01718;3.68413
42;1;5.272;7.42661;5.39912;1.22671;1.23057;;;-1.80988;-1.92212;-2.46792
43;1;5.272;1.98527;5.30686;6.4898;5.04424;;;2.76085;-0.541689;2.28536
44;1;5.272;10.3587;5.4398;-0.109041;1.00885;;;-4.27279;-2.67808;-3.51682
45;1;5.272;1.58085;5.34085;7.2403;5.04424;;;3.10057;-1.1278;3.68668
46;1;5.272;7.49132;5.39461;1.08478;1.08645;;;-1.86423;-2.05992;-2.4824
47;1;5.272;1.72846;5.3052;6.55381;5.04424;;;2.97658;-0.571628;2.4204
48;1;5.272;10.7205;5.43413;-0.492895;1.00885;;;-4.57674;-2.86;-3.77666
49;1;5.272;1.49877;5.34261;7.26617;5.04424;;;3.16951;-1.27524;3.87312
50;1;5.272;7.42036;5.38983;0.951119;1.00885;;;-1.80462;-2.17755;-2.48707
51;1;5.272;1.55578;5.30463;6.52379;5.04424;;;3.12162;-0.616741;2.46312
52;1;5.272;10.7289;5.42255;-0.616216;1.00885;;;-4.58376;-2.90862;-3.85269
53;1;5.272;1.59976;5.34121;7.15238;5.04424;;;3.08468;-1.36628;3.83422
54;1;5.272;7.87695;5.39404;0.592013;1.00885;;;-2.18816;-2.46036;-2.63642
55;1;5.272;1.59592;5.31653;6.40545;5.04424;;;3.08791;-0.916406;2.63803
56;1;5.272;10.149;5.41318;-0.504692;1.00885;;;-4.09665;-2.96473;-3.59228
57;1;5.272;1.53337;5.3371;6.89786;5.04424;;;3.14045;-1.39451;3.61855
58;1;5.272;7.65363;5.38165;0.687762;1.00885;;;-2.00057;-2.39479;-2.57051
59;1;5.272;1.61927;5.31066;6.36135;5.04424;;;3.0683;-0.860643;2.53443
60;1;5.272;10.6365;5.40929;-0.770658;1.00885;;;-4.50619;-3.11374;-3.78724
61;1;5.272;1.58649;5.33978;6.9175;5.04424;;;3.09583;-1.56582;3.80101
62;1;5.272;7.68797;5.38172;0.515407;1.00885;;;-2.02941;-2.58053;-2.56262
63;1;5.272;1.59656;5.31531;6.20548;5.04424;;;3.08737;-1.03684;2.55839
64;1;5.272;10.6002;5.40643;-0.931713;1.00885;;;-4.4757;-3.27469;-3.78154
65;1;5.272;1.59936;5.3419;6.73256;5.04424;;;3.08502;-1.73218;3.78036
66;1;5.272;7.74815;5.38201;0.313526;1.00885;;;-2.07997;-2.77216;-2.58249
67;1;5.272;1.605;5.32009;6.03338;5.04424;;;3.08028;-1.23203;2.58012
68;1;5.272;10.4907;5.40349;-1.04891;1.00885;;;-4.38374;-3.4239;-3.73201
69;1;5.272;1.54185;5.34219;6.57648;5.04424;;;3.13333;-1.85723;3.75853
70;1;5.272;7.68632;5.37882;0.206367;1.00885;;;-2.02803;-2.87125;-2.58068
71;1;5.272;1.60262;5.32072;5.90995;5.04424;;;3.08228;-1.33011;2.55515
72;1;5.272;9.98751;5.39143;-0.80579;1.00885;;;-3.96103;-3.31062;-3.52165
73;1;5.272;1.47544;5.33298;6.52355;5.04424;;;3.18911;-1.71607;3.57507
74;1;5.272;7.12035;5.35927;0.704503;1.00885;;;-1.55261;-2.49237;-2.37086
75;1;5.272;1.44087;5.30248;6.1611;5.04424;;;3.21815;-0.883299;2.38538
76;1;5.272;9.73998;5.36587;-0.258602;1.00885;;;-3.75311;-2.75985;-3.48563
77;1;5.272;1.44639;5.31067;6.99012;5.04424;;;3.21352;-1.15309;3.48331
78;1;5.272;7.14573;5.33616;1.23801;1.24166;;;-1.57393;-1.94006;-2.39373
79;1;5.272;1.94725;5.28973;6.37974;5.04424;;;2.79279;-0.543665;2.18336
80;1;5.272;10.1016;5.35476;0.04783;1.00885;;;-4.05684;-2.57209;-3.42482
81;1;5.272;1.53482;5.30382;7.26962;5.04424;;;3.13923;-1.00247;3.59804
82;1;5.272;7.26538;5.32963;1.34441;1.35252;;;-1.67444;-1.83969;-2.40684
83;1;5.272;2.01643;5.28661;6.48332;5.04424;;;2.73468;-0.472353;2.20456
84;1;5.272;9.88573;5.34557;0.294972;1.00885;;;-3.87553;-2.41012;-3.3051
85;1;5.272;1.51149;5.29704;7.35679;5.04424;;;3.15883;-0.830705;3.51718
86;1;5.272;7.28276;5.32186;1.49456;1.49664;;;-1.68904;-1.67522;-2.42393
87;1;5.272;2.45376;5.28645;6.3577;5.04424;;;2.36732;-0.491564;2.02818
88;1;5.272;10.0525;5.34457;0.346065;1.00885;;;-4.01558;-2.49936;-3.19145
89;1;5.272;1.51387;5.29842;7.33596;5.04424;;;3.15683;-0.920943;3.58621
90;1;5.272;7.49566;5.32458;1.26056;1.26383;;;-1.86787;-1.85488;-2.51235
91;1;5.272;1.88729;5.28414;6.65266;5.04424;;;2.84315;-0.433303;2.35551
92;1;5.272;10.0551;5.33961;0.164628;1.00885;;;-4.01778;-2.44219;-3.43047
