POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.152;5.15923;5.15923;6.82708;6.32848;;;0.833928;0.416964;0.416964
8;1;6.152;9.76926;7.46424;3.69226;3.69973;;;-3.0385;-1.10228;-1.93621
9;1;6.152;5.00689;6.64513;7.34764;6.32848;;;0.961893;-0.621338;2.0002
10;1;6.152;8.35464;7.07251;3.55192;3.56064;;;-1.85022;-1.54645;-1.40606
11;1;6.152;5.33629;6.72526;6.08534;6.09203;;;0.685193;-1.20385;1.26771
12;1;6.152;9.61667;7.20717;2.24957;2.25322;;;-2.91033;-2.65902;-1.79776
13;1;6.152;3.04159;6.61208;7.06322;6.32848;;;2.61274;-1.35265;2.76153
14;1;6.152;7.71901;6.75045;2.42742;2.43403;;;-1.31629;-2.01079;-1.96451
15;1;6.152;3.24872;6.36137;6.77358;6.32848;;;2.43875;-0.791413;1.87752
16;1;6.152;9.65629;6.69086;1.75829;1.76641;;;-2.9436;-2.26321;-2.69118
17;1;6.152;2.16717;6.27962;8.07027;6.32848;;;3.34726;-0.589586;3.14543
18;1;6.152;7.68982;6.39713;2.84307;2.85129;;;-1.29177;-1.23547;-2.31951
19;1;6.152;3.61143;6.18285;7.29;6.32848;;;2.13408;-0.168433;1.71292
20;1;6.152;9.47814;6.41823;2.65475;2.65657;;;-2.79396;-1.56541;-2.46402
21;1;6.152;3.33546;6.21271;7.89881;6.32848;;;2.36589;-0.382465;2.57993
22;1;6.152;7.73685;6.30797;3.50889;3.51891;;;-1.33127;-1.0481;-1.84858
23;1;6.152;4.72236;6.2147;6.74169;6.32848;;;1.2009;-0.447653;1.26609
24;1;6.152;9.83953;6.41608;2.59638;2.60094;;;-3.09753;-1.99642;-2.14921
25;1;6.152;3.46237;6.26062;7.53329;6.32848;;;2.25929;-0.866774;2.67841
26;1;6.152;8.03139;6.34916;2.8776;2.87911;;;-1.57868;-1.65612;-1.91898
27;1;6.152;3.96493;6.23562;6.77244;6.32848;;;1.83714;-0.737544;1.70791
28;1;6.152;10.2417;6.41771;1.71492;1.72468;;;-3.43531;-2.4552;-2.63623
29;1;6.152;2.34628;6.2407;8.00235;6.32848;;;3.19681;-0.856795;3.31606
30;1;6.152;8.32365;6.32748;2.22008;2.2254;;;-1.82418;-1.76889;-2.51049
31;1;6.152;3.17259;6.20129;7.32121;6.32848;;;2.50271;-0.517533;2.16344
32;1;6.152;10.4899;6.36624;1.43335;1.44651;;;-3.64383;-2.33945;-3.07327
33;1;6.152;2.01675;6.20514;8.44644;6.32848;;;3.47361;-0.602643;3.55872
34;1;6.152;8.48559;6.28659;2.22571;2.23931;;;-1.96021;-1.58275;-2.71691
35;1;6.152;3.21125;6.18054;7.54907;6.32848;;;2.47023;-0.347635;2.21522
36;1;6.152;10.3404;6.3192;1.72116;1.72468;;;-3.51823;-2.10675;-2.99423
37;1;6.152;2.4493;6.19437;8.3222;6.32848;;;3.11027;-0.551617;3.31425
38;1;6.152;8.18029;6.25643;2.66601;2.67048;;;-1.70376;-1.4035;-2.40702
39;1;6.152;3.75468;6.18062;7.23056;6.32848;;;2.01375;-0.396623;1.85876
40;1;6.152;10.4606;6.3065;1.81865;1.82205;;;-3.61922;-2.20623;-2.81649
41;1;6.152;2.62078;6.20119;8.15661;6.32848;;;2.96623;-0.723121;3.29272
42;1;6.152;8.35734;6.26108;2.44613;2.44794;;;-1.85249;-1.64936;-2.40936
43;1;6.152;3.58466;6.18875;7.17467;6.32848;;;2.15656;-0.571083;2.00453
44;1;6.152;10.3997;6.29956;1.61418;1.62732;;;-3.56809;-2.35513;-2.86233
45;1;6.152;2.30077;6.19703;8.19975;6.32848;;;3.23503;-0.737611;3.40156
46;1;6.152;8.47551;6.25399;2.21688;2.2254;;;-1.95175;-1.71349;-2.59339
47;1;6.152;3.13608;6.17795;7.46522;6.32848;;;2.53338;-0.446798;2.24256
48;1;6.152;10.3578;6.27747;1.57854;1.5856;;;-3.53291;-2.21325;-3.03314
49;1;6.152;2.187;6.18234;8.4014;6.32848;;;3.3306;-0.547951;3.43175
50;1;6.152;8.50432;6.23511;2.33917;2.35058;;;-1.97595;-1.53593;-2.65328
51;1;6.152;3.45449;6.17332;7.43836;6.32848;;;2.26591;-0.402971;2.12093
52;1;6.152;10.312;6.26329;1.78729;1.79423;;;-3.49438;-2.15016;-2.88014
53;1;6.152;2.44258;6.182;8.27143;6.32848;;;3.11591;-0.592203;3.30515
54;1;6.152;8.29573;6.22604;2.5441;2.5453;;;-1.80074;-1.49257;-2.45832
55;1;6.152;3.54906;6.1714;7.32979;6.32848;;;2.18647;-0.399338;1.9936
56;1;6.152;10.2505;6.25299;1.87245;1.87768;;;-3.44274;-2.12071;-2.81461
57;1;6.152;2.32872;6.17604;8.35249;6.32848;;;3.21155;-0.514934;3.32715
58;1;6.152;8.15148;6.21403;2.67164;2.68439;;;-1.67956;-1.35472;-2.44556
59;1;6.152;3.71807;6.16694;7.29213;6.32848;;;2.0445;-0.332467;1.86203
60;1;6.152;10.0926;6.23963;2.11768;2.12804;;;-3.31009;-1.98751;-2.6773
61;1;6.152;2.85452;6.17809;8.06182;6.32848;;;2.76988;-0.602574;3.03999
62;1;6.152;8.22928;6.21471;2.75194;2.75393;;;-1.74491;-1.47503;-2.2574
63;1;6.152;3.74784;6.17144;7.18426;6.32848;;;2.0195;-0.465282;1.8822
64;1;6.152;10.3318;6.24317;1.83468;1.83595;;;-3.51107;-2.22082;-2.76528
65;1;6.152;2.38875;6.17784;8.24573;6.32848;;;3.16113;-0.640252;3.3361
66;1;6.152;7.96258;6.20758;2.69999;2.71221;;;-1.52088;-1.40069;-2.34101
67;1;6.152;3.70466;6.16655;7.17594;6.32848;;;2.05577;-0.372811;1.78833
68;1;6.152;10.1669;6.23107;2.02119;2.03068;;;-3.3725;-2.05906;-2.71413
69;1;6.152;2.71681;6.17529;8.11512;6.32848;;;2.88556;-0.616279;3.12903
70;1;6.152;7.88789;6.20205;2.91253;2.92084;;;-1.45815;-1.34535;-2.17186
