POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;27.952;25.638;25.638;29.5255;28.7829;;;1.94376;0.971881;0.971881
8;1;27.952;39.7921;32.7151;19.9007;19.9082;;;-9.9457;-4.00097;-5.94473
9;1;27.952;23.9617;29.7973;31.6373;28.7829;;;3.35182;-2.32506;6.64876
10;1;27.952;32.2528;30.4112;21.0265;21.0355;;;-3.61268;-4.1314;-3.48225
11;1;27.952;24.4378;29.2165;28.0166;28.0274;;;2.9519;-2.65544;3.28229
12;1;27.952;38.9907;30.8455;16.3143;16.3223;;;-9.27252;-7.2917;-6.11221
13;1;27.952;23.7344;29.8297;28.1645;28.1713;;;3.54278;-5.52031;6.40765
14;1;27.952;29.9501;29.8447;19.3016;19.3085;;;-1.67841;-6.35952;-2.61059
15;1;27.952;23.7908;29.1721;25.2613;25.269;;;3.49541;-4.61181;2.58691
16;1;27.952;34.7238;29.7272;16.9876;16.9939;;;-5.68834;-7.45598;-4.59187
17;1;27.952;24.2326;29.2277;25.8694;25.8806;;;3.12428;-5.89384;4.40631
18;1;27.952;28.0474;29.1294;20.4312;20.4359;;;-0.0801276;-5.93391;-1.6022
19;1;27.952;23.9486;28.7308;24.7805;24.7893;;;3.36285;-4.25248;1.72149
20;1;27.952;34.2112;29.1223;17.7618;17.7734;;;-5.25775;-6.88136;-4.3103
21;1;27.952;24.6198;28.8221;25.9654;25.9766;;;2.79905;-5.48184;4.0284
22;1;27.952;28.1732;28.7816;20.9202;20.9276;;;-0.185797;-5.57474;-1.49242
23;1;27.952;24.2297;28.5138;25.0014;25.0052;;;3.12676;-4.01135;1.65628
24;1;27.952;34.993;28.8738;17.5894;17.5936;;;-5.91448;-6.96859;-4.52062
25;1;27.952;24.6442;28.6512;26.1899;26.1924;;;2.77855;-5.57932;4.34651
26;1;27.952;28.9046;28.6638;20.3356;20.3399;;;-0.800213;-5.97942;-1.78938
27;1;27.952;24.6479;28.4726;24.6195;24.6214;;;2.77548;-4.59168;1.78785
28;1;27.952;35.4001;28.7875;16.9079;16.91;;;-6.25639;-7.71988;-4.51594
29;1;27.952;24.8682;28.6171;25.4573;25.4609;;;2.59039;-6.42468;4.42339
30;1;27.952;28.7571;28.6229;19.6847;19.6923;;;-0.676245;-6.7628;-1.63332
31;1;27.952;24.6839;28.4654;23.7496;23.7579;;;2.74522;-5.39019;1.71073
32;1;27.952;33.124;28.6445;17.6722;17.6775;;;-4.3445;-7.56244;-3.54486
33;1;27.952;25.75;28.5373;24.0592;24.0697;;;1.84967;-6.63761;3.09709
34;1;27.952;26.7561;28.4737;21.2028;21.2034;;;1.00455;-6.13534;-0.422558
35;1;27.952;24.6982;28.3435;23.5269;23.53;;;2.73316;-4.76875;0.864306
36;1;27.952;32.74;28.4901;18.5608;18.565;;;-4.0219;-6.7797;-3.37753
37;1;27.952;25.314;28.3876;24.9771;24.9812;;;2.21595;-5.67173;3.11893
38;1;27.952;28.9912;28.4065;20.4657;20.4718;;;-0.872916;-6.10818;-1.54443
39;1;27.952;25.3932;28.3152;24.0202;24.0217;;;2.14937;-5.0335;1.51114
40;1;27.952;34.9181;28.5094;17.1069;17.1138;;;-5.85149;-7.95925;-4.00043
41;1;27.952;26.0399;28.4388;24.2187;24.2256;;;1.60617;-7.15616;3.72883
42;1;27.952;27.4121;28.4103;20.3599;20.3639;;;0.453529;-6.92939;-0.576322
43;1;27.952;25.8254;28.3404;22.2419;22.2468;;;1.78635;-6.03622;0.666411
