POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;32.648;29.6496;29.6496;34.6869;34.7014;;;2.51863;1.25931;1.25931
8;1;32.648;48.9397;39.2947;21.5697;21.5826;;;-13.685;-5.58319;-8.10182
9;1;32.648;27.3134;35.3009;37.5349;35.0224;;;4.48108;-3.34265;9.08304
10;1;32.648;39.9305;36.4583;22.1127;22.1225;;;-6.11728;-6.40129;-5.29918
11;1;32.648;29.1385;34.9943;31.6918;31.6953;;;2.94796;-4.92731;4.53262
12;1;32.648;46.0494;36.8368;17.1338;17.1464;;;-11.2572;-10.5559;-7.10256
13;1;32.648;23.9217;34.9918;33.6546;33.6653;;;7.33012;-6.89083;9.29364
14;1;32.648;38.3892;35.4165;18.1881;18.1971;;;-4.82264;-9.30215;-6.07638
15;1;32.648;25.9415;34.3637;30.3176;30.3236;;;5.63346;-6.48542;5.22805
16;1;32.648;42.646;35.1919;16.5472;16.5481;;;-8.39829;-10.6846;-7.01588
17;1;32.648;22.3984;34.0289;33.1323;33.14;;;8.60964;-6.37974;8.50396
18;1;32.648;37.5602;34.3232;18.6231;18.6348;;;-4.12626;-8.44287;-6.36795
19;1;32.648;26.4587;33.7182;30.477;30.4841;;;5.19901;-5.84337;4.66264
20;1;32.648;42.7736;34.365;17.3197;17.3215;;;-8.50551;-10.0961;-6.85226
21;1;32.648;23.5131;33.6416;33.0163;33.0232;;;7.6733;-6.25948;8.08941
22;1;32.648;36.528;33.822;19.9135;19.919;;;-3.25918;-7.88907;-5.46624
23;1;32.648;27.7079;33.4623;29.7478;29.7545;;;4.1497;-5.81422;3.70444
24;1;32.648;41.2803;33.8966;18.889;18.8975;;;-7.25115;-9.43979;-5.70042
25;1;32.648;26.8744;33.5271;30.7598;30.7614;;;4.84981;-7.01488;6.05048
26;1;32.648;34.0147;33.5514;22.2789;22.283;;;-1.14802;-7.58889;-2.99891
27;1;32.648;29.4981;33.3584;27.7751;27.7845;;;2.64592;-6.26593;1.89697
28;1;32.648;37.1147;33.5292;22.0217;22.0349;;;-3.75203;-8.14195;-3.19898
29;1;32.648;30.3014;33.3888;27.9777;27.9888;;;1.97111;-7.1564;2.86157
30;1;32.648;29.1733;33.2132;26.8688;26.8797;;;2.91871;-5.69704;0.4738
31;1;32.648;28.0816;33.0079;28.5967;28.6016;;;3.83574;-3.77917;0.458517
32;1;32.648;38.6432;33.2247;22.8743;22.8813;;;-5.03593;-6.29714;-4.43584
33;1;32.648;29.5614;33.089;30.9677;30.9802;;;2.59272;-5.00078;3.81432
34;1;32.648;34.5055;33.1396;25.0877;25.0994;;;-1.56032;-5.78094;-2.07652
35;1;32.648;29.1205;33.001;30.0459;30.0463;;;2.96311;-4.29938;2.26172
36;1;32.648;42.912;33.3314;19.8875;19.8898;;;-8.62177;-8.61026;-5.79244
37;1;32.648;29.6319;33.212;30.3996;30.4111;;;2.53353;-7.3435;5.57765
38;1;32.648;33.6185;33.2247;23.3778;23.3921;;;-0.815212;-7.75111;-1.67437
39;1;32.648;29.1058;33.0999;27.7132;27.7261;;;2.97543;-6.26339;1.89532
