PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0;0.741;0.259;0;0;
1;0;0;0;0;
0.007;0.993;0;0;0;
1;0;0;0;0;
0;0.174;0.826;0;0;
1;0;0;0;0;
0;0.399;0.601;0;0;
1;0;0;0;0;
0;0;0.511;0.489;0;
1;0;0;0;0;
0;0;0.771;0.229;0;
1;0;0;0;0;
0;0;0.15;0.85;0;
1;0;0;0;0;
0;0;0.574;0.426;0;
1;0;0;0;0;
0;0;0.29;0.71;0;
1;0;0;0;0;
0;0;0.87;0.13;0;
1;0;0;0;0;
0;0;0.495;0.505;0;
1;0;0;0;0;
0;0;0.915;0.085;0;
1;0;0;0;0;
0;0;0.314;0.686;0;
1;0;0;0;0;
0;0;0.763;0.237;0;
1;0;0;0;0;
0;0;0.324;0.676;0;
1;0;0;0;0;
0;0;0.862;0.138;0;
1;0;0;0;0;
0;0;0.439;0.561;0;
1;0;0;0;0;
0;0;0.856;0.144;0;
1;0;0;0;0;
0;0;0.377;0.623;0;
1;0;0;0;0;
0;0;0.7;0.3;0;
1;0;0;0;0;
0;0;0.191;0.809;0;
1;0;0;0;0;
0;0;0.447;0.553;0;
1;0;0;0;0;
0;0;0.115;0.885;0;
1;0;0;0;0;
0;0;0.653;0.347;0;
1;0;0;0;0;
0;0;0.367;0.633;0;
1;0;0;0;0;
0;0;0.748;0.252;0;
1;0;0;0;0;
0;0;0.223;0.777;0;
1;0;0;0;0;
0;0;0.567;0.433;0;
1;0;0;0;0;
0;0;0;0.951;0.049;
1;0;0;0;0;
0;0;0.13;0.87;0;
1;0;0;0;0;
0;0;0;0.554;0.446;
1;0;0;0;0;
0;0;0;0.999;0.001;
1;0;0;0;0;
0;0;0;0.654;0.346;
1;0;0;0;0;
0;0;0.259;0.741;0;
1;0;0;0;0;
0;0;0;0.942;0.058;
1;0;0;0;0;
0;0;0.384;0.616;0;
1;0;0;0;0;
0;0;0;0.65;0.35;
1;0;0;0;0;
0;0;0;0.936;0.064;
1;0;0;0;0;
0;0;0;0.522;0.478;
1;0;0;0;0;
0;0;0.096;0.904;0;
1;0;0;0;0;
0;0;0;0.814;0.186;
1;0;0;0;0;
0;0;0.364;0.636;0;
1;0;0;0;0;
0;0;0;0.759;0.241;
1;0;0;0;0;
0;0;0.037;0.963;0;
1;0;0;0;0;
0;0;0;0.574;0.426;
1;0;0;0;0;
0;0;0.086;0.914;0;
1;0;0;0;0;
0;0;0;0.819;0.181;
1;0;0;0;0;
0;0;0.245;0.755;0;
1;0;0;0;0;
0;0;0;0.565;0.435;
1;0;0;0;0;
0;0;0.127;0.873;0;
1;0;0;0;0;
0;0;0;0.933;0.067;
1;0;0;0;0;
0;0;0.557;0.443;0;
1;0;0;0;0;
0;0;0.208;0.792;0;
1;0;0;0;0;
0;0;0.528;0.472;0;
1;0;0;0;0;
0;0;0.072;0.928;0;
1;0;0;0;0;
0;0;0.437;0.563;0;
1;0;0;0;0;
0;0;0.064;0.936;0;
1;0;0;0;0;
0;0;0.469;0.531;0;
1;0;0;0;0;
0;0;0.113;0.887;0;
1;0;0;0;0;
0;0;0.518;0.482;0;
