POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;61.696;58.4515;58.4515;63.9022;63.9084;;;2.72535;1.36267;1.36267
8;1;61.696;88.8447;73.6481;43.2349;43.2415;;;-22.8049;-10.0398;-12.7651
9;1;61.696;53.7841;67.0268;68.4388;66.24;;;6.64601;-6.71676;14.7254
10;1;61.696;77.9439;69.756;40.6077;40.6184;;;-13.6482;-13.5409;-10.1471
11;1;61.696;56.9271;67.1903;58.2221;58.225;;;4.00586;-11.5379;8.82704
12;1;61.696;78.6644;69.1026;36.6166;36.6175;;;-14.2535;-18.6647;-9.12966
13;1;61.696;53.3321;66.8497;55.8455;55.8536;;;7.02571;-15.1518;10.6396
14;1;61.696;59.3731;65.9151;44.6109;44.6193;;;1.95122;-14.1762;-2.53725
15;1;61.696;56.6798;64.889;49.9552;49.9582;;;4.21359;-12.0694;1.13119
16;1;61.696;68.3374;65.2338;43.0037;43.0163;;;-5.57875;-14.8588;-4.89617
17;1;61.696;57.8136;64.5592;52.2666;52.2766;;;3.26122;-13.2282;4.41998
18;1;61.696;55.7862;63.8282;50.8559;50.8591;;;4.96425;-10.746;0.851514
19;1;61.696;55.8573;63.215;52.4381;52.4489;;;4.90447;-8.29381;-0.0298868
20;1;61.696;69.2232;63.6442;45.8314;45.8381;;;-6.32286;-11.4552;-5.61366
21;1;61.696;57.4888;63.2338;56.2631;56.2643;;;3.53403;-9.68823;4.92844
22;1;61.696;59.8849;63.0245;51.4723;51.4818;;;1.52129;-8.92758;-1.00637
23;1;61.696;55.5032;62.5821;56.2189;56.2245;;;5.20198;-6.32659;1.84035
24;1;61.696;73.9732;63.2149;44.4199;44.4206;;;-10.3129;-11.483;-7.75742
25;1;61.696;56.981;62.8868;58.5756;58.5827;;;3.96057;-9.50273;7.13671
26;1;61.696;67.4467;63.1148;46.3025;46.315;;;-4.83061;-11.918;-4.39559
27;1;61.696;56.6124;62.8052;55.6501;55.6549;;;4.27023;-9.78292;4.55042
28;1;61.696;73.2185;63.2785;41.9427;41.9432;;;-9.67886;-14.6223;-6.97455
29;1;61.696;57.379;63.022;54.8486;54.86;;;3.62629;-12.8092;6.65257
30;1;61.696;57.1371;62.7768;50.1737;50.1834;;;3.82951;-10.8944;0.101614
31;1;61.696;55.3764;62.4808;53.1841;53.1907;;;5.30843;-8.24023;0.739457
32;1;61.696;69.7097;62.7588;45.3522;45.3612;;;-6.73152;-11.606;-6.01998
33;1;61.696;60.3504;62.6696;54.3708;54.3831;;;1.13031;-11.0408;3.93092
34;1;61.696;59.8526;62.569;51.3435;51.3493;;;1.54848;-10.2666;0.209084
35;1;61.696;57.856;62.4065;53.2664;53.2702;;;3.22562;-8.65379;0.838572
36;1;61.696;72.8673;62.7552;43.8329;43.8377;;;-9.38391;-13.3457;-6.30476
37;1;61.696;60.9215;62.696;53.5689;53.5749;;;0.650594;-13.0204;5.01725
38;1;61.696;57.6569;62.5386;51.0969;51.0976;;;3.39286;-11.324;1.37113
39;1;61.696;56.3599;62.3513;52.3041;52.3164;;;4.48233;-9.08285;0.544734
40;1;61.696;70.0294;62.5772;44.7053;44.712;;;-7.00006;-12.5829;-5.7412
41;1;61.696;58.4112;62.4581;54.8468;54.86;;;2.75922;-11.2033;4.87964
42;1;61.696;58.6662;62.3528;51.1734;51.177;;;2.54504;-9.93075;-0.107091
43;1;61.696;55.908;62.1786;54.4286;54.4361;;;4.86194;-7.49978;1.15845
44;1;61.696;72.4806;62.4497;44.4317;44.4338;;;-9.05908;-12.0293;-6.96051
45;1;61.696;58.2168;62.3412;56.5621;56.569;;;2.92255;-10.568;5.99082
46;1;61.696;61.1477;62.3113;50.0395;50.051;;;0.460552;-10.3378;-1.231
47;1;61.696;55.9291;62.1557;55.0494;55.0587;;;4.84417;-7.91569;2.19181
48;1;61.696;72.8723;62.4108;43.7584;43.7714;;;-9.38807;-12.6097;-7.11612
49;1;61.696;58.5806;62.3218;55.8988;55.9066;;;2.61692;-11.3013;6.00249
50;1;61.696;60.462;62.2795;49.9254;49.9317;;;1.0366;-10.783;-0.790164
51;1;61.696;57.3401;62.1697;53.3567;53.363;;;3.65894;-8.95349;1.31117
