POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;7.848;6.90108;6.90108;8.49191;8.19679;;;0.795416;0.397708;0.397708
8;1;7.848;12.3109;9.60598;4.81324;4.828;;;-3.74882;-1.4767;-2.27212
9;1;7.848;6.52891;8.58029;9.14269;8.19679;;;1.10803;-0.922685;2.42843
10;1;7.848;10.134;8.96871;4.81684;4.828;;;-1.92021;-1.88279;-1.51412
11;1;7.848;6.76644;8.52826;7.66077;7.67436;;;0.908509;-1.42854;1.41436
12;1;7.848;12.059;9.11671;3.10172;3.11658;;;-3.53725;-3.19716;-2.22288
13;1;7.848;4.41211;8.44463;8.75587;8.19679;;;2.88615;-1.75409;3.2117
14;1;7.848;10.0946;8.65088;3.12314;3.1346;;;-1.88716;-2.69767;-2.38666
15;1;7.848;4.38147;8.1765;8.45115;8.19679;;;2.91189;-1.24173;2.39952
16;1;7.848;13.1644;8.67529;1.53517;1.63936;;;-4.46579;-3.47462;-3.68884
17;1;7.848;2.03301;8.07145;10.5605;8.19679;;;4.88459;-1.03233;4.67519
18;1;7.848;10.1526;8.24488;2.80626;2.81033;;;-1.93585;-2.00025;-3.41022
19;1;7.848;3.98469;7.91717;9.44272;8.19679;;;3.24518;-0.377665;2.59051
20;1;7.848;13.1729;8.29258;2.22678;2.23385;;;-4.47295;-2.61414;-3.85906
21;1;7.848;2.90995;7.93374;10.8282;8.19679;;;4.14797;-0.540159;4.31046
22;1;7.848;9.83442;8.05253;3.88309;3.89122;;;-1.6686;-1.37446;-2.90828
23;1;7.848;5.40479;7.89678;8.96922;8.19679;;;2.0523;-0.348309;1.86045
24;1;7.848;12.8767;8.17345;3.05401;3.06254;;;-4.22413;-2.46038;-3.13821
25;1;7.848;4.07153;7.95756;10.0677;8.19679;;;3.17223;-0.87426;3.69818
26;1;7.848;9.60616;8.03999;4.19208;4.19748;;;-1.47685;-1.61269;-2.32454
