PS100;PS80;PS60;PS40;PS20
0.323;0.677;0;0;0;
0;0;0.761;0.239;0;
0.869;0.131;0;0;0;
0;0;0.542;0.458;0;
0.395;0.605;0;0;0;
0;0;0;0.721;0.279;
1;0;0;0;0;
0;0;0;0.684;0.316;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.672;0.328;
1;0;0;0;0;
0;0;0;0.325;0.675;
1;0;0;0;0;
0;0;0.34;0.66;0;
1;0;0;0;0;
0;0;0;0.883;0.117;
1;0;0;0;0;
0;0;0.707;0.293;0;
0.936;0.064;0;0;0;
0;0;0.009;0.991;0;
1;0;0;0;0;
0;0;0.534;0.466;0;
0.886;0.114;0;0;0;
0;0;0;0.705;0.295;
1;0;0;0;0;
0;0;0;0.935;0.065;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.746;0.254;
1;0;0;0;0;
0;0;0;0.177;0.823;
1;0;0;0;0;
0;0;0.162;0.838;0;
1;0;0;0;0;
0;0;0;0.779;0.221;
1;0;0;0;0;
0;0;0.618;0.382;0;
1;0;0;0;0;
0;0;0;0.821;0.179;
1;0;0;0;0;
0;0;0.386;0.614;0;
1;0;0;0;0;
0;0;0;0.535;0.465;
1;0;0;0;0;
0;0;0.247;0.753;0;
1;0;0;0;0;
0;0;0;0.514;0.486;
1;0;0;0;0;
0;0;0.286;0.714;0;
1;0;0;0;0;
0;0;0;0.704;0.296;
1;0;0;0;0;
0;0;0.404;0.596;0;
1;0;0;0;0;
0;0;0;0.693;0.307;
1;0;0;0;0;
0;0;0.426;0.574;0;
1;0;0;0;0;
0;0;0;0.706;0.294;
1;0;0;0;0;
0;0;0.384;0.616;0;
1;0;0;0;0;
0;0;0;0.751;0.249;
1;0;0;0;0;
0;0;0.426;0.574;0;
1;0;0;0;0;
0;0;0;0.736;0.264;
1;0;0;0;0;
0;0;0.318;0.682;0;
1;0;0;0;0;
0;0;0;0.706;0.294;
1;0;0;0;0;
0;0;0.403;0.597;0;
1;0;0;0;0;
0;0;0;0.823;0.177;
1;0;0;0;0;
0;0;0.427;0.573;0;
1;0;0;0;0;
0;0;0;0.794;0.206;
1;0;0;0;0;
0;0;0.571;0.429;0;
0.984;0.016;0;0;0;
0;0;0;0.887;0.113;
1;0;0;0;0;
0;0;0.504;0.496;0;
1;0;0;0;0;
0;0;0;0.981;0.019;
1;0;0;0;0;
0;0;0.578;0.422;0;
1;0;0;0;0;
0;0;0.045;0.955;0;
1;0;0;0;0;
0;0;0.842;0.158;0;
0.833;0.167;0;0;0;
0;0;0.363;0.637;0;
1;0;0;0;0;
0;0;0.847;0.153;0;
0.718;0.282;0;0;0;
0;0;0.347;0.653;0;
1;0;0;0;0;
0;0;0.739;0.261;0;
0.694;0.306;0;0;0;
0;0;0.149;0.851;0;
1;0;0;0;0;
0;0;0.559;0.441;0;
0.823;0.177;0;0;0;
0;0;0.01;0.99;0;
1;0;0;0;0;
0;0;0.491;0.509;0;
0.948;0.052;0;0;0;
0;0;0;0.821;0.179;
1;0;0;0;0;
0;0;0.522;0.478;0;
0.964;0.036;0;0;0;
0;0;0;0.89;0.11;
1;0;0;0;0;
0;0;0.542;0.458;0;
