POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.65303;0.744575;0.744575;0.594441;0.514951;;;-0.0366181;-0.0768981;-0.0366181
8;1;0.65303;0.5461;0.645338;0.681185;0.514951;;;0.0427719;0.0129229;0.07939
9;1;0.65303;0.386314;0.558996;0.793879;0.686601;;;0.106686;0.236964;0.0639144
10;1;0.65303;0.446479;0.530867;0.678536;0.514951;;;0.0826203;0.173503;-0.024066
11;1;0.65303;0.390897;0.502873;0.911677;0.858251;;;0.104853;0.393694;0.0222328
12;1;0.65303;1.35832;0.645448;0.490483;0.3433;;;-0.282117;-0.198752;-0.38697
13;1;0.65303;0.67553;0.649745;0.721994;0.686601;;;-0.00900012;-0.217653;0.273117
14;1;0.65303;0.450571;0.624849;0.791603;0.686601;;;0.0809835;0.170065;0.0899836
15;1;0.65303;0.441883;0.604519;0.877245;0.858251;;;0.0844587;0.347429;0.0034752
16;1;0.65303;1.32865;0.676932;0.483601;0.3433;;;-0.270249;-0.220095;-0.354708
17;1;0.65303;0.672272;0.676509;0.690869;0.686601;;;-0.00769692;-0.236259;0.262552
18;1;0.65303;0.450497;0.657675;0.790348;0.686601;;;0.0810131;0.170127;0.08871
19;1;0.65303;0.450114;0.641708;0.87201;0.858251;;;0.0811663;0.340577;0.0001532
20;1;0.65303;1.34058;0.691628;0.472408;0.3433;;;-0.27502;-0.236965;-0.356186
21;1;0.65303;0.677617;0.690694;0.675349;0.514951;;;-0.00983493;-0.257618;0.265185
22;1;0.65303;0.407039;0.672965;0.820299;0.686601;;;0.0983963;0.206632;0.108231
23;1;0.65303;0.442312;0.659397;0.896125;0.858251;;;0.0842871;0.383635;-0.0141092
24;1;0.65303;1.36898;0.698818;0.494173;0.3433;;;-0.286378;-0.217759;-0.370665
25;1;0.65303;0.68158;0.697911;0.703377;0.686601;;;-0.0114201;-0.241741;0.274958
26;1;0.65303;0.464792;0.686255;0.784922;0.686601;;;0.0752951;0.15812;0.0867152
27;1;0.65303;0.442508;0.674648;0.870588;0.858251;;;0.0842087;0.334958;0.0089136
28;1;0.65303;1.39272;0.707288;0.430374;0.3433;;;-0.295878;-0.286386;-0.380087
29;1;0.65303;0.670771;0.7057;0.651167;0.514951;;;-0.00709652;-0.301289;0.288782
30;1;0.65303;0.401839;0.693039;0.820888;0.686601;;;0.100476;0.211;0.107573
31;1;0.65303;0.439364;0.682892;0.9003;0.858251;;;0.0854663;0.390479;-0.01501
32;1;0.65303;1.38767;0.709999;0.48787;0.3433;;;-0.293858;-0.226623;-0.379324
33;1;0.65303;0.668925;0.708478;0.710092;0.686601;;;-0.00635812;-0.239975;0.2875
34;1;0.65303;0.45114;0.699287;0.788597;0.686601;;;0.0807559;0.169587;0.087114
35;1;0.65303;0.46518;0.691215;0.862085;0.858251;;;0.0751399;0.327381;-0.005616
36;1;0.65303;1.39033;0.714519;0.433397;0.3433;;;-0.294921;-0.291954;-0.370061
37;1;0.65303;0.681153;0.713442;0.637998;0.514951;;;-0.0112493;-0.315577;0.283672
38;1;0.65303;0.402591;0.703728;0.82456;0.686601;;;0.100175;0.210368;0.111425
39;1;0.65303;0.442096;0.6958;0.89822;0.858251;;;0.0843735;0.387553;-0.015802
40;1;0.65303;1.37165;0.715678;0.496291;0.3433;;;-0.287449;-0.216089;-0.371822
41;1;0.65303;0.684882;0.714798;0.704004;0.686601;;;-0.0127409;-0.242845;0.274708
42;1;0.65303;0.44865;0.707405;0.796574;0.686601;;;0.0817519;0.171679;0.0944928
43;1;0.65303;0.450254;0.700455;0.872733;0.858251;;;0.0811103;0.342011;-0.0006416
44;1;0.65303;1.41306;0.719208;0.42751;0.3433;;;-0.304013;-0.296416;-0.385123
45;1;0.65303;0.673885;0.718046;0.647279;0.514951;;;-0.00834212;-0.313934;0.29567
46;1;0.65303;0.399857;0.710091;0.823402;0.686601;;;0.101269;0.212665;0.109611
47;1;0.65303;0.453979;0.703844;0.891818;0.858251;;;0.0796203;0.379868;-0.0216488
48;1;0.65303;1.39066;0.720197;0.481193;0.3433;;;-0.295053;-0.239743;-0.374673
49;1;0.65303;0.689342;0.71948;0.6851;0.514951;;;-0.0145249;-0.270245;0.280528
50;1;0.65303;0.413499;0.712526;0.820854;0.686601;;;0.0958123;0.201206;0.110337
51;1;0.65303;0.4518;0.706732;0.88721;0.858251;;;0.0804919;0.370239;-0.0153204
52;1;0.65303;1.40705;0.721956;0.460204;0.3433;;;-0.301608;-0.263138;-0.3821
53;1;0.65303;0.69948;0.721478;0.661772;0.514951;;;-0.0185801;-0.302156;0.283028
54;1;0.65303;0.417758;0.71515;0.822184;0.686601;;;0.0941087;0.197628;0.112689
55;1;0.65303;0.474392;0.710237;0.870877;0.858251;;;0.0714551;0.347684;-0.0226536
56;1;0.65303;1.42273;0.724487;0.436653;0.3433;;;-0.307879;-0.298861;-0.379334
57;1;0.65303;0.702523;0.724056;0.630371;0.514951;;;-0.0197973;-0.340435;0.288081
58;1;0.65303;0.425467;0.718314;0.818467;0.686601;;;0.0910251;0.191153;0.110822
59;1;0.65303;0.461595;0.71347;0.875675;0.858251;;;0.0765739;0.351958;-0.0144512
60;1;0.65303;1.45806;0.727259;0.413192;0.3433;;;-0.322013;-0.32427;-0.398587
61;1;0.65303;0.697406;0.726716;0.622372;0.514951;;;-0.0177505;-0.361546;0.304263
62;1;0.65303;0.416283;0.721173;0.822298;0.686601;;;0.0946987;0.198867;0.112449
63;1;0.65303;0.476068;0.716873;0.870454;0.858251;;;0.0707847;0.347515;-0.023914
64;1;0.65303;1.49165;0.730231;0.393046;0.3433;;;-0.335446;-0.356922;-0.406231
65;1;0.65303;0.702467;0.72976;0.599914;0.514951;;;-0.0197749;-0.398449;0.315671
66;1;0.65303;0.416442;0.724538;0.824221;0.686601;;;0.0946351;0.198734;0.11441
67;1;0.65303;0.464287;0.720272;0.877924;0.858251;;;0.0754971;0.357278;-0.019138
68;1;0.65303;1.49493;0.732766;0.395993;0.3433;;;-0.336761;-0.34992;-0.412258
69;1;0.65303;0.686875;0.732038;0.61821;0.514951;;;-0.0135381;-0.37835;0.323222
70;1;0.65303;0.415512;0.727092;0.818579;0.686601;;;0.0950071;0.199515;0.108545
71;1;0.65303;0.45372;0.722886;0.885096;0.858251;;;0.0797239;0.366935;-0.0152832
72;1;0.65303;1.41872;0.733429;0.450199;0.3433;;;-0.306276;-0.276245;-0.386
73;1;0.65303;0.685459;0.732713;0.662306;0.514951;;;-0.0129717;-0.303485;0.293304
74;1;0.65303;0.40411;0.727881;0.82531;0.686601;;;0.0995679;0.209093;0.11254
75;1;0.65303;0.453092;0.723898;0.890514;0.858251;;;0.0799751;0.37704;-0.0195928
76;1;0.65303;1.44149;0.73415;0.445483;0.3433;;;-0.315383;-0.285263;-0.395358
77;1;0.65303;0.689008;0.733514;0.660123;0.514951;;;-0.0143913;-0.315485;0.300991
78;1;0.65303;0.407064;0.72898;0.824839;0.686601;;;0.0983863;0.206611;0.112778
79;1;0.65303;0.452845;0.725197;0.889373;0.858251;;;0.0800739;0.374766;-0.0183124
80;1;0.65303;1.42583;0.734665;0.453129;0.3433;;;-0.309121;-0.274388;-0.389195
81;1;0.65303;0.687715;0.734039;0.665564;0.514951;;;-0.0138741;-0.303523;0.295247
82;1;0.65303;0.415967;0.729854;0.818624;0.686601;;;0.0948251;0.199133;0.108699
83;1;0.65303;0.465877;0.726426;0.877115;0.858251;;;0.0748611;0.356341;-0.019964
84;1;0.65303;1.43815;0.735551;0.432031;0.3433;;;-0.314049;-0.303163;-0.38891
85;1;0.65303;0.690776;0.734984;0.639759;0.514951;;;-0.0150985;-0.33487;0.298951
86;1;0.65303;0.414455;0.730977;0.820816;0.686601;;;0.0954299;0.200403;0.110528
87;1;0.65303;0.453289;0.727549;0.885837;0.858251;;;0.0798963;0.368185;-0.0155336
88;1;0.65303;1.43538;0.736181;0.440613;0.3433;;;-0.312941;-0.28899;-0.392837
89;1;0.65303;0.694299;0.735676;0.650568;0.514951;;;-0.0165077;-0.323656;0.296433
90;1;0.65303;0.426107;0.731991;0.814768;0.686601;;;0.0907691;0.190615;0.107277
91;1;0.65303;0.466437;0.728867;0.872295;0.858251;;;0.0746371;0.347353;-0.016132
92;1;0.65303;1.46373;0.737412;0.406897;0.3433;;;-0.324281;-0.333636;-0.398918
93;1;0.65303;0.703613;0.737023;0.611301;0.514951;;;-0.0202333;-0.376126;0.304047
94;1;0.65303;0.413523;0.733347;0.826547;0.686601;;;0.0958027;0.201186;0.116036
95;1;0.65303;0.473292;0.730425;0.873445;0.858251;;;0.0718951;0.352165;-0.0239076
96;1;0.65303;1.46229;0.738557;0.415373;0.3433;;;-0.323704;-0.327613;-0.395599
97;1;0.65303;0.700146;0.738135;0.618966;0.514951;;;-0.0188465;-0.367191;0.304858
98;1;0.65303;0.426756;0.73475;0.816691;0.686601;;;0.0905095;0.19007;0.109356
99;1;0.65303;0.466695;0.731868;0.871844;0.858251;;;0.0745339;0.346591;-0.0159756
100;1;0.65303;1.44445;0.739449;0.41858;0.3433;;;-0.316567;-0.3182;-0.391101
101;1;0.65303;0.700244;0.739036;0.62118;0.514951;;;-0.0188857;-0.35786;0.297681
102;1;0.65303;0.427316;0.735789;0.816372;0.686601;;;0.0902855;0.189599;0.109171
103;1;0.65303;0.472205;0.733072;0.868072;0.858251;;;0.0723299;0.341492;-0.0179556
104;1;0.65303;1.44934;0.74038;0.412554;0.3433;;;-0.318524;-0.327408;-0.390854
105;1;0.65303;0.701861;0.739991;0.612894;0.514951;;;-0.0195325;-0.368426;0.298991
106;1;0.65303;0.426067;0.736852;0.817818;0.686601;;;0.0907851;0.190649;0.110318
107;1;0.65303;0.472994;0.73424;0.868116;0.858251;;;0.0720143;0.341879;-0.0187708
108;1;0.65303;1.49339;0.741682;0.385063;0.3433;;;-0.336145;-0.364025;-0.408159
109;1;0.65303;0.700585;0.741283;0.594714;0.514951;;;-0.0190221;-0.403971;0.317122
110;1;0.65303;0.412437;0.738121;0.826031;0.686601;;;0.0962371;0.202098;0.115259
111;1;0.65303;0.470405;0.735572;0.87577;0.858251;;;0.0730499;0.355503;-0.0231872
112;1;0.65303;1.48805;0.74267;0.401072;0.3433;;;-0.334007;-0.345911;-0.407056
113;1;0.65303;0.694562;0.742221;0.614544;0.514951;;;-0.0166129;-0.380798;0.317394
114;1;0.65303;0.408398;0.73913;0.826207;0.686601;;;0.0978527;0.205491;0.114466
115;1;0.65303;0.489479;0.73684;0.86534;0.858251;;;0.0654203;0.342873;-0.0324324
116;1;0.65303;1.47798;0.743577;0.402517;0.3433;;;-0.329979;-0.350082;-0.395399
117;1;0.65303;0.700473;0.743189;0.602563;0.514951;;;-0.0189773;-0.389934;0.311001
118;1;0.65303;0.426125;0.740358;0.817226;0.686601;;;0.0907619;0.1906;0.109739
119;1;0.65303;0.472694;0.737989;0.868283;0.858251;;;0.0721343;0.342082;-0.0186276
120;1;0.65303;1.46765;0.74439;0.401617;0.3433;;;-0.32585;-0.342203;-0.397984
121;1;0.65303;0.708431;0.744077;0.60122;0.514951;;;-0.0221605;-0.38874;0.30369
122;1;0.65303;0.428916;0.74136;0.818623;0.686601;;;0.0896455;0.188255;0.111806
123;1;0.65303;0.494138;0.739247;0.85333;0.686601;;;0.0635567;0.321725;-0.0260888
124;1;0.65303;0.876351;0.740409;0.768272;0.686601;;;-0.0893285;0.134135;-0.152885
125;1;0.65303;0.449438;0.737964;1.00679;0.858251;;;0.0814367;0.305152;0.170765
126;1;0.65303;1.02274;0.740337;0.334981;0.17165;;;-0.147883;-0.310553;-0.229319
127
