POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.781073;0.878049;0.878049;0.719009;0.65446;;;-0.0387902;-0.0814595;-0.0387902
8;1;0.781073;0.820662;0.849355;0.713068;0.65446;;;-0.0158354;-0.114714;0.0229548
9;1;0.781073;0.438261;0.712324;0.901595;0.872613;;;0.137125;0.173249;0.15296
10;1;0.781073;0.566894;0.675967;0.781023;0.65446;;;0.0856718;0.179911;-0.0514532
11;1;0.781073;0.468715;0.634516;1.07522;0.872613;;;0.124943;0.442292;0.0392716
12;1;0.781073;1.16857;0.723525;0.850427;0.65446;;;-0.154997;0.116798;-0.27994
13;1;0.781073;0.444346;0.683642;1.26837;1.09077;;;0.134691;0.399649;0.289688
14;1;0.781073;1.15032;0.741976;0.410067;0.218153;;;-0.147697;-0.310165;-0.282388
15;1;0.781073;0.068774;0.667176;1.07448;0.872613;;;0.28492;0.288167;0.432617
16;1;0.781073;1.22502;0.722961;0.500193;0.436307;;;-0.17758;-0.0847507;-0.4625
17;1;0.781073;0.753731;0.725758;0.891402;0.872613;;;0.010937;-0.061783;0.188517
18;1;0.781073;0.548722;0.711005;0.918841;0.872613;;;0.0929406;0.195175;0.0820036
19;1;0.781073;0.536634;0.697592;1.03975;0.872613;;;0.0977758;0.400504;0.0048352
20;1;0.781073;1.27529;0.738856;0.767505;0.65446;;;-0.197686;-0.0146359;-0.295462
21;1;0.781073;0.460121;0.720274;1.16953;1.09077;;;0.128381;0.254964;0.326067
22;1;0.781073;1.18518;0.74933;0.394064;0.218153;;;-0.161643;-0.33945;-0.290024
23;1;0.781073;0.061331;0.70886;1.0639;0.872613;;;0.287897;0.265133;0.44954
24;1;0.781073;1.26253;0.739619;0.450178;0.436307;;;-0.192582;-0.139289;-0.480479
25;1;0.781073;0.766205;0.741018;0.843882;0.65446;;;0.00594737;-0.1268;0.19853
26;1;0.781073;0.50482;0.729208;0.951928;0.872613;;;0.110501;0.232053;0.104554
27;1;0.781073;0.527502;0.719603;1.06491;0.872613;;;0.101429;0.445053;-0.0090728
28;1;0.781073;1.27775;0.744974;0.806826;0.65446;;;-0.19867;0.0278463;-0.300098
29;1;0.781073;0.448483;0.732083;1.22045;1.09077;;;0.133036;0.307222;0.331706
30;1;0.781073;1.22809;0.75275;0.361947;0.218153;;;-0.178807;-0.375494;-0.311843
31;1;0.781073;0.07161;0.725504;1.03844;0.872613;;;0.283785;0.220455;0.462592
