POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;3.36828;4.22384;4.22384;2.82072;1.96282;;;-0.342223;-0.718668;-0.342223
8;1;3.36828;5.2424;4.73312;1.7924;0.98141;;;-0.749648;-2.29293;-0.407425
9;1;3.36828;0.39282;3.28635;3.72929;2.94423;;;1.19018;0.206456;1.93983
10;1;3.36828;2.80486;3.16598;2.53868;1.96282;;;0.225366;0.47327;-0.964817
11;1;3.36828;4.43834;3.42045;2.93134;1.96282;;;-0.428025;-0.425582;-0.653391
12;1;3.36828;5.3895;3.74863;2.07714;1.96282;;;-0.808489;-2.12341;-0.380464
13;1;3.36828;4.21915;3.81584;1.5088;0.98141;;;-0.340348;-2.83814;0.468142
14;1;3.36828;0.419126;3.39125;5.59608;4.90705;;;1.17966;2.47729;1.52001
15;1;3.36828;5.46987;3.62221;3.32089;2.94423;;;-0.840637;0.71195;-2.0203
16;1;3.36828;3.31805;3.59179;4.95301;4.90705;;;0.0200912;0.754141;0.860728
17;1;3.36828;5.64815;3.77874;2.64321;1.96282;;;-0.91195;-1.16095;-0.932041
18;1;3.36828;4.18546;3.81263;3.75723;2.94423;;;-0.326872;-0.68643;0.585078
19;1;3.36828;2.56371;3.71656;3.52364;2.94423;;;0.321828;-0.0105905;0.6487
20;1;3.36828;3.29995;3.6868;3.07959;2.94423;;;0.0273332;0.0468093;-0.294495
21;1;3.36828;2.52068;3.60906;3.93022;3.92564;;;0.339039;0.758792;0.311706
22;1;3.36828;2.78574;3.5576;3.40206;2.94423;;;0.233014;0.48933;-0.106025
23;1;3.36828;2.61121;3.50193;4.10912;3.92564;;;0.302828;1.12527;0.0698144
24;1;3.36828;3.85392;3.52149;3.87991;2.94423;;;-0.194256;0.717331;-0.497085
25;1;3.36828;2.64222;3.47521;4.74455;3.92564;;;0.290425;1.32722;0.484682
26;1;3.36828;2.8288;3.44289;3.42312;2.94423;;;0.215791;0.453162;-0.074634
27;1;3.36828;2.76458;3.41059;3.99201;3.92564;;;0.241478;0.960266;0.0256868
28;1;3.36828;4.03076;3.43878;3.66308;2.94423;;;-0.264991;0.403784;-0.506469
29;1;3.36828;2.73853;3.40833;4.44009;3.92564;;;0.251899;0.932772;0.51689
30;1;3.36828;2.93437;3.38858;3.39408;2.94423;;;0.173565;0.364487;-0.0783336
31;1;3.36828;2.83263;3.36635;3.90201;2.94423;;;0.214258;0.81443;0.0406932
32;1;3.36828;3.72593;3.38018;3.73955;2.94423;;;-0.143059;0.514006;-0.357318
33;1;3.36828;2.84202;3.36024;4.36215;3.92564;;;0.210502;0.956059;0.353561
34;1;3.36828;2.90777;3.34408;3.4525;2.94423;;;0.184205;0.38683;-0.0262968
35;1;3.36828;2.83107;3.32639;3.91472;2.94423;;;0.214883;0.838085;0.0306784
36;1;3.36828;3.68544;3.33836;3.78849;2.94423;;;-0.126866;0.571666;-0.34175
37;1;3.36828;2.80022;3.321;4.43037;3.92564;;;0.227224;1.04884;0.35409
38;1;3.36828;2.84638;3.30617;3.47507;2.94423;;;0.20876;0.438395;-0.0184644
39;1;3.36828;2.75018;3.28932;3.99349;3.92564;;;0.247238;0.957594;0.038478
40;1;3.36828;3.99498;3.31008;3.67755;2.94423;;;-0.25068;0.431166;-0.497918
41;1;3.36828;2.85854;3.29718;4.37636;3.92564;;;0.203896;0.859348;0.454577
