POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;20.9618;26.1681;26.1681;17.6298;11.7852;;;-2.08251;-4.37326;-2.08251
8;1;20.9618;30.2374;28.2027;12.7347;11.7852;;;-3.71024;-12.1648;-1.62773
9;1;20.9618;25.1194;27.1749;9.84645;5.89262;;;-1.66302;-15.6571;2.04722
10;1;20.9618;2.34383;20.9672;34.5403;29.4631;;;7.44719;15.6391;9.11021
11;1;20.9618;33.1125;23.3962;21.3773;17.6779;;;-4.86027;5.43252;-12.3075
12;1;20.9618;20.124;22.8509;31.7908;29.4631;;;0.335132;6.1363;5.19541
13;1;20.9618;32.1806;24.1837;19.5829;17.6779;;;-4.48752;-3.2875;-4.82265
14;1;20.9618;15.4872;23.0966;28.9531;23.5705;;;2.18986;4.59871;6.67738
15;1;20.9618;14.3318;22.1227;27.6139;23.5705;;;2.65202;10.1679;0.462156
16;1;20.9618;20.7923;21.9897;28.5862;23.5705;;;0.0678153;10.3104;-2.5842
17;1;20.9618;13.7771;21.2431;35.8025;29.4631;;;2.87387;16.3455;2.80605
18;1;20.9618;31.5422;22.1014;11.3165;5.89262;;;-4.23216;-8.88754;-7.10603
19;1;20.9618;2.03261;20.5576;28.4211;23.5705;;;7.57168;7.01298;11.8038
20;1;20.9618;20.7594;20.572;20.5326;17.6779;;;0.0809549;7.18299;-7.49072
21;1;20.9618;16.0294;20.2692;31.2206;29.4631;;;1.97296;11.3262;1.892
22;1;20.9618;32.3869;21.0265;11.6768;5.89262;;;-4.57002;-9.59704;-6.54298
23;1;20.9618;2.01527;19.9082;28.0606;23.5705;;;7.57861;6.31805;12.1486
24;1;20.9618;21.3481;19.9882;19.454;17.6779;;;-0.154506;5.99358;-7.73312
25;1;20.9618;15.9782;19.7772;30.2994;29.4631;;;1.99346;10.1799;2.14797
26;1;20.9618;32.3399;20.4053;11.6864;5.89262;;;-4.55125;-9.55762;-6.54471
27;1;20.9618;2.06249;19.5318;28.051;23.5705;;;7.55973;6.31781;12.111
28;1;20.9618;22.0393;19.6458;19.0303;17.6779;;;-0.430999;5.41271;-7.99073
29;1;20.9618;16.6074;19.5137;29.5923;29.4631;;;1.74175;9.07038;2.17275
30;1;20.9618;32.9461;20.0734;11.5501;5.89262;;;-4.79371;-10.0668;-6.53546
31;1;20.9618;2.18757;19.358;27.7042;23.5705;;;7.5097;5.70357;12.3034
32;1;20.9618;21.8744;19.4547;18.5716;17.6779;;;-0.365041;4.93698;-7.87474
33;1;20.9618;16.6384;19.3504;29.0308;23.5705;;;1.72935;8.56861;2.09439
34;1;20.9618;15.7628;19.2223;22.5599;17.6779;;;2.07962;4.3672;0.350273
35;1;20.9618;16.5255;19.1293;26.0886;23.5705;;;1.7745;8.09366;-0.305116
36;1;20.9618;22.3524;19.2367;26.391;23.5705;;;-0.556241;6.92555;-2.33074
37;1;20.9618;14.3934;19.0805;32.6474;29.4631;;;2.62736;12.443;3.1836
38;1;20.9618;34.3581;19.5579;9.76083;5.89262;;;-5.35851;-11.2529;-7.98587
39;1;20.9618;2.12404;19.0296;27.1236;23.5705;;;7.5351;4.57085;12.8936
40;1;20.9618;22.2358;19.1239;17.1822;11.7852;;;-0.509589;3.50071;-8.04469
41;1;20.9618;26.4896;19.3344;21.4343;17.6779;;;-2.21112;-1.14263;-1.70153
42;1;20.9618;16.8622;19.2657;25.7967;23.5705;;;1.63985;3.4437;3.85097
43;1;20.9618;15.4348;19.1622;26.3029;23.5705;;;2.2108;8.08638;0.570947
44;1;20.9618;23.2646;19.2701;25.3636;23.5705;;;-0.921109;6.15205;-3.13191
45;1;20.9618;14.907;19.1583;31.9101;29.4631;;;2.42193;11.2381;3.34304
46;1;20.9618;35.5147;19.5672;9.22599;5.89262;;;-5.82118;-12.2245;-8.24311
47;1;20.9618;2.36985;19.1477;26.4574;23.5705;;;7.43678;3.39278;13.258
48;1;20.9618;23.2291;19.2449;15.4667;11.7852;;;-0.906916;1.48825;-8.3437
49;1;20.9618;27.7476;19.4426;19.0141;17.6779;;;-2.71433;-4.21183;-1.80741
50;1;20.9618;17.2812;19.3935;26.0317;23.5705;;;1.47224;3.09171;4.18657
51;1;20.9618;15.1909;19.3001;26.2747;23.5705;;;2.30837;7.93928;0.836124
52;1;20.9618;22.5662;19.3711;25.5659;23.5705;;;-0.641753;6.5916;-2.95012
53;1;20.9618;15.1543;19.2814;31.912;29.4631;;;2.32299;11.4699;2.96475
54;1;20.9618;35.1653;19.6123;9.5486;5.89262;;;-5.68138;-11.9309;-8.00437
55;1;20.9618;2.33996;19.2598;26.6303;23.5705;;;7.44874;3.71145;13.1301
56;1;20.9618;23.222;19.3391;15.778;11.7852;;;-0.90408;1.81289;-8.35282
