POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;1.31509;1.3802;1.3802;1.27342;1.03923;;;-0.0260438;-0.054692;-0.0260438
8;1;1.31509;1.15597;1.26808;1.38827;1.38565;;;0.0636466;0.0789659;0.0896904
9;1;1.31509;1.10804;1.21474;1.46292;1.38565;;;0.0828194;0.252887;0.0191728
10;1;1.31509;1.45805;1.27557;1.14077;1.03923;;;-0.0571866;-0.120092;-0.140006
11;1;1.31509;0.961912;1.21283;1.47821;1.38565;;;0.14127;0.176576;0.198457
12;1;1.31509;1.96142;1.3376;0.936737;0.692823;;;-0.258535;-0.366347;-0.399805
13;1;1.31509;1.38995;1.34508;1.15936;1.03923;;;-0.0299458;-0.429233;0.228589
14;1;1.31509;0.978109;1.29921;1.5607;1.38565;;;0.134791;0.283062;0.164737
15;1;1.31509;1.23209;1.29175;1.51648;1.38565;;;0.0331986;0.352779;-0.101593
16;1;1.31509;2.04321;1.3669;1.16867;1.03923;;;-0.291247;-0.258841;-0.324446
17;1;1.31509;0.93659;1.32778;1.58973;1.38565;;;0.151399;0.0590974;0.442646
18;1;1.31509;1.51838;1.34366;1.03358;0.692823;;;-0.0813166;-0.170765;-0.232716
19;1;1.31509;1.42213;1.3497;1.15713;1.03923;;;-0.0428186;-0.260684;0.038498
20;1;1.31509;1.28754;1.34526;1.11485;1.03923;;;0.0110186;-0.237545;0.0538372
21;1;1.31509;0.945554;1.31861;1.30303;1.03923;;;0.147813;0.0728633;0.136795
22;1;1.31509;1.03311;1.30077;1.34774;1.03923;;;0.112791;0.23686;-0.0350228
23;1;1.31509;1.05256;1.28617;1.60718;1.38565;;;0.105012;0.457385;-0.0077788
24;1;1.31509;2.24288;1.33932;1.07367;1.03923;;;-0.371117;-0.321961;-0.476129
25;1;1.31509;1.01909;1.32246;1.55368;1.38565;;;0.118397;-0.0733261;0.489514
26;1;1.31509;1.61614;1.33715;1.00402;0.692823;;;-0.120421;-0.252885;-0.238819
27;1;1.31509;1.7459;1.35661;0.906905;0.692823;;;-0.172325;-0.614767;-0.0519032
28;1;1.31509;2.21352;1.39556;0.297648;1.73206;;;-0.359373;-1.36945;-0.187049
29;1;1.31509;2.0625;1.42456;-0.173336;1.73206;;;-0.298966;-1.99728;0.0604072
30;1;1.31509;2.21255;1.45739;1.03968;1.03923;;;-0.358986;-0.75387;-0.0600196
31;1;1.31509;1.14921;1.44506;1.02637;0.692823;;;0.066353;-0.614529;0.425339
32;1;1.31509;2.31306;1.47845;-0.00449678;1.73206;;;-0.399189;-1.45283;-0.465542
33;1;1.31509;2.1218;1.50228;-0.254845;1.73206;;;-0.322685;-2.13046;0.076504
34;1;1.31509;2.27664;1.52993;1.02238;0.692823;;;-0.384623;-0.807707;-0.0619376
35;1;1.31509;1.9501;1.54442;0.485592;0.346411;;;-0.254007;-1.34112;0.130616
36;1;1.31509;0.296825;1.50284;0.879661;0.692823;;;0.407305;-0.485781;0.661312
37;1;1.31509;2.02458;1.51967;-0.0320761;1.73206;;;-0.283799;-1.08176;-0.691104
38;1;1.31509;2.38577;1.54673;0.913651;0.692823;;;-0.428272;-0.899372;-0.144474
39;1;1.31509;2.00772;1.5607;0.400706;0.346411;;;-0.277051;-1.48118;0.151221
40;1;1.31509;0.306886;1.52382;0.756209;0.692823;;;0.403281;-0.634289;0.680332
41;1;1.31509;1.92433;1.53527;-0.112398;1.73206;;;-0.243697;-1.14605;-0.646978
42;1;1.31509;2.24673;1.55503;0.962534;0.692823;;;-0.372657;-0.78258;-0.12896
43;1;1.31509;1.91539;1.56477;0.52097;0.346411;;;-0.240122;-1.28684;0.132535
44;1;1.31509;0.304226;1.5316;0.915325;0.692823;;;0.404345;-0.437712;0.644466
45;1;1.31509;1.77607;1.53787;0.178002;1.73206;;;-0.184393;-0.824938;-0.588738
46;1;1.31509;2.06635;1.55108;1.01867;0.692823;;;-0.300506;-0.631062;-0.116112
47;1;1.31509;1.68184;1.55427;0.749808;0.692823;;;-0.146702;-0.939137;0.153804
48;1;1.31509;2.23335;1.57044;-0.065037;1.73206;;;-0.367306;-1.71048;-0.220604
49;1;1.31509;1.82664;1.57639;-0.355479;1.73206;;;-0.204621;-2.14018;0.162686
50;1;1.31509;1.96224;1.58516;1.10553;1.03923;;;-0.258862;-0.54361;-0.0542412
51;1;1.31509;1.05982;1.57349;1.19371;1.03923;;;0.102107;-0.329185;0.360969
52;1;1.31509;1.35202;1.56867;0.86016;0.692823;;;-0.0147722;-0.360207;-0.116879
53;1;1.31509;1.56006;1.56849;0.812873;0.692823;;;-0.0979874;-0.56598;-0.0832152
54;1;1.31509;1.90786;1.57556;1.0337;0.692823;;;-0.23711;-0.497931;-0.139123
55;1;1.31509;1.58989;1.57585;0.878393;0.692823;;;-0.109921;-0.728766;0.127189
56;1;1.31509;2.23092;1.58895;0.11011;1.73206;;;-0.366333;-1.49807;-0.256412
57;1;1.31509;1.91504;1.59535;-0.200612;1.73206;;;-0.239979;-2.00202;0.126354
58;1;1.31509;1.8888;1.60099;1.18789;1.03923;;;-0.229484;-0.481917;0.0104952
59;1;1.31509;0.971406;1.58911;1.28261;1.03923;;;0.137473;-0.193224;0.366957
60;1;1.31509;1.29981;1.58376;0.994171;0.692823;;;0.0061126;-0.180388;-0.13136
61;1;1.31509;1.36838;1.57984;1.09448;1.03923;;;-0.0213182;-0.225156;-0.0274308
62;1;1.31509;1.07201;1.57077;1.49197;1.38565;;;0.0972302;0.204183;0.118548
63;1;1.31509;1.26424;1.56539;1.45458;1.38565;;;0.0203382;0.246894;-0.076892
64;1;1.31509;2.08742;1.57439;1.04735;1.03923;;;-0.308932;-0.401863;-0.32927
65;1;1.31509;0.900013;1.56296;1.4878;1.38565;;;0.16603;-0.0532006;0.474962
66;1;1.31509;1.50233;1.56195;1.02922;0.692823;;;-0.0748982;-0.157286;-0.240928
67;1;1.31509;1.44907;1.5601;1.14695;1.03923;;;-0.053591;-0.269827;0.0213072
68;1;1.31509;1.25533;1.55519;1.1371;1.03923;;;0.023903;-0.219631;0.077494
69;1;1.31509;0.908748;1.54493;1.33161;1.03923;;;0.162536;0.121694;0.138633
70;1;1.31509;1.04408;1.5371;1.326;1.03923;;;0.108404;0.227648;-0.054132
71;1;1.31509;0.945767;1.528;1.6707;1.38565;;;0.147728;0.537877;0.0393244
72;1;1.31509;2.02108;1.53547;1.2534;1.03923;;;-0.282398;-0.055159;-0.430126
73;1;1.31509;0.849796;1.52524;1.84011;1.73206;;;0.186117;0.335686;0.468515
74;1;1.31509;2.29062;1.5365;0.504629;0.346411;;;-0.390214;-0.819449;-0.57633
75;1;1.31509;0.228058;1.51753;1.58155;1.38565;;;0.434812;0.0936558;0.825026
76;1;1.31509;2.07234;1.52546;0.489287;0.346411;;;-0.302903;-0.54244;-0.737714
77;1;1.31509;0.210667;1.50694;1.78238;1.73206;;;0.441768;0.385274;0.744671
78;1;1.31509;2.28674;1.51777;0.251459;1.73206;;;-0.388663;-0.816191;-0.830431
79;1;1.31509;1.50849;1.51764;0.763778;0.692823;;;-0.077363;-0.978654;0.3113
80;1;1.31509;2.02028;1.52444;-0.0375258;1.73206;;;-0.282077;-1.57101;-0.204714
81;1;1.31509;1.65912;1.52623;-0.194032;1.73206;;;-0.137613;-1.86;0.144463
82;1;1.31509;1.87102;1.53077;1.09691;1.03923;;;-0.222371;-0.466979;-0.0847576
83;1;1.31509;0.993099;1.52379;1.27655;1.03923;;;0.128795;-0.196509;0.351166
84;1;1.31509;1.25697;1.52037;1.02698;0.692823;;;0.0232478;-0.147688;-0.105548
85;1;1.31509;1.40354;1.51889;1.08754;1.03923;;;-0.0353798;-0.221986;-0.0586276
86;1;1.31509;1.06781;1.51325;1.50873;1.38565;;;0.0989118;0.207715;0.134292
87;1;1.31509;1.51438;1.51326;1.29634;1.03923;;;-0.0797166;0.0403099;-0.178628
88;1;1.31509;1.2697;1.51029;1.46416;1.38565;;;0.0181542;0.0784337;0.0978708
89;1;1.31509;1.15877;1.50606;1.47541;1.38565;;;0.0625266;0.20974;0.0443724
90;1;1.31509;1.48733;1.50583;1.14233;1.03923;;;-0.0688962;-0.144682;-0.131423
91;1;1.31509;0.903333;1.49875;1.50282;1.38565;;;0.164702;0.201192;0.233598
92;1;1.31509;2.09715;1.5057;0.851058;0.692823;;;-0.312825;-0.45574;-0.477526
93;1;1.31509;1.26184;1.5029;1.20625;1.03923;;;0.0213002;-0.411009;0.334125
94;1;1.31509;0.974186;1.49689;1.51196;1.38565;;;0.136361;0.286357;0.11506
95;1;1.31509;1.17843;1.49331;1.55254;1.38565;;;0.0546626;0.401149;-0.081698
96;1;1.31509;2.05095;1.49951;1.19062;1.03923;;;-0.294345;-0.216976;-0.349008
97;1;1.31509;0.777319;1.49157;1.73663;1.73206;;;0.215107;0.23475;0.509452
98;1;1.31509;2.09149;1.49809;0.603081;0.346411;;;-0.310562;-0.652181;-0.52567
99;1;1.31509;0.202273;1.48416;1.68567;1.38565;;;0.445126;0.282584;0.755688
100;1;1.31509;2.05813;1.49027;0.676997;0.346411;;;-0.297217;-0.341573;-0.742343
101;1;1.31509;0.18778;1.47656;1.99221;1.73206;;;0.450923;0.605365;0.74814
102;1;1.31509;2.11876;1.48325;0.349813;0.346411;;;-0.321469;-0.675086;-0.772392
103;1;1.31509;0.201259;1.47003;1.67432;1.38565;;;0.445531;0.26053;0.767001
104;1;1.31509;2.03172;1.47576;0.671445;0.346411;;;-0.286651;-0.341437;-0.732182
105;1;1.31509;0.179036;1.46266;1.98737;1.73206;;;0.454421;0.612846;0.741072
106;1;1.31509;2.03241;1.46836;0.401579;0.346411;;;-0.28693;-0.602553;-0.741351
107;1;1.31509;0.203601;1.45584;1.71082;1.38565;;;0.444595;0.331095;0.731525
108;1;1.31509;2.0132;1.4613;0.754797;0.692823;;;-0.279245;-0.255318;-0.723839
109;1;1.31509;1.09188;1.45772;1.48187;1.38565;;;0.0892822;-0.0678258;0.368527
110;1;1.31509;1.30309;1.45623;1.23349;1.03923;;;0.0048006;0.0100813;-0.0844816
111;1;1.31509;0.902499;1.45096;1.58442;1.38565;;;0.165035;0.356656;0.160235
112;1;1.31509;2.15738;1.45762;0.967643;0.692823;;;-0.336915;-0.350867;-0.501951
113;1;1.31509;1.14145;1.45467;1.41226;1.38565;;;0.0694534;-0.205015;0.406369
114;1;1.31509;1.3192;1.45341;1.243;1.03923;;;-0.0016446;-0.00345366;-0.071098
115;1;1.31509;0.7946;1.44737;1.64639;1.38565;;;0.208195;0.433756;0.20984
116;1;1.31509;2.01603;1.45254;1.09205;1.03923;;;-0.280377;-0.155035;-0.488572
117;1;1.31509;0.867698;1.44727;1.72676;1.38565;;;0.178956;0.220772;0.459332
118;1;1.31509;1.50417;1.44778;1.01512;0.692823;;;-0.0756314;-0.158826;-0.254587
119;1;1.31509;1.22601;1.44581;1.2889;1.03923;;;0.0356298;-0.0840034;0.111261
120;1;1.31509;1.231;1.44393;1.24927;1.03923;;;0.033633;-0.0133741;-0.0019968
121;1;1.31509;0.750287;1.4379;1.62955;1.38565;;;0.22592;0.461058;0.192287
122;1;1.31509;1.35054;1.43714;1.06648;1.03923;;;-0.0141802;-0.0297784;-0.2401
