POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.63755;8.8202;8.8202;5.24066;3.88802;;;-0.873059;-1.83342;-0.873059
8;1;6.63755;9.80644;9.31332;3.6491;1.94401;;;-1.26756;-4.49529;-0.394497
9;1;6.63755;0.672439;6.43303;7.22749;5.83203;;;2.38605;0.515405;3.6536
10;1;6.63755;5.17687;6.11899;5.18634;3.88802;;;0.584272;1.22697;-1.80177
11;1;6.63755;8.40112;6.57541;6.15157;5.83203;;;-0.705425;-0.254422;-1.2897
12;1;6.63755;6.1376;6.50244;7.40852;5.83203;;;0.19998;0.165536;0.905406
13;1;6.63755;4.92594;6.27723;7.69854;5.83203;;;0.684645;1.60329;0.484665
14;1;6.63755;5.0652;6.12573;6.95921;5.83203;;;0.628939;1.32077;-0.0557064
15;1;6.63755;4.96821;5.99711;8.39776;7.77604;;;0.667735;2.72301;0.0387964
16;1;6.63755;7.53286;6.15069;8.11983;7.77604;;;-0.358124;1.97095;-1.02586
17;1;6.63755;5.45036;6.08702;9.72643;9.72005;;;0.474878;2.9682;0.833002
18;1;6.63755;11.1707;6.51066;3.26148;1.94401;;;-1.81324;-3.80781;-2.28812
19;1;6.63755;0.681608;6.06227;8.45479;7.77604;;;2.38238;1.19518;4.19562
20;1;6.63755;7.59577;6.17181;4.8371;3.88802;;;-0.383286;0.390281;-2.76566
21;1;6.63755;8.30538;6.31404;6.34371;5.83203;;;-0.667133;-1.0107;-0.283847
22;1;6.63755;4.99362;6.23152;8.3568;7.77604;;;0.657573;1.3809;1.32471
23;1;6.63755;5.54315;6.19103;8.0613;7.77604;;;0.437761;2.3002;-0.219812
24;1;6.63755;8.19618;6.30242;7.50247;5.83203;;;-0.623451;0.990954;-1.06121
25;1;6.63755;4.85272;6.22612;9.39425;7.77604;;;0.713934;2.49022;1.33739
26;1;6.63755;5.7318;6.20141;6.5033;5.83203;;;0.362301;0.760832;-0.351633
27;1;6.63755;4.84916;6.13701;8.18066;7.77604;;;0.715358;2.26308;0.353057
28;1;6.63755;7.98367;6.22095;7.32377;5.83203;;;-0.538445;1.13235;-1.2538
29;1;6.63755;4.95857;6.16607;9.3829;7.77604;;;0.671595;2.5427;1.21004
30;1;6.63755;5.82151;6.15171;6.48823;5.83203;;;0.326418;0.685477;-0.345177
31;1;6.63755;4.94033;6.10325;8.08283;7.77604;;;0.678889;2.11115;0.352472
32;1;6.63755;7.8321;6.16975;7.3053;5.83203;;;-0.47782;1.10772;-1.15671
33;1;6.63755;4.83795;6.12042;9.37484;7.77604;;;0.719839;2.61938;1.19766
34;1;6.63755;5.82783;6.10997;6.43593;5.83203;;;0.323887;0.680163;-0.395952
35;1;6.63755;4.88133;6.06761;8.11781;7.77604;;;0.702487;2.15539;0.3786
36;1;6.63755;7.81758;6.12594;7.33523;5.83203;;;-0.47201;1.16417;-1.1745
37;1;6.63755;4.82259;6.08389;9.4353;7.77604;;;0.725984;2.68873;1.19799
38;1;6.63755;5.71715;6.07243;6.50062;5.83203;;;0.368159;0.773135;-0.357825
39;1;6.63755;4.82325;6.03458;8.20368;7.77604;;;0.725721;2.29715;0.357561
40;1;6.63755;7.66503;6.08253;7.55139;5.83203;;;-0.410992;1.43406;-1.13671
41;1;6.63755;4.69292;6.04283;9.72717;9.72005;;;0.777851;3.06755;1.18884
42;1;6.63755;11.1592;6.18495;2.96587;1.94401;;;-1.80865;-3.79816;-2.5865
43;1;6.63755;0.687053;6.03636;8.45636;7.77604;;;2.3802;1.20026;4.18885
44;1;6.63755;7.8782;6.08483;4.6636;3.88802;;;-0.496259;0.158119;-2.87646
45;1;6.63755;8.10224;6.13656;6.35453;5.83203;;;-0.585877;-1.07222;-0.089618
46;1;6.63755;5.02219;6.1087;8.25726;7.77604;;;0.646143;1.3569;1.23202
47;1;6.63755;5.47307;6.0932;8.09358;7.77604;;;0.465792;2.33506;-0.18035
48;1;6.63755;7.57926;6.12858;7.90413;7.77604;;;-0.376683;1.54403;-0.842475
49;1;6.63755;5.52283;6.11449;9.27169;7.77604;;;0.44589;2.4804;0.822572
50;1;6.63755;5.98317;6.11151;6.61047;5.83203;;;0.261754;0.549684;-0.184136
51;1;6.63755;4.92581;6.08516;8.021;7.77604;;;0.684698;1.98755;0.422944
52;1;6.63755;7.60123;6.11812;7.32365;5.83203;;;-0.385472;1.17806;-1.07017
53;1;6.63755;4.94082;6.09307;9.28699;7.77604;;;0.678692;2.60331;1.06416
54;1;6.63755;5.99788;6.09108;6.36825;5.83203;;;0.255868;0.537323;-0.422824
55;1;6.63755;5.06689;6.07018;7.92423;7.77604;;;0.628266;1.85668;0.372398
56;1;6.63755;7.78738;6.10453;7.13008;5.83203;;;-0.459933;0.890823;-1.0882
57;1;6.63755;5.0567;6.08398;9.00005;7.77604;;;0.632341;2.21874;1.09227
58;1;6.63755;6.02695;6.08288;6.396;5.83203;;;0.244241;0.512905;-0.3881
59;1;6.63755;5.13697;6.06504;7.86659;7.77604;;;0.600233;1.77339;0.355992
60;1;6.63755;7.88742;6.09878;7.0108;5.83203;;;-0.499948;0.723504;-1.10018
61;1;6.63755;5.08857;6.08042;8.85235;7.77604;;;0.619594;2.02465;1.11954
62;1;6.63755;5.98668;6.07874;6.43451;5.83203;;;0.260347;0.54673;-0.359247
63;1;6.63755;5.07506;6.06113;7.92393;7.77604;;;0.624998;1.85923;0.36465
64;1;6.63755;8.06674;6.09571;6.9571;5.83203;;;-0.571674;0.65871;-1.19667
65;1;6.63755;5.07972;6.07849;8.86495;7.77604;;;0.623132;1.96729;1.19481
66;1;6.63755;5.99131;6.07704;6.42801;5.83203;;;0.258495;0.54284;-0.364637
67;1;6.63755;5.07345;6.06059;7.92292;7.77604;;;0.62564;1.85668;0.367145
68;1;6.63755;7.95169;6.09109;7.02755;5.83203;;;-0.525655;0.752808;-1.1513
69;1;6.63755;5.0694;6.07487;8.91963;7.77604;;;0.627259;2.07005;1.15291
