POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;7.62824;8.97966;8.97966;6.76333;6.63453;;;-0.540567;-1.13519;-0.540567
8;1;7.62824;6.9829;7.98128;7.44663;6.63453;;;0.258136;-0.593104;0.798702
9;1;7.62824;5.66991;7.21082;8.03033;6.63453;;;0.783331;1.05189;0.525195
10;1;7.62824;6.44296;7.01886;7.60349;6.63453;;;0.474111;0.995632;-0.30922
11;1;7.62824;5.95755;6.8066;9.219;8.84604;;;0.668275;2.39901;0.194164
12;1;7.62824;11.7027;7.62262;6.75131;6.63453;;;-1.62979;-1.02355;-2.29807
13;1;7.62824;5.89395;7.37566;9.34443;8.84604;;;0.693717;0.433257;2.32351
14;1;7.62824;9.91564;7.69316;5.47059;4.42302;;;-0.914961;-1.92142;-1.60868
15;1;7.62824;9.4005;7.88287;5.48754;4.42302;;;-0.708903;-3.41011;0.206058
16;1;7.62824;12.0176;8.29634;2.11782;11.0575;;;-1.75575;-7.0972;-1.04685
17;1;7.62824;10.2292;8.47206;0.622186;11.0575;;;-1.04038;-9.282;0.71537
18;1;7.62824;11.2991;8.70764;6.31928;4.42302;;;-1.46834;-3.08351;-0.427954
19;1;7.62824;9.35032;8.75708;4.91094;4.42302;;;-0.688831;-4.53005;0.779506
20;1;7.62824;11.8818;8.98027;1.06477;11.0575;;;-1.70141;-8.103;-1.01257
21;1;7.62824;9.97718;9.04673;-0.276679;11.0575;;;-0.939575;-10.0761;0.76183
22;1;7.62824;11.2202;9.18257;6.26895;4.42302;;;-1.43679;-3.01726;-0.497216
23;1;7.62824;9.27396;9.18795;4.99451;4.42302;;;-0.658289;-4.39967;0.778502
24;1;7.62824;11.8144;9.33386;1.2077;11.0575;;;-1.67448;-7.91607;-1.01619
25;1;7.62824;10.0763;9.37294;-0.180126;11.0575;;;-0.979235;-9.97246;0.69524
26;1;7.62824;11.2927;9.46893;6.26221;4.42302;;;-1.46579;-3.07817;-0.486558
27;1;7.62824;9.27561;9.45972;4.96155;4.42302;;;-0.658946;-4.46195;0.806847
28;1;7.62824;11.8924;9.5703;1.09617;11.0575;;;-1.70567;-8.04385;-1.04672
29;1;7.62824;10.1039;9.5935;-0.294337;11.0575;;;-0.990245;-10.1234;0.715422
30;1;7.62824;11.3565;9.66696;6.23239;4.42302;;;-1.49131;-3.13176;-0.501067
31;1;7.62824;9.25807;9.6506;4.94471;4.42302;;;-0.65193;-4.50081;0.839382
32;1;7.62824;11.8274;9.73433;1.09188;11.0575;;;-1.67968;-8.02813;-1.02775
33;1;7.62824;10.1097;9.74823;-0.30834;11.0575;;;-0.99258;-10.1125;0.687096
34;1;7.62824;11.3319;9.80479;6.25046;4.42302;;;-1.48148;-3.1111;-0.488897
35;1;7.62824;9.13973;9.78186;5.03127;4.42302;;;-0.604595;-4.38075;0.876882
36;1;7.62824;11.6542;9.84427;1.27549;11.0575;;;-1.61037;-7.76253;-1.00578
37;1;7.62824;9.95581;9.84787;-0.0135611;11.0575;;;-0.931028;-9.71769;0.679343
38;1;7.62824;10.8113;9.87797;6.52211;4.42302;;;-1.27322;-2.67377;-0.342197
39;1;7.62824;8.81695;9.84582;5.46692;4.42302;;;-0.475483;-3.67229;0.797742
40;1;7.62824;11.4108;9.89185;2.01062;11.0575;;;-1.51301;-6.84961;-1.03753
41;1;7.62824;9.42329;9.87846;1.14281;11.0575;;;-0.718022;-8.35745;0.794989
42;1;7.62824;10.603;9.89859;6.44241;4.42302;;;-1.18991;-2.49881;-0.471888
43;1;7.62824;8.50531;9.86093;5.75802;4.42302;;;-0.350827;-3.23555;0.839083
44;1;7.62824;11.2724;9.89808;2.41125;2.21151;;;-1.45767;-6.29665;-1.10684
45;1;7.62824;1.20668;9.67522;6.89906;6.63453;;;2.56862;-0.902538;4.02629
46;1;7.62824;6.18102;9.58786;5.98584;4.42302;;;0.57889;1.21567;-1.98973
47;1;7.62824;8.67698;9.56565;7.59383;6.63453;;;-0.419494;0.334733;-0.998384
48;1;7.62824;6.95913;9.50359;8.8107;6.63453;;;0.267645;0.896788;0.687139
49;1;7.62824;5.64881;9.41394;9.52422;8.84604;;;0.791773;2.55951;0.524128
50;1;7.62824;9.51649;9.41627;5.62799;4.42302;;;-0.7553;-1.58613;-1.54707
51;1;7.62824;9.05762;9.4083;5.88261;4.42302;;;-0.571753;-2.78681;0.183547
52;1;7.62824;11.6463;9.45695;2.84162;2.21151;;;-1.60723;-6.16199;-1.03548
53;1;7.62824;1.28815;9.28315;7.13113;6.63453;;;2.53604;-0.83632;4.14326
