POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;46.2692;55.5357;55.5357;40.3386;37.7848;;;-3.70661;-7.78387;-3.70661
8;1;46.2692;39.1325;47.3341;46.7594;37.7848;;;2.85468;-1.78906;6.56128
9;1;46.2692;32.6381;42.4354;50.3493;37.7848;;;5.45241;9.66101;2.59774
10;1;46.2692;34.4077;40.4285;48.4081;37.7848;;;4.74458;9.96362;-0.707833
11;1;46.2692;34.5699;39.2568;58.9757;50.3798;;;4.67972;19.791;-0.06486
12;1;46.2692;44.2892;40.0955;62.6477;50.3798;;;0.791993;21.4542;-3.88773
13;1;46.2692;31.2035;38.8252;76.5734;62.9747;;;6.02626;34.1094;5.23427
14;1;46.2692;74.5132;43.2862;22.1667;12.5949;;;-11.2976;-23.725;-17.3239
15;1;46.2692;5.66035;39.1056;59.8314;50.3798;;;16.2435;10.3864;27.5411
16;1;46.2692;45.4883;39.7438;40.9118;37.7848;;;0.312334;11.0423;-15.9312
17;1;46.2692;35.5452;39.3621;63.8625;62.9747;;;4.28957;20.0504;3.97724
18;1;46.2692;74.6776;42.3051;23.7982;12.5949;;;-11.3634;-23.8631;-15.653
19;1;46.2692;5.61096;39.4825;59.7907;50.3798;;;16.2633;10.2898;27.6267
20;1;46.2692;45.7382;39.9293;40.6355;37.7848;;;0.212382;10.7358;-16.0509
21;1;46.2692;35.509;39.6346;63.679;62.9747;;;4.30406;19.7743;4.09168
22;1;46.2692;74.4606;41.8112;23.9226;12.5949;;;-11.2766;-23.6808;-15.5806
23;1;46.2692;5.6285;39.6828;59.875;50.3798;;;16.2563;10.4574;27.5328
24;1;46.2692;45.1448;39.9863;41.1899;37.7848;;;0.449741;11.4018;-15.8065
25;1;46.2692;34.9261;39.72;64.4808;62.9747;;;4.53722;20.93;4.08748
26;1;46.2692;74.166;41.4423;23.8779;12.5949;;;-11.1587;-23.4334;-15.696
27;1;46.2692;5.63921;39.7374;59.9977;50.3798;;;16.252;10.6958;27.4107
28;1;46.2692;45.4598;39.9975;41.231;37.7848;;;0.323753;11.3757;-15.9282
29;1;46.2692;35.1209;39.7854;64.456;62.9747;;;4.45931;20.7402;4.13556
30;1;46.2692;73.3755;41.185;24.4618;12.5949;;;-10.8426;-22.7694;-15.3019
31;1;46.2692;5.5911;39.7613;60.3763;50.3798;;;16.2712;11.4002;27.1138
32;1;46.2692;46.0221;40.0021;41.5562;37.7848;;;0.0988139;11.6077;-16.1724
33;1;46.2692;35.1711;39.8232;64.8808;62.9747;;;4.43921;20.9301;4.3404
34;1;46.2692;73.6818;41.0324;24.2858;12.5949;;;-10.9651;-23.0266;-15.4043
35;1;46.2692;5.62889;39.8116;60.2174;50.3798;;;16.2561;11.1112;27.2212
36;1;46.2692;45.634;40.0057;41.5307;37.7848;;;0.254053;11.6447;-16.0021
37;1;46.2692;35.3389;39.8551;64.6552;62.9747;;;4.37209;20.8261;4.11804
38;1;46.2692;73.7752;40.9151;24.2932;12.5949;;;-11.0024;-23.1051;-15.3745
39;1;46.2692;5.6292;39.8459;60.1761;50.3798;;;16.256;11.0325;27.2584
40;1;46.2692;45.5551;40.0138;41.5026;37.7848;;;0.285626;11.6323;-15.9704
41;1;46.2692;35.2847;39.8787;64.6459;62.9747;;;4.39378;20.8592;4.10815
42;1;46.2692;74.128;40.83;24.0457;12.5949;;;-11.1436;-23.4015;-15.5373
43;1;46.2692;5.64779;39.8792;60.0089;50.3798;;;16.2485;10.7205;27.3921
44;1;46.2692;45.5675;40.0288;41.1901;37.7848;;;0.280655;11.3099;-15.9679
45;1;46.2692;35.2635;39.9067;64.342;62.9747;;;4.40226;20.5546;4.12161
46;1;46.2692;73.9729;40.7583;24.1365;12.5949;;;-11.0815;-23.2712;-15.4838
47;1;46.2692;5.63364;39.9016;60.0862;50.3798;;;16.2542;10.8627;27.3357
48;1;46.2692;45.6023;40.0373;41.3044;37.7848;;;0.266755;11.4228;-15.9874
49;1;46.2692;35.217;39.9252;64.4986;62.9747;;;4.42088;20.7067;4.15412
50;1;46.2692;74.3046;40.7066;23.9056;12.5949;;;-11.2142;-23.5498;-15.6351
51;1;46.2692;5.74134;39.9296;59.8714;50.3798;;;16.2111;10.4936;27.4253
52;1;46.2692;45.7335;40.0558;40.8944;37.7848;;;0.214257;10.9435;-15.9969
53;1;46.2692;35.3569;39.9558;63.9823;62.9747;;;4.3649;20.1098;4.15064
54;1;46.2692;74.6855;40.6793;23.7178;12.5949;;;-11.3665;-23.8697;-15.7314
55;1;46.2692;5.65475;39.9645;59.7592;50.3798;;;16.2458;10.2464;27.6123
56;1;46.2692;45.617;40.0776;40.6871;37.7848;;;0.260847;10.7941;-15.9849
57;1;46.2692;35.7952;39.9936;63.5058;62.9747;;;4.18959;19.5923;3.92874
58;1;46.2692;75.0334;40.6675;23.6704;12.5949;;;-11.5057;-24.162;-15.6953
59;1;46.2692;5.66197;40.007;59.6015;50.3798;;;16.2429;9.94806;27.7486
60;1;46.2692;45.7559;40.1134;40.3028;37.7848;;;0.205282;10.3792;-16.0376
61;1;46.2692;35.4663;40.0289;63.3569;62.9747;;;4.32114;19.4535;4.11586
62;1;46.2692;74.4994;40.6445;23.8807;12.5949;;;-11.2921;-23.7134;-15.6132
63;1;46.2692;5.70018;40.0314;59.812;50.3798;;;16.2276;10.3646;27.5197
64;1;46.2692;45.9948;40.1342;40.5817;37.7848;;;0.109743;10.595;-16.1178
65;1;46.2692;35.4194;40.0543;63.6982;62.9747;;;4.33988;19.7088;4.23014
66;1;46.2692;74.3118;40.6253;23.982;12.5949;;;-11.2171;-23.5559;-15.557
67;1;46.2692;5.64157;40.0518;59.932;50.3798;;;16.251;10.5713;27.4681
68;1;46.2692;45.6373;40.1419;40.9938;37.7848;;;0.252732;11.1021;-15.9983
69;1;46.2692;35.4736;40.0678;64.0277;62.9747;;;4.31824;20.1703;4.0655
70;1;46.2692;74.7494;40.6097;23.7235;12.5949;;;-11.3921;-23.9234;-15.7104
71;1;46.2692;5.67127;40.0722;59.7205;50.3798;;;16.2392;10.1788;27.6313
72;1;46.2692;46.0181;40.1623;40.3694;37.7848;;;0.100405;10.3896;-16.1387
73;1;46.2692;35.418;40.0914;63.5031;62.9747;;;4.34046;19.5046;4.24006
74;1;46.2692;74.5285;40.5979;23.8427;12.5949;;;-11.3037;-23.7378;-15.6442
75;1;46.2692;5.65201;40.0914;59.83;50.3798;;;16.2469;10.3806;27.5506
76;1;46.2692;45.8209;40.1733;40.6897;37.7848;;;0.179299;10.7571;-16.0676
77;1;46.2692;35.241;40.1038;63.905;62.9747;;;4.41127;20.0207;4.23197
78;1;46.2692;74.5695;40.5825;23.7457;12.5949;;;-11.3201;-23.7723;-15.7314
79;1;46.2692;5.76956;40.1056;59.7368;50.3798;;;16.1998;10.2474;27.52
80;1;46.2692;46.7398;40.1952;40.0155;37.7848;;;-0.188274;9.85203;-16.3881
81;1;46.2692;36.2999;40.1433;62.6898;50.3798;;;3.98771;18.2262;4.17598
82;1;46.2692;34.456;40.0685;49.8419;37.7848;;;4.72526;9.92304;0.73755
83;1;46.2692;35.2189;40.0055;58.5391;50.3798;;;4.42012;19.2053;-0.305141
84;1;46.2692;45.8374;40.0803;61.3307;50.3798;;;0.172706;19.568;-4.24741
85;1;46.2692;31.5933;39.9728;75.0569;62.9747;;;5.87033;31.8957;5.69762
86;1;46.2692;75.3632;40.4152;21.7786;12.5949;;;-11.6376;-24.439;-17.508
87;1;46.2692;5.80285;39.9879;59.3662;50.3798;;;16.1865;9.55267;27.8242
88;1;46.2692;46.1723;40.0633;39.6973;37.7848;;;0.0387499;9.63404;-16.1478
89;1;46.2692;35.6563;40.0102;62.6567;50.3798;;;4.24513;18.5488;4.20638
90;1;46.2692;34.1913;39.9409;49.7539;37.7848;;;4.83116;10.1454;0.586027
91;1;46.2692;35.2623;39.8859;58.6278;50.3798;;;4.40274;19.3912;-0.428418
92;1;46.2692;45.9;39.9558;61.4939;50.3798;;;0.14767;19.7013;-4.25507
93;1;46.2692;31.6293;39.8601;75.1923;62.9747;;;5.85594;31.9988;5.70827
94;1;46.2692;75.5155;40.2653;21.6955;12.5949;;;-11.6986;-24.567;-17.5545
95;1;46.2692;5.79375;39.878;59.305;50.3798;;;16.1902;9.43238;27.8887
96;1;46.2692;46.7743;39.9546;39.1881;37.7848;;;-0.202063;9.00805;-16.3922
97;1;46.2692;35.9459;39.9106;62.0861;50.3798;;;4.1293;17.6796;4.33136
98;1;46.2692;34.7559;39.8545;49.5083;37.7848;;;4.60529;9.6711;0.475988
