POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;4.96501;5.97768;5.97768;4.3169;4.09213;;;-0.405069;-0.850645;-0.405069
8;1;4.96501;4.56207;5.26987;4.77732;4.09213;;;0.161177;-0.512174;0.566246
9;1;4.96501;3.46925;4.66967;5.24894;4.09213;;;0.598303;0.744263;0.437127
10;1;4.96501;3.88871;4.47443;5.05554;4.09213;;;0.43052;0.904091;-0.167784
11;1;4.96501;3.7315;4.32584;6.22803;5.45618;;;0.493404;1.94024;0.062884
12;1;4.96501;5.49364;4.52048;6.07352;5.45618;;;-0.211452;1.49619;-0.704856
13;1;4.96501;3.17326;4.32802;7.81937;6.82022;;;0.716699;3.00126;0.928152
14;1;4.96501;8.26971;4.82073;2.1333;1.36404;;;-1.32188;-2.77595;-2.03858
15;1;4.96501;0.623003;4.35431;6.28982;5.45618;;;1.7368;0.871333;3.05868
16;1;4.96501;5.46812;4.46569;3.77755;2.72809;;;-0.201244;0.44872;-1.93805
17;1;4.96501;6.03611;4.60846;4.92947;4.09213;;;-0.428442;-0.451009;-0.227198
18;1;4.96501;3.80978;4.5419;6.1328;5.45618;;;0.462092;0.970393;0.890534
19;1;4.96501;3.30553;4.4468;6.53538;5.45618;;;0.663791;2.36435;0.201699
20;1;4.96501;5.35819;4.5119;6.41394;5.45618;;;-0.157271;2.03409;-0.821062
21;1;4.96501;3.15342;4.42133;8.31578;6.82022;;;0.724637;3.55582;0.881908
22;1;4.96501;8.02426;4.64652;2.28245;1.36404;;;-1.2237;-2.56977;-1.94834
23;1;4.96501;0.598627;4.4084;6.41342;5.45618;;;1.74655;1.09799;2.97025
24;1;4.96501;5.47379;4.46759;3.99082;2.72809;;;-0.203513;0.670609;-1.95007
25;1;4.96501;6.14777;4.55602;5.08217;4.09213;;;-0.473104;-0.32291;-0.269591
26;1;4.96501;3.86795;4.52162;6.14023;5.45618;;;0.438823;0.921527;0.911927
27;1;4.96501;3.33428;4.46508;6.49138;5.45618;;;0.652293;2.29134;0.21347
28;1;4.96501;5.61634;4.51741;6.1872;5.45618;;;-0.260534;1.74422;-0.912827
29;1;4.96501;3.2609;4.46278;8.06039;6.82022;;;0.681644;3.17567;0.942178
30;1;4.96501;8.27232;4.62151;2.16669;1.36404;;;-1.32292;-2.77814;-2.00457
31;1;4.96501;0.627217;4.46174;6.28598;5.45618;;;1.73512;0.865606;3.05804
32;1;4.96501;5.70117;4.50941;3.62436;2.72809;;;-0.294464;0.247231;-2.02958
33;1;4.96501;6.11156;4.56875;4.77291;4.09213;;;-0.458622;-0.715874;-0.164158
34;1;4.96501;3.90636;4.54509;6.10116;5.45618;;;0.423458;0.889262;0.88208
35;1;4.96501;3.1402;4.49665;6.59869;5.45618;;;0.729923;2.4221;0.306465
36;1;4.96501;5.37584;4.52595;6.39426;5.45618;;;-0.164332;2.077;-0.894256
37;1;4.96501;2.99125;4.47645;8.46955;6.82022;;;0.789503;3.73496;0.953835
38;1;4.96501;7.63191;4.57505;2.46869;1.36404;;;-1.06676;-2.24019;-1.85626
