
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/ChinaSpeed_1024x768_30.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 1024x768 30Hz
Internal Format                   : 1024x768 30Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 3
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 27.00
Max dQP signaling depth           : 0
FME                               : 2

Processor Frequency (Mhz)        : 2000
Processor Availability             : 1.000
Target FPS                         : 23.500
Budgeting Algorithm                : 4
PID KP                             : 0.400
PID K                              : 0.840
PID KD                             : 0.400
SP                                 : 11.683

Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 27 QP 27 )     512216 bits [Y 41.8199 dB    U 43.6987 dB    V 43.7088 dB] [ET  5.46 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 30 QP 30 )      57992 bits [Y 39.1363 dB    U 42.5763 dB    V 42.5488 dB] [ET 10.30 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 29 QP 29 )      72432 bits [Y 39.4366 dB    U 42.4427 dB    V 42.2255 dB] [ET 13.48 ] [L0 1 0 ] [L1 ]
POC    3 TId: 0 ( P-SLICE, nQP 30 QP 30 )      56472 bits [Y 38.8227 dB    U 42.1817 dB    V 42.0843 dB] [ET 14.60 ] [L0 2 1 0 ] [L1 ]
POC    4 TId: 0 ( P-SLICE, nQP 28 QP 28 )     139632 bits [Y 41.0523 dB    U 43.2180 dB    V 43.3410 dB] [ET 21.80 ] [L0 3 2 1 0 ] [L1 ]
POC    5 TId: 0 ( P-SLICE, nQP 30 QP 30 )      60168 bits [Y 38.4765 dB    U 42.2287 dB    V 42.1680 dB] [ET 13.14 ] [L0 4 3 2 0 ] [L1 ]
POC    6 TId: 0 ( P-SLICE, nQP 29 QP 29 )      79304 bits [Y 38.8282 dB    U 42.0561 dB    V 42.0854 dB] [ET 14.01 ] [L0 5 4 3 0 ] [L1 ]
POC    7 TId: 0 ( P-SLICE, nQP 30 QP 30 )      70192 bits [Y 38.2241 dB    U 41.8292 dB    V 41.7813 dB] [ET 13.54 ] [L0 6 5 4 0 ] [L1 ]
POC    8 TId: 0 ( P-SLICE, nQP 28 QP 28 )     173632 bits [Y 40.4515 dB    U 43.0011 dB    V 43.1387 dB] [ET  9.99 ] [L0 7 6 4 0 ] [L1 ]
POC    9 TId: 0 ( P-SLICE, nQP 30 QP 30 )      87880 bits [Y 38.0225 dB    U 42.0503 dB    V 42.0205 dB] [ET  8.64 ] [L0 8 7 4 0 ] [L1 ]
POC   10 TId: 0 ( P-SLICE, nQP 29 QP 29 )     109016 bits [Y 38.6085 dB    U 42.0048 dB    V 41.9999 dB] [ET  9.11 ] [L0 9 8 4 0 ] [L1 ]
POC   11 TId: 0 ( P-SLICE, nQP 30 QP 30 )      89064 bits [Y 37.9567 dB    U 41.9012 dB    V 41.7885 dB] [ET  8.73 ] [L0 10 8 4 0 ] [L1 ]
POC   12 TId: 0 ( P-SLICE, nQP 28 QP 28 )     177568 bits [Y 40.5957 dB    U 43.1170 dB    V 43.2119 dB] [ET 10.35 ] [L0 11 8 4 0 ] [L1 ]
POC   13 TId: 0 ( P-SLICE, nQP 30 QP 30 )      87008 bits [Y 38.1807 dB    U 42.2107 dB    V 42.0706 dB] [ET  8.81 ] [L0 12 8 4 0 ] [L1 ]
POC   14 TId: 0 ( P-SLICE, nQP 29 QP 29 )     100656 bits [Y 38.7267 dB    U 42.0681 dB    V 41.9095 dB] [ET  8.80 ] [L0 13 12 8 4 ] [L1 ]
POC   15 TId: 0 ( P-SLICE, nQP 30 QP 30 )      87568 bits [Y 37.9879 dB    U 41.9297 dB    V 41.6966 dB] [ET  8.58 ] [L0 14 12 8 4 ] [L1 ]
POC   16 TId: 0 ( P-SLICE, nQP 28 QP 28 )     179160 bits [Y 40.4790 dB    U 42.9560 dB    V 43.1293 dB] [ET 10.13 ] [L0 15 12 8 4 ] [L1 ]
POC   17 TId: 0 ( P-SLICE, nQP 30 QP 30 )      86064 bits [Y 38.1420 dB    U 42.2883 dB    V 42.1328 dB] [ET  8.63 ] [L0 16 12 8 4 ] [L1 ]
POC   18 TId: 0 ( P-SLICE, nQP 29 QP 29 )     104768 bits [Y 38.6100 dB    U 42.0242 dB    V 41.8704 dB] [ET  8.79 ] [L0 17 16 12 8 ] [L1 ]
POC   19 TId: 0 ( P-SLICE, nQP 30 QP 30 )      82680 bits [Y 37.8596 dB    U 41.8094 dB    V 41.6878 dB] [ET  8.30 ] [L0 18 16 12 8 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 28 QP 28 )     182256 bits [Y 40.3388 dB    U 42.9201 dB    V 43.1204 dB] [ET 10.16 ] [L0 19 16 12 8 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 30 QP 30 )      88464 bits [Y 38.0451 dB    U 42.0124 dB    V 42.0030 dB] [ET  8.69 ] [L0 20 16 12 8 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 29 QP 29 )     100016 bits [Y 38.5547 dB    U 41.9230 dB    V 41.8532 dB] [ET  8.52 ] [L0 21 20 16 12 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 30 QP 30 )      87792 bits [Y 37.7790 dB    U 41.8709 dB    V 41.7991 dB] [ET  8.47 ] [L0 22 20 16 12 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 28 QP 28 )     176128 bits [Y 40.3572 dB    U 42.9386 dB    V 43.1303 dB] [ET 10.21 ] [L0 23 20 16 12 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 30 QP 30 )      85520 bits [Y 38.1171 dB    U 42.1358 dB    V 42.0299 dB] [ET  8.51 ] [L0 24 20 16 12 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 29 QP 29 )     109384 bits [Y 38.5008 dB    U 41.9635 dB    V 41.8296 dB] [ET  8.83 ] [L0 25 24 20 16 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 30 QP 30 )      86472 bits [Y 37.8615 dB    U 41.8194 dB    V 41.6799 dB] [ET  8.75 ] [L0 26 24 20 16 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 28 QP 28 )     172432 bits [Y 40.3928 dB    U 42.8987 dB    V 42.9624 dB] [ET 10.17 ] [L0 27 24 20 16 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 30 QP 30 )      88808 bits [Y 38.0521 dB    U 42.0075 dB    V 41.9187 dB] [ET  8.76 ] [L0 28 24 20 16 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 29 QP 29 )     118848 bits [Y 38.5715 dB    U 41.8986 dB    V 41.7936 dB] [ET  9.75 ] [L0 29 28 24 20 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 30 QP 30 )      85680 bits [Y 37.8468 dB    U 41.6877 dB    V 41.6277 dB] [ET  8.76 ] [L0 30 28 24 20 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 28 QP 28 )     180832 bits [Y 40.3803 dB    U 42.8652 dB    V 43.0707 dB] [ET 10.56 ] [L0 31 28 24 20 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 30 QP 30 )      93224 bits [Y 38.0626 dB    U 41.8947 dB    V 41.8821 dB] [ET  8.99 ] [L0 32 28 24 20 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 29 QP 29 )      99424 bits [Y 38.5810 dB    U 41.9430 dB    V 41.9274 dB] [ET  8.88 ] [L0 33 32 28 24 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 30 QP 30 )      88848 bits [Y 37.9988 dB    U 41.9004 dB    V 41.8736 dB] [ET  8.77 ] [L0 34 32 28 24 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 28 QP 28 )     185872 bits [Y 40.4535 dB    U 42.9558 dB    V 43.1699 dB] [ET 10.23 ] [L0 35 32 28 24 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 30 QP 30 )      91920 bits [Y 38.1196 dB    U 42.0743 dB    V 42.1782 dB] [ET  8.59 ] [L0 36 32 28 24 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 29 QP 29 )     109152 bits [Y 38.6313 dB    U 41.9801 dB    V 41.9156 dB] [ET  8.86 ] [L0 37 36 32 28 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 30 QP 30 )      93736 bits [Y 37.9076 dB    U 41.9723 dB    V 41.6968 dB] [ET  8.82 ] [L0 38 36 32 28 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 28 QP 28 )     182464 bits [Y 40.3363 dB    U 43.0930 dB    V 43.1724 dB] [ET 10.37 ] [L0 39 36 32 28 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 30 QP 30 )      96584 bits [Y 37.9060 dB    U 42.0674 dB    V 41.9817 dB] [ET  9.19 ] [L0 40 36 32 28 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 29 QP 29 )     110840 bits [Y 38.2655 dB    U 41.9047 dB    V 41.8102 dB] [ET  9.11 ] [L0 41 40 36 32 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 30 QP 30 )     100872 bits [Y 37.4766 dB    U 41.7233 dB    V 41.5930 dB] [ET  9.14 ] [L0 42 40 36 32 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 28 QP 28 )     200096 bits [Y 40.0593 dB    U 42.8651 dB    V 43.0084 dB] [ET 10.71 ] [L0 43 40 36 32 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 30 QP 30 )      96312 bits [Y 37.7540 dB    U 42.0004 dB    V 41.9036 dB] [ET  8.99 ] [L0 44 40 36 32 ] [L1 ]
POC   46 TId: 0 ( P-SLICE, nQP 29 QP 29 )     115224 bits [Y 38.1280 dB    U 41.8996 dB    V 41.7405 dB] [ET  9.33 ] [L0 45 44 40 36 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 30 QP 30 )      96968 bits [Y 37.4695 dB    U 41.7540 dB    V 41.6413 dB] [ET  9.03 ] [L0 46 44 40 36 ] [L1 ]
POC   48 TId: 0 ( P-SLICE, nQP 28 QP 28 )     194056 bits [Y 39.9954 dB    U 42.8421 dB    V 42.9967 dB] [ET 10.50 ] [L0 47 44 40 36 ] [L1 ]
POC   49 TId: 0 ( P-SLICE, nQP 30 QP 30 )     103080 bits [Y 37.7218 dB    U 41.8702 dB    V 41.8048 dB] [ET  9.24 ] [L0 48 44 40 36 ] [L1 ]
POC   50 TId: 0 ( P-SLICE, nQP 29 QP 29 )     118320 bits [Y 38.2454 dB    U 41.8338 dB    V 41.7327 dB] [ET  9.29 ] [L0 49 48 44 40 ] [L1 ]
POC   51 TId: 0 ( P-SLICE, nQP 30 QP 30 )      98264 bits [Y 37.5548 dB    U 41.7235 dB    V 41.6773 dB] [ET  9.05 ] [L0 50 48 44 40 ] [L1 ]
POC   52 TId: 0 ( P-SLICE, nQP 28 QP 28 )     199224 bits [Y 40.0128 dB    U 42.7219 dB    V 42.9038 dB] [ET 10.59 ] [L0 51 48 44 40 ] [L1 ]
POC   53 TId: 0 ( P-SLICE, nQP 30 QP 30 )     117040 bits [Y 37.5883 dB    U 41.7034 dB    V 41.5968 dB] [ET  9.87 ] [L0 52 48 44 40 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 29 QP 29 )     116680 bits [Y 38.0857 dB    U 41.6391 dB    V 41.5536 dB] [ET  9.68 ] [L0 53 52 48 44 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 30 QP 30 )      96824 bits [Y 37.4308 dB    U 41.5440 dB    V 41.4686 dB] [ET  9.48 ] [L0 54 52 48 44 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 28 QP 28 )     192912 bits [Y 40.0715 dB    U 42.8545 dB    V 43.1198 dB] [ET 10.89 ] [L0 55 52 48 44 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 30 QP 30 )      93560 bits [Y 37.6792 dB    U 42.0194 dB    V 42.0940 dB] [ET  9.50 ] [L0 56 52 48 44 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 29 QP 29 )     110808 bits [Y 38.1933 dB    U 41.9522 dB    V 41.9514 dB] [ET  9.60 ] [L0 57 56 52 48 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 30 QP 30 )      87192 bits [Y 37.4799 dB    U 41.8906 dB    V 41.8440 dB] [ET  9.13 ] [L0 58 56 52 48 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 28 QP 28 )     191416 bits [Y 40.0572 dB    U 42.9505 dB    V 43.1514 dB] [ET 10.76 ] [L0 59 56 52 48 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 30 QP 30 )      92704 bits [Y 37.6723 dB    U 42.1352 dB    V 42.0384 dB] [ET  9.38 ] [L0 60 56 52 48 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 29 QP 29 )     105824 bits [Y 38.1810 dB    U 42.0273 dB    V 41.9754 dB] [ET  9.43 ] [L0 61 60 56 52 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 30 QP 30 )      94760 bits [Y 37.3730 dB    U 41.7988 dB    V 41.7505 dB] [ET  9.30 ] [L0 62 60 56 52 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 28 QP 28 )     196264 bits [Y 39.9378 dB    U 42.8756 dB    V 43.0439 dB] [ET 10.76 ] [L0 63 60 56 52 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 30 QP 30 )     102528 bits [Y 37.4649 dB    U 42.0360 dB    V 41.8833 dB] [ET  9.65 ] [L0 64 60 56 52 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 29 QP 29 )     126144 bits [Y 37.9874 dB    U 41.7993 dB    V 41.5991 dB] [ET  9.75 ] [L0 65 64 60 56 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 30 QP 30 )      96816 bits [Y 37.3271 dB    U 41.6575 dB    V 41.4053 dB] [ET  9.38 ] [L0 66 64 60 56 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 28 QP 28 )     198696 bits [Y 39.9238 dB    U 42.7552 dB    V 43.0044 dB] [ET 11.06 ] [L0 67 64 60 56 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 30 QP 30 )      96552 bits [Y 37.6886 dB    U 41.8880 dB    V 41.6534 dB] [ET  9.66 ] [L0 68 64 60 56 ] [L1 ]
