POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;9.60413;11.1755;11.1755;8.59847;7.96385;;;-0.628539;-1.31993;-0.628539
8;1;9.60413;9.02959;10.1025;9.28044;7.96385;;;0.229817;-0.837315;0.858356
9;1;9.60413;7.21696;9.14067;10.0648;7.96385;;;0.954867;1.16791;0.72505
10;1;9.60413;7.6939;8.77898;9.87181;7.96385;;;0.764092;1.60459;-0.190775
11;1;9.60413;7.25709;8.4746;11.9467;7.96385;;;0.938815;3.5761;0.174722
12;1;9.60413;9.24506;8.60301;12.4712;7.96385;;;0.143629;3.87773;-0.795186
13;1;9.60413;7.32845;8.42093;14.7947;7.96385;;;0.91027;5.78929;0.766641
14;1;9.60413;7.21331;8.26998;10.224;7.96385;;;0.956327;2.00829;0.0460576
15;1;9.60413;7.07553;8.13726;12.2744;7.96385;;;1.01144;4.13231;0.0551108
16;1;9.60413;9.14032;8.23757;13.0218;7.96385;;;0.185525;4.52191;-0.825913
17;1;9.60413;7.20973;8.14413;15.4729;7.96385;;;0.95776;6.53321;0.772235
18;1;9.60413;7.28018;8.07213;10.1337;7.96385;;;0.929579;1.95212;-0.0281812
19;1;9.60413;6.80472;7.97464;12.4183;7.96385;;;1.11976;4.30362;0.190185
20;1;9.60413;8.90793;8.0413;13.2336;7.96385;;;0.278481;4.88843;-0.841283
21;1;9.60413;7.21759;7.98639;15.7415;7.96385;;;0.954615;6.89312;0.676134
22;1;9.60413;7.03978;7.92723;10.2907;7.96385;;;1.02574;2.15406;0.0711252
23;1;9.60413;6.96852;7.87083;12.4192;7.96385;;;1.05424;4.36796;0.0285016
24;1;9.60413;8.99038;7.93303;13.3106;7.96385;;;0.245499;4.88351;-0.808744
25;1;9.60413;6.91828;7.87962;15.9611;7.96385;;;1.07434;7.13963;0.828843
26;1;9.60413;7.26266;7.84877;10.0283;7.96385;;;0.936588;1.96683;-0.137754
27;1;9.60413;7.13022;7.81456;12.2177;7.96385;;;0.989564;4.04492;0.052976
28;1;9.60413;9.07305;7.87176;12.9994;7.96385;;;0.212432;4.49103;-0.777132
29;1;9.60413;7.14428;7.84013;15.457;7.96385;;;0.983941;6.5573;0.77151
30;1;9.60413;8.14285;7.85274;9.5554;7.96385;;;0.58451;1.22747;-0.399431
31;1;9.60413;7.14563;7.82446;11.8205;7.96385;;;0.983398;3.29261;0.398888
32;1;9.60413;9.57597;7.89183;11.9314;7.96385;;;0.0112647;3.31626;-0.972134
33;1;9.60413;7.38246;7.87296;14.331;7.96385;;;0.888667;5.18246;0.877402
34;1;9.60413;7.35161;7.85434;10.1571;7.96385;;;0.901006;1.89211;0.0123388
35;1;9.60413;7.16085;7.83043;12.1589;7.96385;;;0.977311;3.94447;0.0763056
36;1;9.60413;9.24397;7.87755;12.8018;7.96385;;;0.144064;4.247;-0.833248
37;1;9.60413;6.98309;7.84869;15.3845;7.96385;;;1.04841;6.44867;0.904351
38;1;9.60413;7.33311;7.83258;10.0092;7.96385;;;0.908407;1.90766;-0.140007
39;1;9.60413;7.18816;7.81305;12.1496;7.96385;;;0.966386;3.93707;0.0579788
40;1;9.60413;9.30291;7.85687;12.7676;7.96385;;;0.120486;4.19009;-0.8459
41;1;9.60413;7.80774;7.85547;14.8234;7.96385;;;0.718555;5.69905;0.598069
42;1;9.60413;7.76057;7.85283;10.0655;7.96385;;;0.737425;1.54859;0.01887
43;1;9.60413;7.6922;7.84849;11.6389;7.96385;;;0.764772;3.15462;0.0273468
44;1;9.60413;9.70291;7.89729;11.9308;7.96385;;;-0.0395105;3.07164;-0.804283
45;1;9.60413;7.61148;7.88996;13.9906;7.96385;;;0.797061;4.74547;0.836571
46;1;9.60413;7.89916;7.89019;9.89825;7.96385;;;0.681987;1.43217;-0.115074
47;1;9.60413;7.67638;7.88498;11.5881;7.96385;;;0.771101;3.05148;0.089114
48;1;9.60413;9.40912;7.92127;12.0093;7.96385;;;0.0780047;3.21529;-0.693096
49;1;9.60413;7.7374;7.91699;13.9361;7.96385;;;0.746691;4.78335;0.668687
50;1;9.60413;7.94548;7.91764;9.91898;7.96385;;;0.663461;1.39327;-0.0832304
51;1;9.60413;7.60252;7.91064;11.615;7.96385;;;0.800644;3.07462;0.137183
52;1;9.60413;9.52534;7.94574;11.9285;7.96385;;;0.0315167;3.14081;-0.769127
53;1;9.60413;8.30438;7.95337;13.5453;7.96385;;;0.519898;4.23259;0.488381
54;1;9.60413;8.27225;7.96001;9.93663;7.96385;;;0.53275;1.11877;0.012852
55;1;9.60413;8.13251;7.96353;11.132;7.96385;;;0.588648;2.35494;0.055898
56;1;9.60413;9.83;8.00086;11.2259;7.96385;;;-0.0903485;2.1652;-0.678996
57;1;9.60413;7.97752;8.0004;12.9007;7.96385;;;0.650643;3.53155;0.740992
58;1;9.60413;8.14516;8.00319;9.88723;7.96385;;;0.583589;1.22554;-0.067054
59;1;9.60413;7.69115;7.9973;11.4704;7.96385;;;0.765192;2.83244;0.181602
60;1;9.60413;9.60813;8.02713;11.6688;7.96385;;;-0.00159933;2.82908;-0.766791
61;1;9.60413;8.00805;8.02678;13.4563;7.96385;;;0.638431;4.16979;0.640031
62;1;9.60413;8.07195;8.02759;9.94629;7.96385;;;0.612871;1.28703;-0.0255604
63;1;9.60413;8.01189;8.02731;11.2973;7.96385;;;0.636896;2.62451;0.0240248
64;1;9.60413;9.79314;8.05776;11.4708;7.96385;;;-0.0756037;2.46574;-0.7125
65;1;9.60413;8.25767;8.06115;13.0072;7.96385;;;0.538585;3.59677;0.614188
66;1;9.60413;8.48535;8.06822;9.78156;7.96385;;;0.447511;0.939772;-0.091074
67;1;9.60413;8.09222;8.06861;11.064;7.96385;;;0.604764;2.20978;0.157254
68;1;9.60413;10.0347;8.10032;10.9336;7.96385;;;-0.172232;1.84809;-0.776996
69;1;9.60413;8.21634;8.10216;12.5126;7.96385;;;0.555118;3.01384;0.72735
70;1;9.60413;8.22424;8.10407;9.93214;7.96385;;;0.551956;1.15911;-0.0031616
71;1;9.60413;8.09754;8.10397;11.1755;7.96385;;;0.602637;2.42465;0.0506812
72;1;9.60413;9.84938;8.13042;11.2692;7.96385;;;-0.0980993;2.21864;-0.700737
73;1;9.60413;7.93217;8.12746;12.9909;7.96385;;;0.668785;3.62309;0.766884
74;1;9.60413;8.28029;8.12971;9.7826;7.96385;;;0.529537;1.11203;-0.139247
75;1;9.60413;7.97509;8.12746;11.2292;7.96385;;;0.651617;2.48043;0.12208
76;1;9.60413;10.7343;8.16471;10.7096;7.96385;;;-0.452078;1.53106;-1.1037
77;1;9.60413;8.44613;8.16867;12.3284;7.96385;;;0.463201;2.50379;0.915279
78;1;9.60413;8.48883;8.17312;9.85472;7.96385;;;0.446119;0.93685;-0.0170824
79;1;9.60413;8.24801;8.17414;10.9628;7.96385;;;0.542447;2.07599;0.0963276
80;1;9.60413;9.84448;8.19671;10.9838;7.96385;;;-0.0961389;1.8741;-0.638586
81;1;9.60413;8.16035;8.19623;12.4984;7.96385;;;0.577511;3.08687;0.67365
82;1;9.60413;8.09249;8.19486;9.99407;7.96385;;;0.604655;1.26977;0.0271432
