POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.4093;8.88944;8.88944;4.82201;6.2491;;;-0.992056;-2.08332;-0.992056
8;1;6.4093;6.26896;7.5792;5.40786;6.2491;;;0.056137;-1.96543;1.04819
9;1;6.4093;4.81311;6.65717;5.40929;6.2491;;;0.638473;-0.624635;0.582336
10;1;6.4093;5.12543;6.27424;6.5925;6.2491;;;0.513546;1.07845;-0.124927
11;1;6.4093;5.05172;6.02973;7.84305;6.2491;;;0.543032;2.21881;0.0294856
12;1;6.4093;6.57516;6.12064;7.97893;6.2491;;;-0.0663438;2.07949;-0.609376
13;1;6.4093;4.86369;5.94107;9.54432;6.2491;;;0.618242;3.3778;0.684586
14;1;6.4093;5.00894;5.82456;6.68729;6.2491;;;0.560143;1.1763;-0.0580984
15;1;6.4093;5.01805;5.73495;7.91585;6.2491;;;0.556498;2.34495;-0.0036456
16;1;6.4093;6.17679;5.77913;8.34655;6.2491;;;0.0930026;2.54025;-0.463495
17;1;6.4093;4.91737;5.70079;9.81138;6.2491;;;0.596772;3.79347;0.503769
18;1;6.4093;5.11334;5.65183;6.64194;6.2491;;;0.518384;1.08861;-0.078388
19;1;6.4093;4.94456;5.59743;7.91695;6.2491;;;0.585894;2.31898;0.06751
20;1;6.4093;6.12203;5.6349;8.32624;6.2491;;;0.114908;2.56029;-0.470986
21;1;6.4093;4.87543;5.58427;9.83636;6.2491;;;0.613547;3.84874;0.498639
22;1;6.4093;5.08259;5.55291;6.64484;6.2491;;;0.530682;1.11443;-0.0828648
23;1;6.4093;4.94705;5.51727;7.92889;6.2491;;;0.5849;2.34272;0.054218
24;1;6.4093;6.55739;5.57506;8.07235;6.2491;;;-0.0592346;2.21833;-0.644135
25;1;6.4093;4.91218;5.54017;9.64502;6.2491;;;0.598848;3.47591;0.658082
26;1;6.4093;5.21354;5.52384;6.57574;6.2491;;;0.478305;1.00444;-0.120543
27;1;6.4093;5.06502;5.50199;7.79577;6.2491;;;0.537712;2.13364;0.0594072
28;1;6.4093;6.31171;5.5388;8.06768;6.2491;;;0.0390338;2.21561;-0.498678
29;1;6.4093;4.95432;5.51338;9.51705;6.2491;;;0.581989;3.43778;0.542956
30;1;6.4093;4.9727;5.49086;6.74673;6.2491;;;0.57464;1.20674;-0.0073492
31;1;6.4093;4.83072;5.46445;8.05169;6.2491;;;0.631433;2.53275;0.0567924
32;1;6.4093;6.16023;5.49121;8.47002;6.2491;;;0.0996262;2.74197;-0.531806
33;1;6.4093;4.89424;5.4691;10.0213;6.2491;;;0.606022;4.01461;0.506396
34;1;6.4093;5.2591;5.4616;6.53941;6.2491;;;0.460081;0.966171;-0.145941
35;1;6.4093;5.08487;5.44861;7.76302;6.2491;;;0.52977;2.07869;0.0696884
36;1;6.4093;6.12432;5.47113;8.1406;6.2491;;;0.113989;2.31807;-0.41578
37;1;6.4093;4.98751;5.45553;9.52332;6.2491;;;0.568715;3.51237;0.454726
38;1;6.4093;5.36558;5.45272;6.50856;6.2491;;;0.417489;0.876726;-0.151227
39;1;6.4093;5.11405;5.44246;7.69749;6.2491;;;0.518099;1.96473;0.100611
40;1;6.4093;6.3377;5.46879;7.90176;6.2491;;;0.028641;2.02488;-0.489458
41;1;6.4093;5.18516;5.46069;9.18899;6.2491;;;0.489656;3.05316;0.461015
42;1;6.4093;5.50346;5.46187;6.49938;6.2491;;;0.362337;0.760908;-0.127319
43;1;6.4093;5.17424;5.4541;7.59831;6.2491;;;0.494023;1.79836;0.131686
44;1;6.4093;6.35721;5.47787;7.74697;6.2491;;;0.0208358;1.84211;-0.473188
45;1;6.4093;5.18952;5.47047;9.01123;6.2491;;;0.487913;2.86673;0.467077
46;1;6.4093;5.58546;5.47335;6.44864;6.2491;;;0.329535;0.692024;-0.158377
47;1;6.4093;5.14373;5.46531;7.58175;6.2491;;;0.506229;1.7551;0.176693
48;1;6.4093;6.3444;5.48624;7.69971;6.2491;;;0.0259594;1.80962;-0.480269
49;1;6.4093;5.07281;5.47662;9.04831;6.2491;;;0.534594;2.93227;0.508634
50;1;6.4093;5.23333;5.47109;6.62733;6.2491;;;0.470388;0.987814;-0.064206
51;1;6.4093;5.09658;5.46277;7.76686;6.2491;;;0.525086;2.09049;0.054698
52;1;6.4093;6.30993;5.48119;8.0383;6.2491;;;0.039747;2.17396;-0.485339
53;1;6.4093;5.0409;5.47182;9.41929;6.2491;;;0.547359;3.32342;0.507612
54;1;6.4093;5.06614;5.46337;6.72156;6.2491;;;0.537263;1.12825;-0.010096
55;1;6.4093;5.02593;5.45444;7.88565;6.2491;;;0.553349;2.29029;0.016086
56;1;6.4093;6.38304;5.47301;8.16304;6.2491;;;0.010505;2.31235;-0.542844
57;1;6.4093;4.9863;5.46347;9.62186;6.2491;;;0.569199;3.50766;0.558694
58;1;6.4093;4.97877;5.45415;6.75564;6.2491;;;0.57221;1.20164;0.0030108
59;1;6.4093;4.95571;5.44474;7.96902;6.2491;;;0.581434;2.42265;0.009224
60;1;6.4093;6.10971;5.45706;8.44225;6.2491;;;0.119834;2.6743;-0.4616
61;1;6.4093;4.95463;5.44792;9.89476;6.2491;;;0.581868;3.89623;0.462034
62;1;6.4093;5.28864;5.44508;6.54465;6.2491;;;0.448262;0.94135;-0.133606
63;1;6.4093;5.04546;5.43807;7.77524;6.2491;;;0.545535;2.08697;0.0972728
64;1;6.4093;6.41066;5.45484;7.94986;6.2491;;;-0.000544625;2.08583;-0.546079
65;1;6.4093;4.94663;5.44622;9.43178;6.2491;;;0.585066;3.31447;0.58561
66;1;6.4093;5.07802;5.44009;6.67625;6.2491;;;0.532512;1.11827;-0.052554
67;1;6.4093;4.96538;5.4323;7.91917;6.2491;;;0.577569;2.33117;0.0450572
68;1;6.4093;6.2292;5.44516;8.27816;6.2491;;;0.0720382;2.48245;-0.505531
69;1;6.4093;4.86784;5.43599;9.80624;6.2491;;;0.616584;3.77728;0.544546
70;1;6.4093;4.97651;5.42881;6.7097;6.2491;;;0.573117;1.20355;-0.0434672
71;1;6.4093;4.78284;5.41888;8.08066;6.2491;;;0.650583;2.56977;0.0774656
72;1;6.4093;6.10863;5.42933;8.52091;6.2491;;;0.120266;2.82233;-0.530317
73;1;6.4093;4.75243;5.41922;10.1718;6.2491;;;0.662749;4.2141;0.542483
74;1;6.4093;4.7628;5.40957;6.80031;6.2491;;;0.658601;1.38306;-0.004148
75;1;6.4093;4.72013;5.39958;8.21483;6.2491;;;0.675667;2.80196;0.0170664
76;1;6.4093;6.09653;5.40954;8.73576;6.2491;;;0.125107;3.06469;-0.55056
77;1;6.4093;4.71946;5.39982;10.4304;6.2491;;;0.675937;4.48415;0.55083
78;1;6.4093;4.79506;5.39142;6.76648;6.2491;;;0.645697;1.35596;-0.0302396
79;1;6.4093;4.81023;5.38346;8.14297;6.2491;;;0.639628;2.69918;-0.0060692
80;1;6.4093;5.98309;5.39156;8.74163;6.2491;;;0.170483;3.0572;-0.469145
81;1;6.4093;4.7895;5.38353;10.3327;6.2491;;;0.647918;4.41782;0.477435
82;1;6.4093;4.95518;5.3779;6.69202;6.2491;;;0.581648;1.22146;-0.06627
83;1;6.4093;4.86575;5.37124;8.03698;6.2491;;;0.61742;2.51804;0.0357716
84;1;6.4093;6.13314;5.38101;8.48666;6.2491;;;0.110464;2.75002;-0.506956
85;1;6.4093;4.97226;5.37584;9.96856;6.2491;;;0.574815;3.95713;0.464351
86;1;6.4093;5.02517;5.37145;6.72033;6.2491;;;0.553653;1.16267;-0.0211628
87;1;6.4093;4.94092;5.36614;7.95808;6.2491;;;0.587352;2.39611;0.0336996
88;1;6.4093;6.30503;5.37759;8.28479;6.2491;;;0.0417062;2.48369;-0.545646
89;1;6.4093;4.94295;5.37235;9.78975;6.2491;;;0.586541;3.71543;0.544835
90;1;6.4093;5.13145;5.36948;6.64058;6.2491;;;0.511139;1.07339;-0.0754024
91;1;6.4093;5.06453;5.3659;7.8322;6.2491;;;0.537907;2.203;0.0267688
92;1;6.4093;6.55555;5.37973;7.98079;6.2491;;;-0.058501;2.08014;-0.596408
93;1;6.4093;5.04753;5.37591;9.41947;6.2491;;;0.544707;3.22403;0.603208
94;1;6.4093;5.04613;5.37216;6.73702;6.2491;;;0.545269;1.14506;0.0005616
95;1;6.4093;5.0357;5.36838;7.8882;6.2491;;;0.54944;2.29889;0.0041712
96;1;6.4093;6.68127;5.38297;7.98469;6.2491;;;-0.108788;2.07043;-0.658228
97;1;6.4093;5.08928;5.37974;9.43333;6.2491;;;0.528007;3.17925;0.636796
98;1;6.4093;5.18709;5.37765;6.66351;6.2491;;;0.488885;1.02666;-0.0391228
99;1;6.4093;5.02702;5.37388;7.83173;6.2491;;;0.552911;2.18777;0.0640268
100;1;6.4093;6.27734;5.38349;8.12861;6.2491;;;0.052783;2.29862;-0.500128
101;1;6.4093;5.02013;5.37967;9.5442;6.2491;;;0.555669;3.46552;0.502886
102;1;6.4093;5.10015;5.37675;6.69148;6.2491;;;0.523658;1.09968;-0.0320104
103;1;6.4093;5.01929;5.37307;7.87493;6.2491;;;0.556002;2.26729;0.032344
104;1;6.4093;6.41485;5.3837;8.11703;6.2491;;;-0.00221902;2.26263;-0.558221
105;1;6.4093;4.82056;5.37801;9.69094;6.2491;;;0.635496;3.59717;0.637715
106;1;6.4093;4.91395;5.37337;6.73082;6.2491;;;0.598139;1.25609;-0.0373572
107;1;6.4093;4.86835;5.36837;8.05346;6.2491;;;0.616379;2.55049;0.01824
108;1;6.4093;6.16976;5.37623;8.49671;6.2491;;;0.0958162;2.7517;-0.520563
109;1;6.4093;4.74486;5.3701;10.1304;6.2491;;;0.665775;4.14983;0.569958
110;1;6.4093;4.88499;5.36543;6.71908;6.2491;;;0.609721;1.28041;-0.0560532
111;1;6.4093;4.86804;5.3607;8.0664;6.2491;;;0.616503;2.57507;0.0067812
112;1;6.4093;6.14769;5.36812;8.53529;6.2491;;;0.104642;2.79482;-0.51186
113;1;6.4093;4.97006;5.3644;10.0206;6.2491;;;0.575697;4.00378;0.471055
114;1;6.4093;5.03712;5.36137;6.7118;6.2491;;;0.548873;1.15263;-0.0268244
115;1;6.4093;4.91287;5.35725;7.97077;6.2491;;;0.598571;2.40963;0.0496984
116;1;6.4093;5.95854;5.36272;8.50884;6.2491;;;0.180303;2.78827;-0.418268
117;1;6.4093;4.78829;5.35755;10.0547;6.2491;;;0.648404;4.14992;0.468101
118;1;6.4093;4.99844;5.35434;6.66384;6.2491;;;0.564342;1.18512;-0.084062
119;1;6.4093;4.89673;5.35029;7.99812;6.2491;;;0.605026;2.45567;0.0406836
120;1;6.4093;5.95686;5.35561;8.5495;6.2491;;;0.180974;2.83572;-0.424052
121;1;6.4093;4.83231;5.35106;10.0733;6.2491;;;0.630796;4.16039;0.449822
122;1;6.4093;4.86031;5.34683;6.76985;6.2491;;;0.619594;1.30115;-0.0112024
123;1;6.4093;4.74258;5.34167;8.15755;6.2491;;;0.666686;2.70119;0.0470924
124;1;6.4093;5.79291;5.34549;8.83829;6.2491;;;0.246557;3.21896;-0.420129
125;1;6.4093;4.57936;5.33905;10.5529;6.2491;;;0.731976;4.75611;0.485419
126;1;6.4093;4.61834;5.33305;6.82353;6.2491;;;0.716382;1.5044;-0.015594
127
