POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;34.6543;41.2973;41.2973;30.4027;28.4684;;;-2.65721;-5.58014;-2.65721
8;1;34.6543;26.1486;33.7229;37.175;28.4684;;;3.40226;1.56461;6.05947
9;1;34.6543;22.8875;30.1111;40.3474;28.4684;;;4.70672;11.4487;1.30445
10;1;34.6543;24.2951;28.6571;36.5774;28.4684;;;4.14366;8.70169;-0.563055
11;1;34.6543;24.1397;27.7536;45.9416;28.4684;;;4.20581;17.5339;0.0621528
12;1;34.6543;27.89;27.7764;52.3115;28.4684;;;2.7057;23.2159;-1.50011
13;1;34.6543;25.501;27.4513;61.0225;28.4684;;;3.6613;30.9046;0.955594
14;1;34.6543;25.2806;27.18;36.9921;28.4684;;;3.74947;7.87388;0.0881672
15;1;34.6543;24.6458;26.8984;45.1841;28.4684;;;4.00337;16.281;0.253902
16;1;34.6543;27.8506;26.9936;51.2862;28.4684;;;2.72145;21.996;-1.28191
17;1;34.6543;25.0472;26.8167;60.0773;28.4684;;;3.84281;30.0659;1.12135
18;1;34.6543;24.8986;26.6568;37.0551;28.4684;;;3.90227;8.19477;0.0594668
19;1;34.6543;24.8128;26.515;45.2453;28.4684;;;3.93657;16.4616;0.0342972
20;1;34.6543;27.9666;26.6187;51.4594;28.4684;;;2.67506;22.0792;-1.26151
21;1;34.6543;25.1009;26.5175;60.1725;28.4684;;;3.82133;30.104;1.14627
22;1;34.6543;24.6806;26.4027;37.2161;28.4684;;;3.98948;8.37792;0.168154
23;1;34.6543;24.3909;26.2843;45.6113;28.4684;;;4.10536;16.9992;0.11588
24;1;34.6543;27.7254;26.3644;51.9826;28.4684;;;2.77156;22.8195;-1.3338
25;1;34.6543;24.9924;26.2922;60.8858;28.4684;;;3.86476;30.9355;1.0932
26;1;34.6543;24.5591;26.2055;37.2504;28.4684;;;4.03808;8.47997;0.173321
27;1;34.6543;24.2485;26.1123;45.7559;28.4684;;;4.16232;17.2208;0.124232
28;1;34.6543;27.4841;26.1747;52.3017;28.4684;;;2.86807;23.2438;-1.29425
29;1;34.6543;25.0607;26.1263;61.1698;28.4684;;;3.83742;31.3024;0.969349
30;1;34.6543;24.7838;26.0703;37.1339;28.4684;;;3.94819;8.2912;0.110772
31;1;34.6543;24.3676;26.0022;45.5807;28.4684;;;4.11465;16.932;0.166456
32;1;34.6543;28.0213;26.0799;51.7167;28.4684;;;2.6532;22.5037;-1.46145
33;1;34.6543;25.4686;26.0572;60.3836;28.4684;;;3.67427;30.2197;1.02107
34;1;34.6543;25.3317;26.0313;36.9464;28.4684;;;3.72903;7.83097;0.0547568
35;1;34.6543;24.9234;25.9931;44.9839;28.4684;;;3.89235;16.0049;0.163315
36;1;34.6543;28.6478;26.0816;50.6109;28.4684;;;2.40257;21.0503;-1.48977
37;1;34.6543;25.695;26.0691;59.0359;28.4684;;;3.5837;28.5761;1.18113
38;1;34.6543;25.0529;26.0374;37.2154;28.4684;;;3.84053;8.06511;0.256826
39;1;34.6543;24.8013;25.9999;45.1848;28.4684;;;3.9412;16.3416;0.100675
40;1;34.6543;27.9797;26.0581;51.3264;28.4684;;;2.66982;21.9483;-1.27139
41;1;34.6543;24.8644;26.024;60.1982;28.4684;;;3.91595;30.1718;1.24614
42;1;34.6543;24.3617;25.9779;37.3256;28.4684;;;4.11704;8.64578;0.201087
43;1;34.6543;24.2465;25.9311;45.8439;28.4684;;;4.16309;17.3883;0.0460524
44;1;34.6543;27.4758;25.9717;52.4737;28.4684;;;2.8714;23.4182;-1.29169
45;1;34.6543;24.6669;25.9383;61.593;28.4684;;;3.99493;31.8076;1.12352
46;1;34.6543;24.6106;25.9051;37.0873;28.4684;;;4.01748;8.4367;0.022552
