POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;31.0011;42.2156;42.2156;23.8237;27.9921;;;-4.48583;-9.42024;-4.48583
8;1;31.0011;28.9321;35.5739;27.3908;27.9921;;;0.827576;-7.68233;5.31341
9;1;31.0011;23.0131;31.387;27.6035;27.9921;;;3.19518;-0.972454;2.3676
10;1;31.0011;23.7356;29.4741;32.4558;27.9921;;;2.90619;6.103;-0.288989
11;1;31.0011;23.6769;28.3147;38.8853;27.9921;;;2.92965;12.2553;0.0234612
12;1;31.0011;28.546;28.3532;41.898;27.9921;;;0.982043;14.3176;-1.94761
13;1;31.0011;23.6237;27.6776;49.0581;27.9921;;;2.95097;20.5146;1.96892
14;1;31.0011;23.685;27.1785;32.7324;27.9921;;;2.92643;6.14551;-0.024536
15;1;31.0011;23.1362;26.7294;39.2537;27.9921;;;3.14594;12.752;0.21951
16;1;31.0011;28.9673;26.9532;41.9087;27.9921;;;0.813495;14.4603;-2.33245
17;1;31.0011;23.7369;26.6608;49.297;27.9921;;;2.90567;20.5622;2.09217
18;1;31.0011;23.449;26.3931;32.9287;27.9921;;;3.02083;6.34374;0.115162
19;1;31.0011;23.0226;26.1339;39.4302;27.9921;;;3.19141;13.0457;0.170576
20;1;31.0011;28.3182;26.2899;42.5724;27.9921;;;1.07315;15.2993;-2.11826
21;1;31.0011;22.6142;26.0448;50.5948;27.9921;;;3.35473;22.3442;2.28158
22;1;31.0011;23.0613;25.8584;32.7278;27.9921;;;3.17591;6.66942;-0.178818
23;1;31.0011;22.569;25.6649;39.8911;27.9921;;;3.37284;13.7524;0.196928
24;1;31.0011;28.1192;25.8012;43.225;27.9921;;;1.15276;16.1732;-2.22008
25;1;31.0011;22.3076;25.6174;51.5853;27.9921;;;3.47737;23.4757;2.32461
26;1;31.0011;21.97;25.435;33.3036;27.9921;;;3.61245;7.58614;0.135076
27;1;31.0011;22.3407;25.2876;40.5174;27.9921;;;3.46416;14.8609;-0.148286
28;1;31.0011;27.922;25.4074;44.3684;27.9921;;;1.23162;17.4473;-2.23254
29;1;31.0011;22.5111;25.2815;52.6504;27.9921;;;3.39601;24.5789;2.16438
30;1;31.0011;22.338;25.1588;33.1494;27.9921;;;3.46523;7.27699;0.0692216
31;1;31.0011;22.4579;25.0508;40.2805;27.9921;;;3.41728;14.4533;-0.0479468
32;1;31.0011;28.5002;25.1834;43.6376;27.9921;;;1.00034;16.554;-2.41694
33;1;31.0011;23.5268;25.1221;51.3382;27.9921;;;2.9897;22.8324;1.98936
