POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.781073;0.877489;0.877489;0.719367;0.728288;;;-0.0385662;-0.0809891;-0.0385662
8;1;0.781073;0.956872;0.91718;0.62614;0.631183;;;-0.0703194;-0.22866;-0.0317532
9;1;0.781073;0.482951;0.772437;0.813531;0.825393;;;0.119249;0.021763;0.189568
10;1;0.781073;0.582695;0.725002;0.788787;0.788979;;;0.0793514;0.166638;-0.0398976
11;1;0.781073;0.501197;0.680241;1.04748;1.05602;;;0.111951;0.401734;0.0325992
12;1;0.781073;1.79969;0.866815;0.418943;0.424835;;;-0.407446;-0.453903;-0.519397
13;1;0.781073;0.718144;0.845577;0.774892;0.776841;;;0.0251718;-0.401042;0.432618
14;1;0.781073;0.510183;0.803652;0.929272;0.934636;;;0.108356;0.227548;0.0831844
15;1;0.781073;0.715814;0.793893;0.942031;0.946775;;;0.0261038;0.282366;-0.0822524
16;1;0.781073;1.47677;0.86218;0.59209;0.594769;;;-0.278279;-0.302019;-0.304382
17;1;0.781073;0.522237;0.831276;0.922988;0.934636;;;0.103535;-0.0845966;0.381813
18;1;0.781073;0.743359;0.82395;0.701676;0.704012;;;0.0150858;0.0316801;-0.0884488
19;1;0.781073;0.503768;0.799321;0.975143;0.983189;;;0.110922;0.264617;0.0958364
20;1;0.781073;1.58979;0.855783;0.417187;0.424835;;;-0.323488;-0.414708;-0.43441
21;1;0.781073;0.717324;0.846552;0.730653;0.740426;;;0.0254998;-0.361158;0.348988
22;1;0.781073;0.517357;0.825978;0.924352;0.934636;;;0.105487;0.221522;0.0799868
23;1;0.781073;0.738003;0.820803;0.924674;0.934636;;;0.0172282;0.257701;-0.0882584
24;1;0.781073;1.43766;0.855073;0.601329;0.606907;;;-0.262636;-0.293834;-0.279864
25;1;0.781073;0.516698;0.837263;0.919075;0.922498;;;0.10575;-0.0717589;0.368386
26;1;0.781073;0.726725;0.831737;0.710106;0.71615;;;0.0217394;0.0456527;-0.0840108
27;1;0.781073;0.475536;0.814775;1.00053;1.00747;;;0.122215;0.302304;0.100476
28;1;0.781073;1.67471;0.853863;0.389233;0.400558;;;-0.357456;-0.448353;-0.479671
29;1;0.781073;0.638807;0.844512;0.781227;0.788979;;;0.0569066;-0.328849;0.414362
30;1;0.781073;0.53672;0.831688;0.880553;0.886084;;;0.0977414;0.205257;0.0408348
31;1;0.781073;0.569104;0.821184;1.02425;1.03174;;;0.0847878;0.383311;-0.0129536
32;1;0.781073;1.73104;0.856179;0.471619;0.473387;;;-0.379986;-0.41466;-0.464774
33;1;0.781073;0.696999;0.850283;0.800207;0.801117;;;0.0336298;-0.344037;0.413616
34;1;0.781073;0.543754;0.839336;0.899328;0.91036;;;0.0949278;0.199348;0.061298
35;1;0.781073;0.681807;0.833904;0.949025;0.958913;;;0.0397066;0.282732;-0.0552212
36;1;0.781073;1.54421;0.857581;0.535694;0.546216;;;-0.305253;-0.358299;-0.34496
37;1;0.781073;0.614396;0.849736;0.834701;0.837531;;;0.066671;-0.21829;0.371924
38;1;0.781073;0.541651;0.840108;0.867633;0.873946;;;0.095769;0.201115;0.029098
39;1;0.781073;0.535501;0.830878;1.04359;1.04388;;;0.098229;0.407396;0.00246
40;1;0.781073;1.82475;0.860109;0.422285;0.424835;;;-0.417472;-0.469295;-0.515701
41;1;0.781073;0.723021;0.856193;0.766404;0.776841;;;0.023221;-0.420531;0.440693
42;1;0.781073;0.556637;0.847872;0.901492;0.91036;;;0.0897746;0.188527;0.0665536
43;1;0.781073;0.655012;0.842659;0.960505;0.971051;;;0.0504246;0.294418;-0.03935
44;1;0.781073;1.65593;0.864061;0.46516;0.473387;;;-0.349942;-0.44046;-0.400367
45;1;0.781073;0.724887;0.860492;0.726515;0.728288;;;0.0224746;-0.393264;0.372417
46;1;0.781073;0.527827;0.852176;0.920677;0.922498;;;0.101299;0.212727;0.078824
47;1;0.781073;0.721003;0.848976;0.930947;0.934636;;;0.0240282;0.263186;-0.0772704
48;1;0.781073;1.52008;0.864955;0.547267;0.558354;;;-0.295603;-0.357579;-0.319631
49;1;0.781073;0.597829;0.858743;0.836373;0.837531;;;0.0732978;-0.203654;0.3689
50;1;0.781073;0.561244;0.851982;0.848467;0.84967;;;0.0879318;0.184657;0.014634
51;1;0.781073;0.559259;0.845477;1.01976;1.03174;;;0.0887258;0.370981;0.000794
52;1;0.781073;1.79704;0.866163;0.413107;0.424835;;;-0.406388;-0.482434;-0.495114
53;1;0.781073;0.773904;0.8642;0.709616;0.71615;;;0.00286777;-0.476412;0.409256
54;1;0.781073;0.572807;0.858129;0.911496;0.922498;;;0.0833066;0.174944;0.0804388
55;1;0.781073;0.738543;0.855689;0.89993;0.91036;;;0.0170122;0.210669;-0.0662944
56;1;0.781073;1.40955;0.866766;0.572506;0.582631;;;-0.251391;-0.317251;-0.268403
57;1;0.781073;0.589288;0.861325;0.837956;0.84967;;;0.0767142;-0.156151;0.328105
58;1;0.781073;0.609118;0.856475;0.814411;0.825393;;;0.0687822;0.144443;-0.007932
59;1;0.781073;0.585255;0.851358;0.982058;0.983189;;;0.0783274;0.30893;0.0095452
60;1;0.781073;1.66574;0.866439;0.445492;0.449111;;;-0.353865;-0.434186;-0.432192
61;1;0.781073;0.78716;0.864997;0.696857;0.704012;;;-0.00243462;-0.439299;0.35143
62;1;0.781073;0.577187;0.859858;0.913995;0.922498;;;0.0815546;0.171265;0.0839892
63;1;0.781073;0.73248;0.857623;0.901883;0.91036;;;0.0194374;0.212083;-0.0621172
64;1;0.781073;1.41214;0.867184;0.569835;0.570492;;;-0.252427;-0.318014;-0.271865
65;1;0.781073;0.60392;0.862722;0.828865;0.837531;;;0.0708614;-0.169206;0.323289
66;1;0.781073;0.591777;0.858206;0.831362;0.837531;;;0.0757186;0.159009;0.0048572
67;1;0.781073;0.570361;0.853487;0.99922;1.00747;;;0.084285;0.336007;0.0085664
68;1;0.781073;1.78042;0.868438;0.393215;0.400558;;;-0.399738;-0.503443;-0.484023
69;1;0.781073;0.688688;0.865585;0.736496;0.740426;;;0.0369542;-0.425839;0.436692
70;1;0.781073;0.582148;0.861156;0.871432;0.873946;;;0.0795702;0.167097;0.042616
71;1;0.781073;0.57124;0.856696;1.00289;1.00747;;;0.0839334;0.343357;0.0043632
72;1;0.781073;1.74038;0.870085;0.42654;0.436973;;;-0.383723;-0.462462;-0.467657
73;1;0.781073;0.76853;0.868569;0.710363;0.71615;;;0.00501737;-0.451925;0.388741
