POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;4.61207;5.29079;5.29079;4.17769;4.18091;;;-0.271487;-0.570122;-0.271487
8;1;4.61207;4.90336;5.09707;4.12701;4.1381;;;-0.116515;-0.814803;0.154972
9;1;4.61207;3.48967;4.56127;4.63212;4.63752;;;0.448961;0.128015;0.565475
10;1;4.61207;4.37811;4.51548;4.31284;4.3236;;;0.0935851;0.196529;-0.355376
11;1;4.61207;4.00138;4.41266;5.10585;5.10841;;;0.244274;0.709505;0.150689
12;1;4.61207;5.80911;4.6454;4.31119;4.3236;;;-0.478817;-0.296011;-0.723091
13;1;4.61207;3.59696;4.49562;5.44455;5.45087;;;0.406045;0.556684;0.884862
14;1;4.61207;5.22665;4.587;3.81269;3.82417;;;-0.245833;-0.51625;-0.651878
15;1;4.61207;3.49096;4.46522;5.05916;5.0656;;;0.448445;0.425485;0.694278
16;1;4.61207;5.60606;4.5793;3.95295;3.96687;;;-0.397596;-0.409467;-0.846041
17;1;4.61207;3.41312;4.47329;5.36753;5.37953;;;0.479581;0.597653;0.877177
18;1;4.61207;4.83811;4.50369;3.98782;3.9954;;;-0.0904177;-0.189877;-0.569999
19;1;4.61207;3.39948;4.41875;5.28867;5.29391;;;0.485037;0.8287;0.575454
20;1;4.61207;5.98956;4.53095;4.07414;4.08102;;;-0.550997;-0.328394;-1.03603
21;1;4.61207;3.42339;4.45711;5.59543;5.60784;;;0.475471;0.670097;1.02647
22;1;4.61207;5.89713;4.54711;3.31416;3.32475;;;-0.514023;-1.07945;-0.989495
23;1;4.61207;4.17961;4.5255;4.32342;4.3236;;;0.172985;-0.71618;0.687008
24;1;4.61207;5.12846;4.55899;3.39241;3.39609;;;-0.206556;-1.14995;-0.379542
25;1;4.61207;4.211;4.54068;3.92536;3.93833;;;0.160427;-0.813052;0.366984
26;1;4.61207;3.73801;4.50054;5.01104;5.02279;;;0.349623;0.734208;0.189196
27;1;4.61207;4.0935;4.48116;5.32854;5.33672;;;0.207429;1.16981;-0.142194
28;1;4.61207;6.44423;4.57039;4.40187;4.40921;;;-0.732863;-0.369204;-0.940292
29;1;4.61207;3.90556;4.54149;5.42789;5.4366;;;0.282602;0.224261;1.01547
30;1;4.61207;5.51959;4.58224;3.74865;3.75283;;;-0.36301;-0.762321;-0.645612
31;1;4.61207;3.96993;4.55775;4.62373;4.63752;;;0.256857;-0.222921;0.619867
32;1;4.61207;5.7306;4.60286;3.41643;3.42463;;;-0.447411;-1.16249;-0.704268
33;1;4.61207;4.35448;4.59366;4.06185;4.06675;;;0.103036;-0.946109;0.550448
34;1;4.61207;4.10166;4.57609;4.83569;4.83729;;;0.204162;0.428741;0.101126
35;1;4.61207;4.21774;4.56373;5.08902;5.09414;;;0.157731;0.759975;-0.0464316
36;1;4.61207;5.98021;4.61095;4.3387;4.35214;;;-0.547258;-0.389267;-0.704989
37;1;4.61207;3.88156;4.58742;5.23758;5.2511;;;0.292202;0.224357;0.83946
38;1;4.61207;4.61585;4.58831;4.31745;4.3236;;;-0.0015105;-0.00317205;-0.293712
39;1;4.61207;3.89803;4.56739;5.06739;5.07987;;;0.285614;0.596617;0.287124
40;1;4.61207;5.99877;4.60949;4.03558;4.03821;;;-0.55468;-0.568211;-0.840294
41;1;4.61207;3.8287;4.58718;5.0999;5.10841;;;0.313349;0.089822;0.868029
42;1;4.61207;4.61662;4.588;4.29581;4.30933;;;-0.0018213;-0.00382473;-0.31517
43;1;4.61207;4.07244;4.57406;4.95543;4.96572;;;0.215852;0.449465;0.217674
44;1;4.61207;6.00011;4.61159;3.95734;3.96687;;;-0.555216;-0.716488;-0.771068
45;1;4.61207;3.87561;4.59272;4.92213;4.92291;;;0.294585;-0.09786;0.8498
46;1;4.61207;4.57211;4.5922;4.34306;4.35214;;;0.0159851;0.0335687;-0.2786
47;1;4.61207;3.96812;4.57698;5.04178;5.05133;;;0.25758;0.574487;0.241595
48;1;4.61207;5.98078;4.61041;4.053;4.06675;;;-0.547484;-0.575228;-0.805064
49;1;4.61207;3.77186;4.59091;5.12206;5.12268;;;0.336083;0.130547;0.883567
50;1;4.61207;4.59249;4.59094;4.28852;4.29506;;;0.0078319;0.016447;-0.328252
51;1;4.61207;4.08862;4.57978;4.95569;4.96572;;;0.209378;0.456141;0.201546
52;1;4.61207;5.9787;4.61019;3.98419;3.9954;;;-0.546653;-0.691831;-0.756031
53;1;4.61207;3.77503;4.59242;5.00259;5.00852;;;0.334815;0.0112804;0.881468
54;1;4.61207;4.53857;4.5913;4.32429;4.33787;;;0.0293991;0.0617381;-0.305416
55;1;4.61207;4.01668;4.57957;5.02545;5.03706;;;0.238153;0.56186;0.208754
56;1;4.61207;5.96618;4.6073;4.06915;4.08102;;;-0.541643;-0.57559;-0.779797
57;1;4.61207;3.56773;4.58692;5.2465;5.2511;;;0.417735;0.301654;0.959379
58;1;4.61207;4.66767;4.58847;4.15875;4.16664;;;-0.0222409;-0.0467059;-0.439976
59;1;4.61207;3.87608;4.57503;5.05864;5.0656;;;0.294397;0.571527;0.316638
60;1;4.61207;6.01012;4.60161;3.99445;3.9954;;;-0.559219;-0.602833;-0.853616
61;1;4.61207;3.76107;4.58633;5.11309;5.12268;;;0.340398;0.112004;0.899617
62;1;4.61207;4.51594;4.58507;4.3332;4.33787;;;0.0384531;0.0807515;-0.301945
63;1;4.61207;3.93121;4.5736;5.09011;5.09414;;;0.272342;0.652669;0.233889
64;1;4.61207;6.02282;4.59858;4.08952;4.09529;;;-0.5643;-0.53236;-0.836642
65;1;4.61207;3.6543;4.58258;5.25698;5.26537;;;0.383108;0.272167;0.947408
66;1;4.61207;4.50361;4.58126;4.29838;4.30933;;;0.0433843;0.091107;-0.339724
67;1;4.61207;3.68292;4.56654;5.25444;5.26537;;;0.371658;0.871589;0.328274
68;1;4.61207;6.31677;4.59477;4.02099;4.02394;;;-0.681883;-0.560364;-1.05354
69;1;4.61207;3.60904;4.57912;5.37553;5.37953;;;0.401212;0.282181;1.08309
70;1;4.61207;5.0463;4.58642;3.93295;3.93833;;;-0.173691;-0.364752;-0.574903
71;1;4.61207;3.48119;4.56942;5.14477;5.15122;;;0.45235;0.585184;0.626042
72;1;4.61207;5.94996;4.59033;3.88865;3.89552;;;-0.535158;-0.538649;-0.987509
73;1;4.61207;3.44154;4.57319;5.35772;5.36526;;;0.468211;0.444594;1.00337
