PS100;PS80;PS60;PS40;PS20
0;0.65625;0.34375;0;0;
0;0.702083;0.297917;0;0;
0.195833;0.804167;0;0;0;
0;0.41875;0.58125;0;0;
0.491667;0.508333;0;0;0;
0;0;0.929167;0.0708333;0;
0.51875;0.48125;0;0;0;
0;0;0.85625;0.14375;0;
0.25;0.75;0;0;0;
0;0;0.910417;0.0895833;0;
0.414583;0.585417;0;0;0;
0;0.0270833;0.972917;0;0;
0.5;0.5;0;0;0;
0;0;0.7625;0.2375;0;
0.322917;0.677083;0;0;0;
0;0.191667;0.808333;0;0;
0.4125;0.5875;0;0;0;
0;0;0.802083;0.197917;0;
0.247917;0.752083;0;0;0;
0;0.283333;0.716667;0;0;
0.377083;0.622917;0;0;0;
0;0;0.797917;0.202083;0;
0.120833;0.879167;0;0;0;
0;0.570833;0.429167;0;0;
0.454167;0.545833;0;0;0;
0;0;0.9;0.1;0;
0.310417;0.689583;0;0;0;
0;0.06875;0.93125;0;0;
0.285417;0.714583;0;0;0;
0;0;0.7375;0.2625;0;
0;0.939583;0.0604167;0;0;
0;0.839583;0.160417;0;0;
0.527083;0.472917;0;0;0;
0;0;0.791667;0.208333;0;
0.0875;0.9125;0;0;0;
0;0.51875;0.48125;0;0;
0.272917;0.727083;0;0;0;
0;0;0.827083;0.172917;0;
0;0.927083;0.0729167;0;0;
0;0.6625;0.3375;0;0;
0.302083;0.697917;0;0;0;
0;0;0.83125;0.16875;0;
0;0.958333;0.0416667;0;0;
0;0.691667;0.308333;0;0;
0.404167;0.595833;0;0;0;
0;0;0.704167;0.295833;0;
0;0.86875;0.13125;0;0;
0;0.777083;0.222917;0;0;
0.270833;0.729167;0;0;0;
0;0;0.879167;0.120833;0;
0;0.95625;0.04375;0;0;
0;0.610417;0.389583;0;0;
0.129167;0.870833;0;0;0;
0;0;0.929167;0.0708333;0;
0;0.914583;0.0854167;0;0;
0;0.552083;0.447917;0;0;
0.270833;0.729167;0;0;0;
0;0;0.629167;0.370833;0;
0;0.595833;0.404167;0;0;
0;0.914583;0.0854167;0;0;
0.272917;0.727083;0;0;0;
0;0;0.683333;0.316667;0;
0;0.591667;0.408333;0;0;
0;0.845833;0.154167;0;0;
0.185417;0.814583;0;0;0;
0;0;0.85;0.15;0;
0;0.847917;0.152083;0;0;
0;0.689583;0.310417;0;0;
0.333333;0.666667;0;0;0;
0;0;0.639583;0.360417;0;
0;0.583333;0.416667;0;0;
0;0.939583;0.0604167;0;0;
0.295833;0.704167;0;0;0;
0;0;0.902083;0.0979167;0;
0.0229167;0.977083;0;0;0;
0;0.59375;0.40625;0;0;
0.329167;0.670833;0;0;0;
0;0;0.78125;0.21875;0;
0;0.925;0.075;0;0;
0;0.83125;0.16875;0;0;
0.49375;0.50625;0;0;0;
0;0;0.8375;0.1625;0;
0.154167;0.845833;0;0;0;
0;0.510417;0.489583;0;0;
0.36875;0.63125;0;0;0;
0;0;0.7875;0.2125;0;
0;0.979167;0.0208333;0;0;
0;0.820833;0.179167;0;0;
0.439583;0.560417;0;0;0;
0;0;0.935417;0.0645833;0;
0.283333;0.716667;0;0;0;
0;0.110417;0.889583;0;0;
0.254167;0.745833;0;0;0;
0;0;0.747917;0.252083;0;
0;0.891667;0.108333;0;0;
0;0.854167;0.145833;0;0;
0.472917;0.527083;0;0;0;
0;0;0.904167;0.0958333;0;
0.241667;0.758333;0;0;0;
0;0.160417;0.839583;0;0;
0.225;0.775;0;0;0;
0;0;0.8125;0.1875;0;
0;0.99375;0.00625;0;0;
0;0.83125;0.16875;0;0;
0.552083;0.447917;0;0;0;
0;0;0.9;0.1;0;
0.364583;0.635417;0;0;0;
0;0;0.9625;0.0375;0;
0.2625;0.7375;0;0;0;
0;0;0.710417;0.289583;0;
0;0.989583;0.0104167;0;0;
0;0.825;0.175;0;0;
0.539583;0.460417;0;0;0;
0;0;0.858333;0.141667;0;
0.289583;0.710417;0;0;0;
0;0.145833;0.854167;0;0;
0.31875;0.68125;0;0;0;
0;0;0.710417;0.289583;0;
0.0104167;0.989583;0;0;0;
0;0.804167;0.195833;0;0;
