POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;28.3534;32.3705;32.3705;25.7824;25.791;;;-1.60685;-3.37439;-1.60685
8;1;28.3534;26.9229;29.6467;27.5013;27.5063;;;0.572189;-2.17279;2.17904
9;1;28.3534;19.8265;26.3733;31.0656;31.0771;;;3.41075;4.98978;2.83856
10;1;28.3534;26.7003;26.4551;26.0006;26.0093;;;0.661211;1.38854;-2.74954
11;1;28.3534;20.5576;25.2756;34.07;34.071;;;3.11829;7.93696;2.45708
12;1;28.3534;44.7134;28.5152;22.7016;22.7036;;;-6.54403;-5.80551;-9.66232
13;1;28.3534;19.732;27.2605;34.6096;34.6167;;;3.44854;1.43643;9.99257
14;1;28.3534;35.82;28.3304;20.1262;20.1307;;;-2.98664;-6.27195;-6.43518
15;1;28.3534;22.5072;27.6834;28.8096;28.8161;;;2.33848;-1.36113;5.32512
16;1;28.3534;28.1414;27.7292;24.7894;24.7931;;;0.0847718;-1.18311;-2.25371
17;1;28.3534;19.3625;26.9686;32.8396;32.8547;;;3.59634;6.3692;3.51157
18;1;28.3534;31.0903;27.3121;23.0054;23.0154;;;-1.09479;-2.29905;-4.69113
19;1;28.3534;19.2902;26.695;32.9495;32.9639;;;3.62525;5.31397;4.72004
20;1;28.3534;40.3683;27.6717;22.3526;22.3605;;;-4.80596;-4.77854;-8.43121
21;1;28.3534;19.7512;27.1436;33.8862;33.8994;;;3.44086;2.44726;8.24681
22;1;28.3534;35.5987;27.6721;20.2755;20.2866;;;-2.89813;-6.08607;-6.33899
23;1;28.3534;22.5891;27.3731;28.8545;28.8629;;;2.30569;-1.24412;5.20382
24;1;28.3534;28.8632;27.4559;24.4773;24.4812;;;-0.203923;-1.67236;-2.50961
25;1;28.3534;20.4343;27.0863;31.9531;31.9659;;;3.16761;4.97963;3.37154
26;1;28.3534;31.1949;27.2917;23.3672;23.3741;;;-1.13662;-2.38689;-4.30423
27;1;28.3534;20.8984;26.9873;31.8743;31.8879;;;2.982;3.87531;4.11862
28;1;28.3534;39.5379;27.5578;22.0886;22.0954;;;-4.47382;-5.51971;-7.45583
29;1;28.3534;21.6525;27.301;31.596;31.6072;;;2.68036;0.109037;7.15418
30;1;28.3534;29.5593;27.3951;24.9012;24.9022;;;-0.482373;-1.01298;-3.16273
31;1;28.3534;21.0843;27.1427;32.475;32.4805;;;2.90762;5.09303;3.39
32;1;28.3534;41.8193;27.7072;21.9206;21.9239;;;-5.38637;-6.21836;-8.294
33;1;28.3534;21.8027;27.4885;31.7138;31.7164;;;2.62026;-0.715817;8.00663
34;1;28.3534;30.4277;27.5935;24.4055;24.4188;;;-0.829727;-1.74243;-3.44999
35;1;28.3534;21.6267;27.3877;31.7457;31.7476;;;2.69066;3.90796;3.52039
36;1;28.3534;39.6374;27.796;22.3489;22.3605;;;-4.51361;-5.57062;-7.20427
37;1;28.3534;21.7871;27.6022;31.4988;31.5137;;;2.6265;-0.0549667;7.14011
38;1;28.3534;30.1173;27.6808;24.598;24.6059;;;-0.705558;-1.48167;-3.33206
39;1;28.3534;21.9555;27.5073;31.6719;31.6852;;;2.55916;3.89256;3.26472
40;1;28.3534;39.793;27.8686;22.3654;22.3761;;;-4.57583;-5.71669;-7.13499
41;1;28.3534;22.1839;27.7062;31.161;31.1706;;;2.46778;-0.534352;7.04361
42;1;28.3534;29.0949;27.7448;25.411;25.4168;;;-0.296627;-0.622917;-2.76441
43;1;28.3534;22.9311;27.6147;31.4973;31.4981;;;2.16889;3.93175;2.46552
44;1;28.3534;41.0085;27.9672;22.017;22.0175;;;-5.06205;-6.69855;-7.23094
45;1;28.3534;23.338;27.8485;29.9267;29.9388;;;2.00616;-2.48562;7.0682
46;1;28.3534;24.9798;27.7767;28.5063;28.5198;;;1.34943;2.83381;-0.65672
47;1;28.3534;22.3483;27.6443;33.681;33.6811;;;2.40203;7.87808;1.0526
48;1;28.3534;50.1264;28.1796;19.8947;19.8968;;;-8.70921;-10.4113;-11.1112
49;1;28.3534;26.1591;28.1326;28.0557;28.0676;;;0.877719;-8.56805;9.58693
50;1;28.3534;24.1917;28.0431;30.1391;30.1415;;;1.66466;3.49578;0.78694
51;1;28.3534;22.4283;27.9183;33.9765;33.9774;;;2.37001;8.4728;0.705347
52;1;28.3534;50.5035;28.4093;20.2801;20.2866;;;-8.86005;-10.1333;-11.2301
53;1;28.3534;25.0729;28.3383;29.1796;29.1903;;;1.31218;-7.37774;10.1722
54;1;28.3534;24.0784;28.2496;29.7772;29.7829;;;1.70999;3.59098;0.397817
55;1;28.3534;22.3715;28.1296;34.0627;34.071;;;2.39273;8.61571;0.682738
56;1;28.3534;52.0785;28.6086;19.3923;19.3978;;;-9.49005;-11.3134;-11.8828
57;1;28.3534;29.3309;28.6227;25.9044;25.9158;;;-0.390997;-12.1345;9.09905
58;1;28.3534;27.7243;28.6055;29.147;29.1591;;;0.251645;0.528455;0.642642
59;1;28.3534;29.1855;28.6164;28.0976;28.0988;;;-0.332859;-0.170549;-0.584504
60;1;28.3534;34.0628;28.7173;24.8616;24.871;;;-2.28379;-4.96651;-1.95093
61;1;28.3534;22.8035;28.6097;29.2226;29.2371;;;2.21996;-0.304599;4.50374
62;1;28.3534;24.9011;28.5435;28.3429;28.3483;;;1.38092;2.89994;-0.839031
63;1;28.3534;22.196;28.4321;33.8131;33.8215;;;2.46297;8.07217;1.08204
64;1;28.3534;51.3364;28.8271;19.2534;19.2575;;;-9.19323;-11.2336;-11.6562
65;1;28.3534;27.0223;28.7965;27.1649;27.1788;;;0.532427;-10.1155;9.72566
66;1;28.3534;24.0983;28.7182;30.5442;30.5469;;;1.70203;3.57427;1.1696
67;1;28.3534;25.7833;28.67;31.8705;31.8723;;;1.02804;5.73315;-0.673989
