POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.991983;1.13348;1.13348;0.901427;0.91113;;;-0.0565977;-0.118855;-0.0565977
8;1;0.991983;1.10677;1.12012;0.856262;0.864801;;;-0.0459145;-0.215276;0.0106832
9;1;0.991983;0.661805;0.96735;1.03394;1.03467;;;0.132071;0.0620738;0.177986
10;1;0.991983;0.919395;0.955361;0.906368;0.91113;;;0.0290351;0.0609738;-0.103036
11;1;0.991983;0.797262;0.923742;1.14854;1.15822;;;0.0778883;0.224539;0.0488532
12;1;0.991983;1.66681;1.04759;0.706744;0.710373;;;-0.269931;-0.342316;-0.347819
13;1;0.991983;0.897468;1.02614;0.980088;0.988345;;;0.0378059;-0.262923;0.307737
14;1;0.991983;0.903415;1.0108;1.01086;1.01923;;;0.0354271;0.074397;-0.0023788
15;1;0.991983;0.82688;0.990365;1.13662;1.14277;;;0.0660411;0.213083;0.030614
16;1;0.991983;1.57295;1.04862;0.767207;0.772144;;;-0.232386;-0.274928;-0.298428
17;1;0.991983;0.742116;1.02076;1.10936;1.11189;;;0.0999467;-0.0650401;0.332333
18;1;0.991983;0.922013;1.01253;0.936817;0.942016;;;0.0279879;0.0587746;-0.0719588
19;1;0.991983;0.761989;0.993258;1.16997;1.17366;;;0.0919975;0.251969;0.0640096
20;1;0.991983;1.72569;1.04557;0.682381;0.69493;;;-0.293483;-0.364345;-0.385481
21;1;0.991983;0.829975;1.0312;1.02481;1.03467;;;0.0648031;-0.228259;0.358286
22;1;0.991983;0.850609;1.01991;1.01766;1.01923;;;0.0565495;0.118754;-0.0082536
23;1;0.991983;0.901735;1.01296;1.11195;1.12733;;;0.0360991;0.194562;-0.0204504
24;1;0.991983;1.71665;1.05206;0.686661;0.69493;;;-0.289866;-0.414156;-0.325965
25;1;0.991983;0.909823;1.04457;0.920275;0.926573;;;0.0328639;-0.345142;0.32273
26;1;0.991983;0.926441;1.03866;1.00107;1.00379;;;0.0262167;0.0550551;-0.0066472
27;1;0.991983;0.994424;1.03656;1.01926;1.03467;;;-0.000976475;0.0530045;-0.0271932
28;1;0.991983;1.53335;1.05914;0.699488;0.710373;;;-0.216548;-0.401746;-0.215571
29;1;0.991983;1.18212;1.06449;0.685098;0.69493;;;-0.0760545;-0.56146;0.140493
30;1;0.991983;1.23178;1.07146;0.914567;0.926573;;;-0.0959189;-0.20143;-0.0198644
31;1;0.991983;1.02605;1.06964;0.864671;0.864801;;;-0.0136257;-0.230044;0.0822932
32;1;0.991983;1.23266;1.07591;0.62153;0.633158;;;-0.0962717;-0.432214;-0.082646
33;1;0.991983;1.30252;1.0843;0.457297;0.463286;;;-0.124215;-0.693065;-0.0279432
34;1;0.991983;1.31376;1.0925;0.91026;0.91113;;;-0.128711;-0.270293;-0.004496
35;1;0.991983;1.07571;1.09192;0.796818;0.80303;;;-0.0334893;-0.34062;0.0952216
36;1;0.991983;1.25838;1.09747;0.514358;0.525058;;;-0.106559;-0.564394;-0.0730696
37;1;0.991983;1.50143;1.1105;0.208099;0.277972;;;-0.20378;-0.992333;-0.0972216
38;1;0.991983;0.204182;1.08218;1.69996;1.38986;;;0.31512;0.661753;0.518901
39;1;0.991983;2.41081;1.12244;0.430568;0.432401;;;-0.567529;-0.530059;-0.88265
40;1;0.991983;1.37752;1.12994;0.782709;0.787587;;;-0.154215;-0.85391;0.413314
41;1;0.991983;1.04655;1.12756;0.257365;0.277972;;;-0.0218265;-0.899746;0.132388
42;1;0.991983;0.202015;1.10185;1.51939;1.38986;;;0.315987;0.663573;0.337814
43;1;0.991983;2.18173;1.13103;0.578133;0.58683;;;-0.475897;-0.335811;-0.791884
44;1;0.991983;1.83176;1.14947;0.594615;0.602272;;;-0.335909;-1.04122;0.139988
45;1;0.991983;1.29934;1.15332;0.0899657;0.277972;;;-0.122941;-1.2994;0.212968
46;1;0.991983;0.192331;1.12929;1.6267;1.38986;;;0.319861;0.671708;0.442802
47;1;0.991983;2.07626;1.15239;0.649895;0.664044;;;-0.433709;-0.239081;-0.75357
48;1;0.991983;1.54243;1.16168;0.834326;0.849359;;;-0.220178;-0.701454;0.213531
49;1;0.991983;0.804259;1.15336;0.630849;0.633158;;;0.0750895;-0.543766;0.295267
50;1;0.991983;1.15797;1.15347;0.810662;0.818473;;;-0.0663945;-0.139428;-0.141484
51;1;0.991983;0.845591;1.14663;1.01264;1.01923;;;0.0585567;-0.0164593;0.124951
52;1;0.991983;1.45752;1.15338;0.619022;0.633158;;;-0.186215;-0.407511;-0.244772
53;1;0.991983;1.03173;1.1508;0.745247;0.756701;;;-0.0158997;-0.440901;0.170316
54;1;0.991983;1.05865;1.14888;0.965214;0.972902;;;-0.0266681;-0.056003;-0.0107684
55;1;0.991983;0.852814;1.14283;1.05172;1.06556;;;0.0556675;0.0608988;0.0823356
56;1;0.991983;1.60181;1.15201;0.606927;0.617715;;;-0.24393;-0.451353;-0.299597
57;1;0.991983;1.18621;1.15268;0.660252;0.664044;;;-0.0776917;-0.614506;0.166238
58;1;0.991983;1.03831;1.15048;1.04003;1.05012;;;-0.0185297;-0.0389123;0.059162
59;1;0.991983;0.773965;1.14338;1.11113;1.11189;;;0.0872071;0.144223;0.105737
60;1;0.991983;1.65552;1.15286;0.624335;0.633158;;;-0.265414;-0.413148;-0.352622
61;1;0.991983;0.883624;1.14797;0.913599;0.926573;;;0.0433435;-0.322126;0.308758
62;1;0.991983;0.767879;1.14118;1.09207;1.09644;;;0.0896415;0.188247;0.046298
63;1;0.991983;0.750927;1.13434;1.24486;1.25087;;;0.0964223;0.390734;0.0067808
64;1;0.991983;1.97808;1.14888;0.655196;0.664044;;;-0.394437;-0.437583;-0.490859
65;1;0.991983;0.844774;1.14373;1.04305;1.05012;;;0.0588835;-0.313928;0.45332
66;1;0.991983;0.875649;1.13926;1.00755;1.01923;;;0.0465335;0.0977204;-0.01235
