POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;9.60413;11.1597;11.1597;8.60854;8.61846;;;-0.622245;-1.30671;-0.622245
8;1;9.60413;9.69761;10.4287;8.85983;8.86667;;;-0.0373925;-1.38524;0.584852
9;1;9.60413;7.29362;9.38366;9.73501;9.73541;;;0.924204;0.555589;0.961596
10;1;9.60413;7.93313;9.02103;9.74937;9.76299;;;0.6684;1.40364;-0.255804
11;1;9.60413;7.26211;8.66924;11.8383;11.8452;;;0.936808;3.37094;0.268408
12;1;9.60413;15.4727;9.80315;8.2824;8.28751;;;-2.34741;-1.55863;-3.28422
13;1;9.60413;7.24008;9.43699;11.9059;11.9142;;;0.94562;0.427173;3.29303
14;1;9.60413;11.4865;9.69318;7.45382;7.46014;;;-0.752929;-1.58115;-1.69855
15;1;9.60413;7.70295;9.47204;9.99266;9.99742;;;0.760473;0.0158419;1.5134
16;1;9.60413;10.1027;9.5351;8.54042;8.54951;;;-0.199422;-0.402945;-0.959895
17;1;9.60413;7.20555;9.32333;10.9357;10.9489;;;0.959433;1.61186;1.15886
18;1;9.60413;8.71645;9.27275;9.21281;9.2252;;;0.355071;0.745649;-0.604362
19;1;9.60413;6.87948;9.08866;11.7385;11.7487;;;1.08986;3.03435;0.734787
20;1;9.60413;14.4231;9.46969;8.46448;8.46678;;;-1.92759;-1.01358;-3.01745
21;1;9.60413;7.14872;9.31496;12.0896;12.0934;;;0.982163;1.04896;2.90975
22;1;9.60413;11.7903;9.46967;7.22281;7.22572;;;-0.874474;-1.8364;-1.85664
23;1;9.60413;7.67179;9.36391;9.8789;9.8871;;;0.772935;-0.213232;1.64741
24;1;9.60413;9.99697;9.39908;8.36655;8.37025;;;-0.157135;-0.543215;-0.93007
25;1;9.60413;6.8487;9.26485;10.9815;10.9903;;;1.10217;1.77134;1.25931
26;1;9.60413;8.79212;9.24121;9.02164;9.03215;;;0.324803;0.682086;-0.777368
27;1;9.60413;7.25974;9.14686;11.4618;11.4729;;;0.937758;2.65138;0.612955
28;1;9.60413;13.4826;9.34393;8.83556;8.83909;;;-1.55137;-0.6065;-2.48913
29;1;9.60413;7.02848;9.24326;12.1974;12.2037;;;1.03026;1.55704;2.58163
30;1;9.60413;13.9218;9.4382;5.81058;5.81919;;;-1.72706;-3.62682;-2.75731
31;1;9.60413;10.0864;9.46413;7.39569;7.40498;;;-0.192924;-4.03196;1.53413
32;1;9.60413;10.3017;9.49634;5.31864;5.32276;;;-0.279033;-4.61793;-0.0861084
