
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/FourPeople_1280x704_60.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 1280x704 60Hz
Internal Format                   : 1280x704 60Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 3
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 22.00
Max dQP signaling depth           : 0
FME                               : 2

Processor Frequency (Mhz)        : 2000
Processor Availability             : 1.000
Target FPS                         : 23.500
Budgeting Algorithm                : 2
PID KP                             : 0.400
PID K                              : 0.840
PID KD                             : 0.400
SP                                 : 7.936

Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 22 QP 22 )     517712 bits [Y 43.9537 dB    U 47.0418 dB    V 48.1313 dB] [ET  6.33 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 25 QP 25 )      12352 bits [Y 42.0941 dB    U 46.3102 dB    V 47.6366 dB] [ET  6.45 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 24 QP 24 )      20880 bits [Y 42.6148 dB    U 46.5908 dB    V 47.7871 dB] [ET  8.90 ] [L0 1 0 ] [L1 ]
POC    3 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14656 bits [Y 42.0064 dB    U 46.2757 dB    V 47.5586 dB] [ET 10.30 ] [L0 2 1 0 ] [L1 ]
POC    4 TId: 0 ( P-SLICE, nQP 23 QP 23 )      76032 bits [Y 43.0322 dB    U 46.5381 dB    V 47.7939 dB] [ET 17.01 ] [L0 3 2 1 0 ] [L1 ]
POC    5 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13424 bits [Y 42.0912 dB    U 46.2667 dB    V 47.6313 dB] [ET  9.38 ] [L0 4 3 2 0 ] [L1 ]
POC    6 TId: 0 ( P-SLICE, nQP 24 QP 24 )      23144 bits [Y 42.3668 dB    U 46.3450 dB    V 47.6427 dB] [ET  9.81 ] [L0 5 4 3 0 ] [L1 ]
POC    7 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15240 bits [Y 42.0161 dB    U 46.1934 dB    V 47.5052 dB] [ET  9.97 ] [L0 6 5 4 0 ] [L1 ]
POC    8 TId: 0 ( P-SLICE, nQP 23 QP 23 )      81832 bits [Y 42.9306 dB    U 46.4834 dB    V 47.7482 dB] [ET  9.07 ] [L0 7 6 4 0 ] [L1 ]
POC    9 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14344 bits [Y 42.0777 dB    U 46.2910 dB    V 47.6338 dB] [ET  6.81 ] [L0 8 7 4 0 ] [L1 ]
POC   10 TId: 0 ( P-SLICE, nQP 24 QP 24 )      25696 bits [Y 42.3279 dB    U 46.3036 dB    V 47.5981 dB] [ET  7.53 ] [L0 9 8 4 0 ] [L1 ]
POC   11 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15576 bits [Y 41.9840 dB    U 46.2286 dB    V 47.5417 dB] [ET  6.78 ] [L0 10 8 4 0 ] [L1 ]
POC   12 TId: 0 ( P-SLICE, nQP 23 QP 23 )      84072 bits [Y 42.9511 dB    U 46.4498 dB    V 47.7235 dB] [ET 11.09 ] [L0 11 8 4 0 ] [L1 ]
POC   13 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15136 bits [Y 42.0443 dB    U 46.2751 dB    V 47.5724 dB] [ET  5.72 ] [L0 12 8 4 0 ] [L1 ]
POC   14 TId: 0 ( P-SLICE, nQP 24 QP 24 )      24912 bits [Y 42.3341 dB    U 46.2531 dB    V 47.5216 dB] [ET  7.61 ] [L0 13 12 8 4 ] [L1 ]
POC   15 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15752 bits [Y 42.0133 dB    U 46.1854 dB    V 47.4747 dB] [ET  5.92 ] [L0 14 12 8 4 ] [L1 ]
POC   16 TId: 0 ( P-SLICE, nQP 23 QP 23 )      82496 bits [Y 42.9598 dB    U 46.4573 dB    V 47.7088 dB] [ET 11.31 ] [L0 15 12 8 4 ] [L1 ]
POC   17 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13768 bits [Y 42.1246 dB    U 46.2633 dB    V 47.5711 dB] [ET  5.49 ] [L0 16 12 8 4 ] [L1 ]
POC   18 TId: 0 ( P-SLICE, nQP 24 QP 24 )      23152 bits [Y 42.3754 dB    U 46.3311 dB    V 47.5658 dB] [ET  9.49 ] [L0 17 16 12 8 ] [L1 ]
POC   19 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15768 bits [Y 42.0178 dB    U 46.1883 dB    V 47.4835 dB] [ET  6.89 ] [L0 18 16 12 8 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 23 QP 23 )      79464 bits [Y 42.9504 dB    U 46.4787 dB    V 47.7194 dB] [ET  9.51 ] [L0 19 16 12 8 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14296 bits [Y 42.0947 dB    U 46.3111 dB    V 47.5566 dB] [ET  6.55 ] [L0 20 16 12 8 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 24 QP 24 )      23848 bits [Y 42.3683 dB    U 46.3232 dB    V 47.5480 dB] [ET  6.31 ] [L0 21 20 16 12 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16736 bits [Y 42.0362 dB    U 46.2250 dB    V 47.4699 dB] [ET  6.38 ] [L0 22 20 16 12 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 23 QP 23 )     103704 bits [Y 43.0313 dB    U 46.5225 dB    V 47.7629 dB] [ET 13.55 ] [L0 23 20 16 12 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15600 bits [Y 42.0920 dB    U 46.2743 dB    V 47.6134 dB] [ET  6.11 ] [L0 24 20 16 12 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 24 QP 24 )      29528 bits [Y 42.2901 dB    U 46.3135 dB    V 47.5782 dB] [ET  7.83 ] [L0 25 24 20 16 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16568 bits [Y 42.0306 dB    U 46.2478 dB    V 47.5404 dB] [ET  5.77 ] [L0 26 24 20 16 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 23 QP 23 )      98120 bits [Y 42.9922 dB    U 46.5094 dB    V 47.7598 dB] [ET 11.91 ] [L0 27 24 20 16 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18000 bits [Y 42.0272 dB    U 46.2355 dB    V 47.6472 dB] [ET  6.20 ] [L0 28 24 20 16 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 24 QP 24 )      35016 bits [Y 42.1937 dB    U 46.2405 dB    V 47.5603 dB] [ET  8.07 ] [L0 29 28 24 20 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18160 bits [Y 41.9629 dB    U 46.1797 dB    V 47.5162 dB] [ET  5.78 ] [L0 30 28 24 20 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 23 QP 23 )      91872 bits [Y 42.9985 dB    U 46.4791 dB    V 47.7414 dB] [ET 10.96 ] [L0 31 28 24 20 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16784 bits [Y 42.0606 dB    U 46.2367 dB    V 47.5867 dB] [ET  5.55 ] [L0 32 28 24 20 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 24 QP 24 )      37080 bits [Y 42.1997 dB    U 46.2238 dB    V 47.5064 dB] [ET 10.11 ] [L0 33 32 28 24 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 25 QP 25 )      17520 bits [Y 41.9011 dB    U 46.1199 dB    V 47.4720 dB] [ET  7.56 ] [L0 34 32 28 24 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 23 QP 23 )      88600 bits [Y 42.9575 dB    U 46.4748 dB    V 47.7234 dB] [ET  8.67 ] [L0 35 32 28 24 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 25 QP 25 )      12024 bits [Y 41.9932 dB    U 46.1959 dB    V 47.5996 dB] [ET  6.97 ] [L0 36 32 28 24 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 24 QP 24 )      34352 bits [Y 42.1214 dB    U 46.2173 dB    V 47.5118 dB] [ET  6.54 ] [L0 37 36 32 28 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13792 bits [Y 41.8448 dB    U 46.1367 dB    V 47.4513 dB] [ET  6.20 ] [L0 38 36 32 28 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 23 QP 23 )      88016 bits [Y 42.9890 dB    U 46.4154 dB    V 47.6936 dB] [ET 12.66 ] [L0 39 36 32 28 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 25 QP 25 )      12472 bits [Y 42.0362 dB    U 46.2195 dB    V 47.5722 dB] [ET  5.47 ] [L0 40 36 32 28 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 24 QP 24 )      33480 bits [Y 42.1887 dB    U 46.1812 dB    V 47.5213 dB] [ET 10.69 ] [L0 41 40 36 32 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13704 bits [Y 41.8722 dB    U 46.1430 dB    V 47.4934 dB] [ET  8.02 ] [L0 42 40 36 32 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 23 QP 23 )      83848 bits [Y 42.8868 dB    U 46.4373 dB    V 47.6797 dB] [ET  8.15 ] [L0 43 40 36 32 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15912 bits [Y 41.9751 dB    U 46.2151 dB    V 47.5485 dB] [ET  7.55 ] [L0 44 40 36 32 ] [L1 ]
POC   46 TId: 0 ( P-SLICE, nQP 24 QP 24 )      36800 bits [Y 42.1051 dB    U 46.2130 dB    V 47.4539 dB] [ET  7.97 ] [L0 45 44 40 36 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15848 bits [Y 41.8578 dB    U 46.1387 dB    V 47.4545 dB] [ET  5.91 ] [L0 46 44 40 36 ] [L1 ]
POC   48 TId: 0 ( P-SLICE, nQP 23 QP 23 )      92992 bits [Y 42.9555 dB    U 46.4218 dB    V 47.6471 dB] [ET 10.91 ] [L0 47 44 40 36 ] [L1 ]
POC   49 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18632 bits [Y 42.0366 dB    U 46.2117 dB    V 47.5155 dB] [ET  5.64 ] [L0 48 44 40 36 ] [L1 ]
POC   50 TId: 0 ( P-SLICE, nQP 24 QP 24 )      42288 bits [Y 42.1824 dB    U 46.1515 dB    V 47.3973 dB] [ET 10.08 ] [L0 49 48 44 40 ] [L1 ]
POC   51 TId: 0 ( P-SLICE, nQP 25 QP 25 )      19320 bits [Y 41.9150 dB    U 46.1039 dB    V 47.3782 dB] [ET  7.33 ] [L0 50 48 44 40 ] [L1 ]
POC   52 TId: 0 ( P-SLICE, nQP 23 QP 23 )      90112 bits [Y 42.9161 dB    U 46.4595 dB    V 47.6724 dB] [ET  8.86 ] [L0 51 48 44 40 ] [L1 ]
POC   53 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18912 bits [Y 42.0312 dB    U 46.1738 dB    V 47.5092 dB] [ET  7.17 ] [L0 52 48 44 40 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 24 QP 24 )      39152 bits [Y 42.1644 dB    U 46.1691 dB    V 47.4652 dB] [ET  6.45 ] [L0 53 52 48 44 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18720 bits [Y 41.9315 dB    U 46.1344 dB    V 47.4596 dB] [ET  6.55 ] [L0 54 52 48 44 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 23 QP 23 )      92336 bits [Y 42.9703 dB    U 46.4353 dB    V 47.7258 dB] [ET 12.12 ] [L0 55 52 48 44 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 25 QP 25 )      22088 bits [Y 42.0749 dB    U 46.1521 dB    V 47.5577 dB] [ET  5.76 ] [L0 56 52 48 44 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 24 QP 24 )      37176 bits [Y 42.2413 dB    U 46.2042 dB    V 47.5073 dB] [ET 10.18 ] [L0 57 56 52 48 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 25 QP 25 )      24632 bits [Y 41.9794 dB    U 46.1591 dB    V 47.4650 dB] [ET  7.47 ] [L0 58 56 52 48 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 23 QP 23 )      94944 bits [Y 42.9339 dB    U 46.4551 dB    V 47.7561 dB] [ET  8.77 ] [L0 59 56 52 48 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 25 QP 25 )      21216 bits [Y 42.0883 dB    U 46.2288 dB    V 47.5364 dB] [ET  7.49 ] [L0 60 56 52 48 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 24 QP 24 )      33888 bits [Y 42.2513 dB    U 46.1828 dB    V 47.5323 dB] [ET  6.83 ] [L0 61 60 56 52 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 25 QP 25 )      19104 bits [Y 42.0295 dB    U 46.1294 dB    V 47.4661 dB] [ET  6.50 ] [L0 62 60 56 52 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 23 QP 23 )     100432 bits [Y 43.0218 dB    U 46.4956 dB    V 47.7644 dB] [ET 11.84 ] [L0 63 60 56 52 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16864 bits [Y 42.0952 dB    U 46.3244 dB    V 47.6021 dB] [ET  5.76 ] [L0 64 60 56 52 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 24 QP 24 )      32680 bits [Y 42.3424 dB    U 46.2446 dB    V 47.5373 dB] [ET  9.23 ] [L0 65 64 60 56 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18400 bits [Y 42.0029 dB    U 46.1886 dB    V 47.4501 dB] [ET  6.66 ] [L0 66 64 60 56 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 23 QP 23 )      98976 bits [Y 42.9831 dB    U 46.5404 dB    V 47.7296 dB] [ET 10.46 ] [L0 67 64 60 56 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16744 bits [Y 42.0332 dB    U 46.2171 dB    V 47.5645 dB] [ET  7.21 ] [L0 68 64 60 56 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 24 QP 24 )      37240 bits [Y 42.2849 dB    U 46.2225 dB    V 47.5093 dB] [ET  6.80 ] [L0 69 68 64 60 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 25 QP 25 )      17392 bits [Y 42.0620 dB    U 46.1195 dB    V 47.3903 dB] [ET  6.30 ] [L0 70 68 64 60 ] [L1 ]
