POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.12132;8.26154;8.26154;4.75158;4.75208;;;-0.856088;-1.79778;-0.856088
8;1;6.12132;6.79791;7.52973;4.7466;4.75208;;;-0.270639;-2.36613;0.585449
9;1;6.12132;5.83243;6.96396;4.21072;4.21302;;;0.115556;-2.12346;0.386194
10;1;6.12132;6.94977;6.96041;5.47555;5.4819;;;-0.33138;-0.695897;-0.446935
11;1;6.12132;4.6863;6.50559;6.67521;6.67614;;;0.574006;0.509517;0.905386
12;1;6.12132;6.34427;6.4787;5.91414;5.92144;;;-0.0891791;0.32224;-0.663186
13;1;6.12132;4.69889;6.22444;7.44309;7.44742;;;0.568972;1.51708;0.658152
14;1;6.12132;6.0839;6.20687;5.57629;5.58142;;;0.0149665;0.0314296;-0.554006
15;1;6.12132;4.61387;6.02987;7.10254;7.10739;;;0.602977;1.29768;0.588011
16;1;6.12132;6.39499;6.06639;6.64087;6.64296;;;-0.109468;1.0678;-0.712445
17;1;6.12132;4.86794;5.95744;8.10074;8.10259;;;0.501349;2.12063;0.610817
18;1;6.12132;7.73646;6.10569;4.58628;4.59451;;;-0.646056;-1.35672;-1.14741
19;1;6.12132;6.23807;6.11587;5.33593;5.34091;;;-0.0467023;-1.45479;0.599354
20;1;6.12132;5.86298;6.09781;4.87856;4.88478;;;0.103335;-1.23779;0.150037
21;1;6.12132;5.69274;6.0708;5.05448;5.05894;;;0.171432;-0.877783;0.0680968
22;1;6.12132;5.49187;6.03462;6.35273;6.36099;;;0.25178;0.528737;0.080348
23;1;6.12132;4.90781;5.96834;7.17492;7.18203;;;0.485402;1.54808;0.233623
24;1;6.12132;6.60035;6.00345;6.87742;6.88347;;;-0.191614;1.14569;-0.677016
25;1;6.12132;5.01078;5.9512;8.16937;8.17723;;;0.444216;2.07855;0.63583
26;1;6.12132;7.85856;6.04657;4.56526;4.56963;;;-0.694898;-1.45929;-1.13911
27;1;6.12132;6.21338;6.05451;5.29801;5.29944;;;-0.0368239;-1.53662;0.658074
28;1;6.12132;6.10063;6.05661;4.63476;4.63598;;;0.00827288;-1.51924;0.0450968
29;1;6.12132;6.14087;6.06027;4.58129;4.58622;;;-0.00782152;-1.53567;-0.0160944
30;1;6.12132;6.28775;6.06975;6.02262;6.02926;;;-0.0665723;-0.139802;-0.0587508
31;1;6.12132;4.75261;6.01707;6.92406;6.92494;;;0.547484;1.00991;0.614056
