PS100;PS80;PS60;PS40;PS20
0;0;0.463636;0.536364;0;
0;0;0.318182;0.681818;0;
0;0;0;0.636364;0.363636;
0;0.736364;0.263636;0;0;
0;0.786364;0.213636;0;0;
0;0.836364;0.163636;0;0;
0.363636;0.636364;0;0;0;
0;0;0.636364;0.363636;0;
0;0.0318182;0.968182;0;0;
0;0;0.95;0.05;0;
0;0.313636;0.686364;0;0;
0;0.477273;0.522727;0;0;
0.00909091;0.990909;0;0;0;
0.0909091;0.909091;0;0;0;
0.431818;0.568182;0;0;0;
0;0;0.695455;0.304545;0;
0;0.0363636;0.963636;0;0;
0;0;0.836364;0.163636;0;
0;0.127273;0.872727;0;0;
0;0.604545;0.395455;0;0;
0.00454545;0.995455;0;0;0;
0.0636364;0.936364;0;0;0;
0.486364;0.513636;0;0;0;
0;0;0.554545;0.445455;0;
0;0;0.813636;0.186364;0;
0;0;0.386364;0.613636;0;
0;0;0.136364;0.863636;0;
0;0;0.940909;0.0590909;0;
0;0.390909;0.609091;0;0;
0;0.0590909;0.940909;0;0;
0;0.804545;0.195455;0;0;
0;0.295455;0.704545;0;0;
0;0.981818;0.0181818;0;0;
0.0363636;0.963636;0;0;0;
0.559091;0.440909;0;0;0;
0;0;0.477273;0.522727;0;
0;0;0.713636;0.286364;0;
0;0;0.240909;0.759091;0;
0;0;0;0.836364;0.163636;
0;0.286364;0.713636;0;0;
0;0.586364;0.413636;0;0;
0;0.35;0.65;0;0;
0.05;0.95;0;0;0;
0;0.1;0.9;0;0;
0;0.790909;0.209091;0;0;
0;0.7;0.3;0;0;
0.3;0.7;0;0;0;
0;0;0.695455;0.304545;0;
0;0.104545;0.895455;0;0;
0;0;0.981818;0.0181818;0;
0;0.386364;0.613636;0;0;
0;0.381818;0.618182;0;0;
0;0.881818;0.118182;0;0;
0;0.918182;0.0818182;0;0;
0.431818;0.568182;0;0;0;
0;0;0.504545;0.495455;0;
0;0;0.709091;0.290909;0;
0;0;0.122727;0.877273;0;
0;0;0;0.490909;0.509091;
0.254545;0.745455;0;0;0;
0;0.445455;0.554545;0;0;
0;0.940909;0.0590909;0;0;
0.0272727;0.972727;0;0;0;
0;0.304545;0.695455;0;0;
0;0.813636;0.186364;0;0;
0;0.75;0.25;0;0;
0.340909;0.659091;0;0;0;
0;0;0.677273;0.322727;0;
0;0.104545;0.895455;0;0;
0;0.0409091;0.959091;0;0;
0;0.486364;0.513636;0;0;
0;0.377273;0.622727;0;0;
0;0.963636;0.0363636;0;0;
0.0318182;0.968182;0;0;0;
0.509091;0.490909;0;0;0;
0;0;0.522727;0.477273;0;
0;0;0.759091;0.240909;0;
0;0;0.277273;0.722727;0;
0;0;0;0.854545;0.145455;
0;0.2;0.8;0;0;
0;0.486364;0.513636;0;0;
0;0.154545;0.845455;0;0;
0;0.863636;0.136364;0;0;
0;0.263636;0.736364;0;0;
0;0.872727;0.127273;0;0;
0;0.822727;0.177273;0;0;
0.413636;0.586364;0;0;0;
0;0;0.509091;0.490909;0;
0;0;0.736364;0.263636;0;
0;0;0.177273;0.822727;0;
0;0;0;0.613636;0.386364;
0;0.863636;0.136364;0;0;
0;0.713636;0.286364;0;0;
0;0.618182;0.381818;0;0;
0.177273;0.822727;0;0;0;
0;0;0.859091;0.140909;0;
0;0.368182;0.631818;0;0;
0;0.0863636;0.913636;0;0;
0;0.645455;0.354545;0;0;
0;0.290909;0.709091;0;0;
0;0.822727;0.177273;0;0;
0;0.618182;0.381818;0;0;
0.254545;0.745455;0;0;0;
0;0;0.681818;0.318182;0;
0;0;0.986364;0.0136364;0;
0;0;0.722727;0.277273;0;
0;0;0.736364;0.263636;0;
0;0.309091;0.690909;0;0;
0;0.663636;0.336364;0;0;
0;0.322727;0.677273;0;0;
0;1;0;0;0;
0;0.25;0.75;0;0;
0;0.763636;0.236364;0;0;
0;0.486364;0.513636;0;0;
0.140909;0.859091;0;0;0;
0;0;0.881818;0.118182;0;
0;0.395455;0.604545;0;0;
0;0.0590909;0.940909;0;0;
0;0.636364;0.363636;0;0;
0;0.340909;0.659091;0;0;
