PS100;PS80;PS60;PS40;PS20
0;0;0.504545;0.495455;0;
0;0;0.195455;0.804545;0;
0;0;0;0.727273;0.272727;
0;0.0681818;0.931818;0;0;
0;0.368182;0.631818;0;0;
0;0;0.55;0.45;0;
0;0.0545455;0.945455;0;0;
0;0.277273;0.722727;0;0;
0;0.586364;0.413636;0;0;
0;0.0590909;0.940909;0;0;
0;0.890909;0.109091;0;0;
0;0;0.754545;0.245455;0;
0;0.313636;0.686364;0;0;
0;0;0.813636;0.186364;0;
0;0.427273;0.572727;0;0;
0;0;0.959091;0.0409091;0;
0;0.6;0.4;0;0;
0;0;0.959091;0.0409091;0;
0;0.85;0.15;0;0;
0;0;0.795455;0.204545;0;
0;0.359091;0.640909;0;0;
0;0;0.827273;0.172727;0;
0;0.472727;0.527273;0;0;
0;0.0545455;0.945455;0;0;
0;0.745455;0.254545;0;0;
0;0.181818;0.818182;0;0;
0.136364;0.863636;0;0;0;
0;0;0.472727;0.527273;0;
0;0;0.890909;0.109091;0;
0;0;0.645455;0.354545;0;
0;0;0.845455;0.154545;0;
0;0.0954545;0.904545;0;0;
0;0.540909;0.459091;0;0;
0;0;0.95;0.05;0;
0;0.695455;0.304545;0;0;
0;0;0.709091;0.290909;0;
0;0.0954545;0.904545;0;0;
0;0;0.85;0.15;0;
0;0.136364;0.863636;0;0;
0;0.0272727;0.972727;0;0;
0;0.490909;0.509091;0;0;
0;0;0.868182;0.131818;0;
0;0.568182;0.431818;0;0;
0;0;0.877273;0.122727;0;
0;0.381818;0.618182;0;0;
0;0;0.768182;0.231818;0;
0;0.345455;0.654545;0;0;
0;0.0409091;0.959091;0;0;
0;0.586364;0.413636;0;0;
0;0.0272727;0.972727;0;0;
0;0.909091;0.0909091;0;0;
0;0;0.795455;0.204545;0;
0;0.363636;0.636364;0;0;
0;0;0.8;0.2;0;
0;0.418182;0.581818;0;0;
0;0.0136364;0.986364;0;0;
0;0.590909;0.409091;0;0;
0;0.0272727;0.972727;0;0;
0;0.927273;0.0727273;0;0;
0;0;0.795455;0.204545;0;
0;0.404545;0.595455;0;0;
0;0;0.945455;0.0545455;0;
0;0.718182;0.281818;0;0;
0;0;0.931818;0.0681818;0;
0;0.681818;0.318182;0;0;
0;0.145455;0.854545;0;0;
0.2;0.8;0;0;0;
0;0;0.572727;0.427273;0;
0;0.227273;0.772727;0;0;
0;0;0.822727;0.177273;0;
0;0.518182;0.481818;0;0;
0;0.0954545;0.904545;0;0;
0;0.836364;0.163636;0;0;
0;0.390909;0.609091;0;0;
0.368182;0.631818;0;0;0;
0;0;0.159091;0.840909;0;
0;0;0.418182;0.581818;0;
0;0;0;0.7;0.3;
0;0;0;0.745455;0.254545;
0;0;0.786364;0.213636;0;
0;0.190909;0.809091;0;0;
0;0;0.681818;0.318182;0;
0;0.136364;0.863636;0;0;
0;0.145455;0.854545;0;0;
0;0.559091;0.440909;0;0;
0;0;0.854545;0.145455;0;
0;0.545455;0.454545;0;0;
0;0;0.954545;0.0454545;0;
0;0.490909;0.509091;0;0;
0;0;0.768182;0.231818;0;
0;0.390909;0.609091;0;0;
0;0;0.968182;0.0318182;0;
0;0.454545;0.545455;0;0;
0;0;0.781818;0.218182;0;
0;0.518182;0.481818;0;0;
0;0.0454545;0.954545;0;0;
0;0.613636;0.386364;0;0;
0;0.00909091;0.990909;0;0;
0.00454545;0.995455;0;0;0;
0;0;0.868182;0.131818;0;
0;0.563636;0.436364;0;0;
0;0.0272727;0.972727;0;0;
0;0.968182;0.0318182;0;0;
0;0;0.863636;0.136364;0;
0;0.545455;0.454545;0;0;
0;0;0.977273;0.0227273;0;
0;0.836364;0.163636;0;0;
0;0;0.822727;0.177273;0;
0;0.436364;0.563636;0;0;
0;0;0.9;0.1;0;
0;0.745455;0.254545;0;0;
0;0;1;0;0;
0;0.809091;0.190909;0;0;
0;0.286364;0.713636;0;0;
0.336364;0.663636;0;0;0;
0;0;0.340909;0.659091;0;
0;0;0.859091;0.140909;0;
0;0;0.659091;0.340909;0;
0;0.0818182;0.918182;0;0;
0;0.395455;0.604545;0;0;
