POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.93501;8.4898;8.4898;4.29994;4.30272;;;-1.02192;-2.14602;-1.02192
8;1;5.93501;8.11152;8.30066;3.41793;3.42321;;;-0.870606;-3.9743;0.151309
9;1;5.93501;6.68364;7.76165;2.35219;2.354;;;-0.299452;-4.60315;0.571154
10;1;5.93501;2.42596;6.42773;8.48025;8.48473;;;1.40362;2.9476;1.70307
11;1;5.93501;7.70463;6.68311;6.34644;6.35492;;;-0.707847;1.46113;-2.11147
12;1;5.93501;5.97378;6.56489;8.07917;8.07946;;;-0.0155093;1.42856;0.692338
13;1;5.93501;6.79588;6.59789;6.82811;6.82917;;;-0.344349;0.705422;-0.32884
14;1;5.93501;5.02682;6.4015;6.8606;6.86366;;;0.363276;0.762879;0.707625
15;1;5.93501;5.07801;6.25445;6.88309;6.88953;;;0.342799;1.48276;-0.0204772
16;1;5.93501;5.96429;6.22543;7.05622;7.06199;;;-0.0117149;1.45816;-0.354514
17;1;5.93501;5.006;6.11458;7.99944;8.00186;;;0.371602;2.23852;0.383317
18;1;5.93501;6.48754;6.14566;5.20978;5.21673;;;-0.221014;-0.46413;-0.592617
19;1;5.93501;5.50096;6.09606;5.96968;5.97553;;;0.17362;-0.0995286;0.394634
20;1;5.93501;5.7193;6.06915;5.79991;5.80307;;;0.0862847;0.0816694;-0.0873352
21;1;5.93501;4.66848;5.97577;6.74097;6.74295;;;0.50661;1.14555;0.420325
22;1;5.93501;5.00336;5.915;6.02465;6.02726;;;0.372658;0.782582;-0.133952
23;1;5.93501;4.73191;5.8454;7.11492;7.12234;;;0.48124;1.79319;0.108582
24;1;5.93501;6.34164;5.87297;6.98671;6.993;;;-0.162651;1.45162;-0.643891
25;1;5.93501;4.98436;5.8262;8.15769;8.16569;;;0.380258;2.25016;0.542909
26;1;5.93501;6.91677;5.88073;4.92642;4.93218;;;-0.392704;-0.824678;-0.772962
27;1;5.93501;6.06818;5.88966;5.4178;5.42367;;;-0.0532681;-0.936541;0.339436
28;1;5.93501;6.09431;5.89896;4.94978;4.95805;;;-0.0637217;-1.07036;-0.0104536
29;1;5.93501;5.90272;5.89912;4.94904;4.94943;;;0.0129147;-1.04324;0.0766364
30;1;5.93501;5.9322;5.9005;5.92389;5.93241;;;0.00112473;0.00236192;-0.01179
31;1;5.93501;4.63493;5.84988;6.7683;6.76881;;;0.520032;1.09443;0.518907
32;1;5.93501;5.96898;5.85446;6.48766;6.49289;;;-0.0135909;1.06589;-0.533623
33;1;5.93501;4.71325;5.81219;7.79641;7.80354;;;0.488705;2.09217;0.502296
34;1;5.93501;5.93221;5.81648;5.44809;5.44954;;;0.00111953;0.002351;-0.487585
35;1;5.93501;5.10281;5.79187;6.46884;6.47564;;;0.332878;0.701395;0.331759
36;1;5.93501;5.90995;5.79581;6.31956;6.32043;;;0.0100219;0.722442;-0.322856
37;1;5.93501;4.71404;5.76091;7.42885;7.43276;;;0.488388;1.74806;0.478366
38;1;5.93501;5.35019;5.74808;5.82091;5.82894;;;0.233929;0.49125;-0.254459
39;1;5.93501;4.84236;5.72063;6.89162;6.89815;;;0.437059;1.40907;0.20313
40;1;5.93501;6.23589;5.73578;6.71446;6.71708;;;-0.120352;1.15633;-0.557411
