POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;34.6543;41.3497;41.3497;30.3692;30.3841;;;-2.67817;-5.62416;-2.67817
8;1;34.6543;28.676;35.0129;35.5343;35.5538;;;2.39129;-0.602453;5.06946
9;1;34.6543;27.7551;32.5936;36.076;36.0886;;;2.75967;5.19286;0.368384
10;1;34.6543;31.3964;32.2943;33.9796;33.989;;;1.30316;2.73663;-1.45652
11;1;34.6543;28.0873;31.4529;40.2906;40.3075;;;2.62677;8.25285;1.32362
12;1;34.6543;46.4049;33.9449;32.7599;32.761;;;-4.70026;-1.6177;-7.32704
13;1;34.6543;27.6906;33.0514;42.1935;42.209;;;2.78545;4.23174;7.48571
14;1;34.6543;46.214;34.6968;24.4706;24.4816;;;-4.6239;-9.7102;-7.40935
15;1;34.6543;31.3779;34.328;31.6648;31.6716;;;1.31053;-6.95809;5.93443
16;1;34.6543;31.6113;34.0563;28.3331;28.344;;;1.21718;-4.40201;-0.0933492
17;1;34.6543;25.402;33.2696;34.9565;34.9596;;;3.70092;3.36992;2.48374
18;1;34.6543;30.7514;33.0597;33.4512;33.4542;;;1.56113;3.27838;-2.13979
19;1;34.6543;28.2488;32.6897;40.471;40.4857;;;2.56219;8.65899;1.00106
20;1;34.6543;46.8474;33.7009;32.9474;32.959;;;-4.87726;-1.58326;-7.43945
21;1;34.6543;27.4782;33.2861;42.541;42.5457;;;2.87044;4.44466;7.7477
22;1;34.6543;46.6266;34.1199;24.1215;24.1251;;;-4.78895;-10.0568;-7.65939
23;1;34.6543;31.7972;33.9832;31.2149;31.216;;;1.14283;-7.65687;5.93178
24;1;34.6543;30.7702;33.8047;28.3404;28.344;;;1.55363;-4.39425;0.410803
25;1;34.6543;25.4297;33.3639;34.6101;34.6228;;;3.68983;3.35441;2.1362
26;1;34.6543;30.1528;33.2034;33.8454;33.8504;;;1.80058;3.78122;-1.88925
27;1;34.6543;27.8241;32.9472;41.0062;41.0205;;;2.73206;9.51855;0.931486
28;1;34.6543;47.7739;33.6212;33.0442;33.0581;;;-5.24785;-1.50194;-7.97992
29;1;34.6543;27.5539;33.3574;42.9444;42.9616;;;2.84015;4.46238;8.08801
30;1;34.6543;47.5727;33.9497;23.5463;23.5507;;;-5.16739;-10.8515;-8.00755
31;1;34.6543;32.4394;33.8893;30.3877;30.4039;;;0.885962;-8.99101;6.05336
32;1;34.6543;30.154;33.7456;27.6575;27.6705;;;1.80012;-5.21075;0.914161
33;1;34.6543;26.8362;33.4897;32.647;32.6619;;;3.12723;1.35644;1.32711
34;1;34.6543;28.9097;33.3261;35.2036;35.2171;;;2.29784;4.82546;-0.829393
35;1;34.6543;28.4306;33.1573;41.165;41.179;;;2.48947;10.0534;0.191635
36;1;34.6543;49.1921;33.6918;32.914;32.9194;;;-5.81512;-2.15839;-8.30459
37;1;34.6543;27.3455;33.4871;42.9886;43.0012;;;2.92351;3.98097;8.73862
38;1;34.6543;47.325;33.9195;23.6215;23.6299;;;-5.06828;-10.6434;-7.99179
39;1;34.6543;32.9348;33.8897;30.1796;30.186;;;0.687772;-9.19907;5.75605
40;1;34.6543;29.7804;33.7688;27.8867;27.8884;;;1.94956;-5.105;1.26179
41;1;34.6543;26.0429;33.5481;33.111;33.1175;;;3.44455;2.12856;1.49499
42;1;34.6543;28.3729;33.4043;35.2298;35.2369;;;2.51255;5.27636;-0.932
43;1;34.6543;28.2828;33.2659;41.4958;41.4959;;;2.54858;10.6284;0.0360316
44;1;34.6543;48.883;33.6769;33.6277;33.6325;;;-5.69148;-1.32372;-8.24006
45;1;34.6543;27.2538;33.5122;43.7583;43.7737;;;2.96018;4.89265;8.65165
46;1;34.6543;49.193;33.9042;22.3893;22.4018;;;-5.81549;-12.2125;-8.77567
