POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;3.67972;4.9113;4.9113;2.89152;2.90292;;;-0.492631;-1.03452;-0.492631
8;1;3.67972;4.53592;4.72361;2.58986;2.60132;;;-0.342479;-1.75373;0.150152
9;1;3.67972;3.83742;4.42821;2.16755;2.17405;;;-0.0630768;-1.88619;0.279402
10;1;3.67972;4.50812;4.44819;3.21263;3.21709;;;-0.33136;-0.695856;-0.268283
11;1;3.67972;3.1828;4.19511;3.63326;3.64436;;;0.198772;-0.278436;0.530132
12;1;3.67972;4.32569;4.21688;2.7891;2.78982;;;-0.258387;-0.821048;-0.457158
13;1;3.67972;3.73083;4.14744;3.08436;3.09142;;;-0.020442;-0.863976;0.237945
14;1;3.67972;3.44411;4.05952;3.85096;3.85799;;;0.0942476;0.19792;0.11469
15;1;3.67972;2.89448;3.93007;4.28595;4.29783;;;0.314097;0.857524;0.21985
16;1;3.67972;4.94047;4.03111;3.41628;3.41816;;;-0.504297;-0.2015;-0.818394
17;1;3.67972;2.87743;3.92623;4.49599;4.4989;;;0.320917;0.472425;0.825214
18;1;3.67972;3.21653;3.86709;3.65525;3.65692;;;0.185278;0.389084;-0.135639
19;1;3.67972;2.86762;3.79021;4.40328;4.41093;;;0.324844;1.07126;0.139566
20;1;3.67972;4.96705;3.87427;3.60225;3.60666;;;-0.51493;-0.0100968;-0.839773
21;1;3.67972;2.81007;3.80332;4.74114;4.75023;;;0.347862;0.720413;0.862792
22;1;3.67972;4.03344;3.81771;3.10548;3.11655;;;-0.141487;-0.297123;-0.489349
23;1;3.67972;3.36833;3.79127;3.72338;3.73232;;;0.12456;-0.035548;0.266047
24;1;3.67972;4.42049;3.82623;3.04553;3.05372;;;-0.296304;-0.657786;-0.420864
25;1;3.67972;3.355;3.80143;3.52607;3.53126;;;0.129889;-0.385019;0.426193
26;1;3.67972;3.07612;3.76516;3.93614;3.94596;;;0.241442;0.507027;0.111552
27;1;3.67972;2.97518;3.72754;4.39622;4.39836;;;0.281817;1.09884;0.0403752
28;1;3.67972;4.99779;3.78528;3.65319;3.65692;;;-0.527228;-0.00833616;-0.809045
29;1;3.67972;2.89291;3.74648;4.70218;4.71253;;;0.314725;0.652586;0.841953
