POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;51.9789;65.4488;65.4488;43.3582;43.3594;;;-5.38796;-11.3147;-5.38796
8;1;51.9789;47.6675;56.5582;48.8114;48.8223;;;1.72455;-7.69317;7.11251
9;1;51.9789;38.3991;50.5052;51.2523;51.2552;;;5.43192;3.71387;3.70737
10;1;51.9789;41.4263;48.2354;53.3007;53.3149;;;4.22106;8.86423;-1.21086
11;1;51.9789;39.9791;46.5842;64.302;64.3152;;;4.79992;18.9441;0.57886
12;1;51.9789;75.7474;51.4447;50.9113;50.9119;;;-9.50738;-1.02143;-14.3073
13;1;51.9789;39.8815;49.7928;68.2072;68.2109;;;4.83898;9.14043;14.3464
14;1;51.9789;73.3791;52.7411;33.4438;33.4487;;;-8.56007;-17.9761;-13.3991
15;1;51.9789;57.6571;53.2873;38.9288;38.9414;;;-2.27129;-22.7459;6.28878
16;1;51.9789;57.0517;53.6638;28.2577;28.2695;;;-2.02913;-27.007;0.242158
17;1;51.9789;60.9823;54.3291;21.2388;21.2394;;;-3.60136;-34.5699;-1.57223
18;1;51.9789;35.507;52.7606;66.1223;66.1362;;;6.58878;13.8364;10.1901
19;1;51.9789;65.6009;53.7483;50.5085;50.5089;;;-5.44878;2.39399;-12.0376
20;1;51.9789;53.3037;53.7165;58.9738;58.9867;;;-0.529926;1.28115;4.91886
21;1;51.9789;38.184;52.681;62.6187;62.6286;;;5.51795;12.8688;6.04788
22;1;51.9789;53.3208;52.721;45.6022;45.6132;;;-0.536736;-1.12715;-6.05469
23;1;51.9789;41.0777;52.0361;58.3653;58.3748;;;4.36048;8.02986;4.89721
24;1;51.9789;55.1947;52.2116;53.5902;53.5985;;;-1.28633;5.32857;-5.64681
25;1;51.9789;38.5987;51.4951;67.1571;67.1661;;;5.35207;16.5679;6.6384
26;1;51.9789;69.6151;52.4011;35.3397;35.3443;;;-7.05447;-14.8144;-12.4065
27;1;51.9789;54.5137;52.5017;42.5967;42.5982;;;-1.01391;-16.9436;6.04056
