PS100;PS80;PS60;PS40;PS20
0;0;0.791;0.209;0;
0;0.018;0.982;0;0;
0;0.139;0.861;0;0;
0;0.539;0.461;0;0;
0.239;0.761;0;0;0;
0;0.575;0.425;0;0;
0.696;0.304;0;0;0;
0;0;0;0.896;0.104;
0;0;0.197;0.803;0;
0;0;0;0;1;
0;0;0.7;0.3;0;
0;0;0.347;0.653;0;
0;0.332;0.668;0;0;
0;0.455;0.545;0;0;
0;0.881;0.119;0;0;
0;0.573;0.427;0;0;
0.263;0.737;0;0;0;
0;0.552;0.448;0;0;
0.699;0.301;0;0;0;
0;0;0;0.887;0.113;
0;0;0.206;0.794;0;
0;0;0;0;1;
0;0;0.711;0.289;0;
0;0;0.389;0.611;0;
0;0.424;0.576;0;0;
0;0.545;0.455;0;0;
0.037;0.963;0;0;0;
0;0.451;0.549;0;0;
0.188;0.812;0;0;0;
0;0.617;0.383;0;0;
0.701;0.299;0;0;0;
0;0;0;0.899;0.101;
0;0;0.232;0.768;0;
0;0;0;0;1;
0;0;0.776;0.224;0;
0;0;0.439;0.561;0;
0;0.507;0.493;0;0;
0;0.639;0.361;0;0;
0.184;0.816;0;0;0;
0;0.069;0.931;0;0;
0;0.862;0.138;0;0;
0;0.666;0.334;0;0;
0.529;0.471;0;0;0;
0;0;0.227;0.773;0;
0;0;0.514;0.486;0;
0;0;0;0.686;0.314;
0;0;0;0.615;0.385;
0;0.637;0.363;0;0;
0.086;0.914;0;0;0;
0;0.723;0.277;0;0;
0.713;0.287;0;0;0;
0;0;0;0.844;0.156;
0;0;0.261;0.739;0;
0;0;0;0;1;
0;0;0.815;0.185;0;
0;0;0.46;0.54;0;
0;0.522;0.478;0;0;
0;0.645;0.355;0;0;
0.176;0.824;0;0;0;
0;0.092;0.908;0;0;
0;0.866;0.134;0;0;
0;0.68;0.32;0;0;
0.538;0.462;0;0;0;
0;0;0.205;0.795;0;
0;0;0.461;0.539;0;
0;0;0;0.546;0.454;
0;0;0;0.818;0.182;
0;0.035;0.965;0;0;
0;0.745;0.255;0;0;
0;0.443;0.557;0;0;
0.257;0.743;0;0;0;
0;0;0.884;0.116;0;
0;0.587;0.413;0;0;
0;0.274;0.726;0;0;
0;0.92;0.08;0;0;
0;0.6;0.4;0;0;
0.227;0.773;0;0;0;
0;0.54;0.46;0;0;
0.626;0.374;0;0;0;
0;0;0.044;0.956;0;
0;0;0.127;0.873;0;
0;0;0;0;1;
0;0;0.39;0.61;0;
0;0;0;0.889;0.111;
0;0;0.63;0.37;0;
0;0;0.128;0.872;0;
0;0;0;0.261;0.739;
0.924;0.076;0;0;0;
0;0;0.632;0.368;0;
0;0.47;0.53;0;0;
0;0.108;0.892;0;0;
0;0.502;0.498;0;0;
0.157;0.843;0;0;0;
0;0.661;0.339;0;0;
0.655;0.345;0;0;0;
0;0;0;0.964;0.036;
0;0;0.079;0.921;0;
0;0;0;0;1;
0;0;0.362;0.638;0;
0;0;0;0.957;0.043;
0;0;0.688;0.312;0;
0;0;0.387;0.613;0;
0;0;0;0.877;0.123;
0;0.192;0.808;0;0;
0;0.552;0.448;0;0;
0;0.052;0.948;0;0;
0;0.692;0.308;0;0;
0;0.628;0.372;0;0;
0.163;0.837;0;0;0;
0;0.63;0.37;0;0;
0.636;0.364;0;0;0;
0;0;0;0.99;0.01;
0;0;0.029;0.971;0;
0;0;0;0;1;
0;0;0.251;0.749;0;
0;0;0;0.81;0.19;
0;0;0.819;0.181;0;
0;0;0.512;0.488;0;
0;0;0.267;0.733;0;
0;0.177;0.823;0;0;
