POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;4.96501;5.92514;5.92514;4.35053;4.36436;;;-0.384053;-0.806511;-0.384053
8;1;4.96501;4.78209;5.35362;4.65962;4.66432;;;0.0731662;-0.652862;0.457219
9;1;4.96501;3.30224;4.66982;5.30316;5.30923;;;0.665109;0.743867;0.591943
10;1;4.96501;3.75382;4.44082;5.07506;5.08426;;;0.484475;1.0174;-0.180634
11;1;4.96501;3.47432;4.24752;6.45197;6.46406;;;0.596274;2.26957;0.1118
12;1;4.96501;9.80284;5.17341;3.5421;3.55448;;;-1.93513;-1.7942;-2.53141
13;1;4.96501;4.72797;5.10977;5.25765;5.26423;;;0.0948177;-1.59509;2.02995
14;1;4.96501;3.55852;4.91587;5.77035;5.77416;;;0.562597;1.18145;0.467779
15;1;4.96501;4.50344;4.87004;5.87927;5.89414;;;0.184628;1.56917;-0.377969
16;1;4.96501;7.28223;5.11126;4.86653;4.87429;;;-0.92689;-0.377296;-1.11152
17;1;4.96501;3.42229;4.95772;6.50194;6.50905;;;0.617087;0.918587;1.54398
18;1;4.96501;7.1964;5.14428;2.91983;2.92457;;;-0.892557;-1.87437;-1.50964
19;1;4.96501;5.54566;5.17515;3.61158;3.61447;;;-0.232258;-2.36211;0.660299
20;1;4.96501;5.70789;5.2132;2.35971;2.36965;;;-0.297151;-2.98613;-0.0648924
21;1;4.96501;4.63402;5.17459;2.48787;2.48964;;;0.132396;-2.7081;0.429547
22;1;4.96501;5.11201;5.17068;4.73853;4.73931;;;-0.0588002;-0.123481;-0.191196
23;1;4.96501;3.59337;5.0779;5.77818;5.78916;;;0.548657;1.0287;0.607458
24;1;4.96501;6.9596;5.18244;4.16851;4.16939;;;-0.797837;-0.646759;-1.34649
25;1;4.96501;3.85947;5.11281;5.82363;5.83415;;;0.442214;0.281891;1.24005
26;1;4.96501;5.05462;5.1099;4.46545;4.46935;;;-0.0358431;-0.0752704;-0.478057
27;1;4.96501;3.76303;5.04576;5.69485;5.69917;;;0.480792;0.934392;0.516635
28;1;4.96501;6.52537;5.11302;4.41998;4.42436;;;-0.624145;-0.376311;-1.10494
29;1;4.96501;3.75387;5.05392;5.98797;5.99913;;;0.484455;0.641045;1.1086
30;1;4.96501;5.72023;5.08168;3.99721;4.00442;;;-0.302089;-0.634387;-0.786544
31;1;4.96501;4.02112;5.03926;5.2368;5.24923;;;0.377555;0.158478;0.679644
32;1;4.96501;5.63181;5.06205;4.31918;4.31937;;;-0.266721;-0.401637;-0.644276
33;1;4.96501;3.819;5.01601;5.56354;5.56419;;;0.458403;0.56101;0.725125
34;1;4.96501;3.84306;4.97412;5.22466;5.23424;;;0.448782;0.942442;-0.0096216
35;1;4.96501;3.28433;4.91585;6.53431;6.53905;;;0.672273;2.35421;0.223491
36;1;4.96501;9.8613;5.0807;3.51332;3.52449;;;-1.95852;-1.75867;-2.63079
37;1;4.96501;4.55815;5.06385;5.42524;5.42921;;;0.162742;-1.41691;2.12126
38;1;4.96501;3.27109;5.00782;5.88637;5.89414;;;0.677567;1.42289;0.514825
39;1;4.96501;4.7076;4.99872;5.87507;5.87914;;;0.102962;1.63911;-0.574605
