POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;52.27;60.5274;60.5274;46.9853;46.9984;;;-3.30294;-6.93617;-3.30294
8;1;52.27;54.6018;57.5646;47.1445;47.1483;;;-0.932712;-8.89487;2.37023
9;1;52.27;36.8719;50.667;54.1626;54.1643;;;6.15923;4.03952;7.09194
10;1;52.27;50.1727;50.5435;47.4531;47.4631;;;0.838924;1.76174;-5.32031
11;1;52.27;38.4726;48.1293;62.0232;62.0348;;;5.51898;13.3516;4.68005
12;1;52.27;78.8071;53.2423;43.1189;43.1305;;;-10.6148;-8.93958;-16.1338
13;1;52.27;37.9084;51.0517;63.1367;63.1442;;;5.74465;3.12419;16.3595
14;1;52.27;61.7353;52.3871;40.4676;40.4771;;;-3.7861;-7.95081;-9.53075
15;1;52.27;40.5612;51.0731;55.599;55.6035;;;4.68355;1.88464;8.46965
16;1;52.27;68.8476;52.8506;38.8615;38.873;;;-6.63101;-12.0405;-11.3146
17;1;52.27;44.0968;52.0548;52.0914;52.0955;;;3.2693;-5.17495;9.90032
18;1;52.27;47.4764;51.6733;52.0686;52.0805;;;1.91743;4.02661;-1.35187
19;1;52.27;41.3727;50.8809;61.3535;61.3602;;;4.35892;13.1803;2.44149
20;1;52.27;74.5463;52.5713;46.8346;46.8484;;;-8.91051;-5.53173;-13.2694
21;1;52.27;35.9658;51.4643;66.0835;66.0975;;;6.52169;8.16381;15.4322
22;1;52.27;68.5315;52.531;35.341;35.35;;;-6.50458;-13.6596;-13.0263
23;1;52.27;46.4077;52.1708;48.8669;48.8723;;;2.34493;-8.73527;8.8495
24;1;52.27;54.703;52.3115;39.6327;39.6375;;;-0.973198;-10.779;-3.31812
25;1;52.27;38.9308;51.6072;51.0013;51.0161;;;5.33569;0.425972;6.30889
26;1;52.27;43.9041;51.2221;52.2885;52.2904;;;3.34637;7.02737;-1.98933
27;1;52.27;40.6138;50.7169;63.411;63.4141;;;4.66248;16.8186;1.31611
28;1;52.27;80.0963;52.0523;46.6173;46.6236;;;-11.1305;-6.55551;-15.793
29;1;52.27;35.4305;51.3296;67.6223;67.6267;;;6.7358;7.58966;17.8663
30;1;52.27;69.6169;52.0916;34.4322;34.4355;;;-6.93875;-14.5714;-13.6745
31;1;52.27;49.0133;51.9685;46.7217;46.7285;;;1.30268;-11.8357;8.24143
32;1;52.27;50.9082;51.9277;40.0032;40.0123;;;0.544736;-10.6918;-0.757944
33;1;52.27;41.0106;51.5234;48.2395;48.2427;;;4.50377;-1.23389;3.95903
34;1;52.27;43.9715;51.2536;53.0773;53.0849;;;3.31941;6.97077;-1.18436
35;1;52.27;41.7725;50.9267;62.6398;62.6495;;;4.19902;15.7887;0.879609
36;1;52.27;82.7132;51.9863;44.3761;44.3898;;;-12.1773;-9.78359;-16.3763
37;1;52.27;37.0395;51.5041;64.4113;64.4185;;;6.09221;3.01006;18.2695
38;1;52.27;64.7647;51.9185;38.1812;38.1834;;;-4.99788;-10.4956;-11.0901
39;1;52.27;43.7556;51.6711;52.2216;52.2304;;;3.40578;-3.34341;8.40366
40;1;52.27;65.1105;52.0664;37.3029;37.3138;;;-5.13618;-14.1294;-8.54197
41;1;52.27;46.336;51.9027;47.0746;47.0883;;;2.37359;-9.14486;7.50977
42;1;52.27;43.0448;51.6566;55.8006;55.8134;;;3.69008;7.74917;1.31649
43;1;52.27;46.0514;51.5051;60.3091;60.3108;;;2.48747;12.9729;-1.20261
44;1;52.27;73.7453;52.0904;49.0112;49.0222;;;-8.5901;-5.06636;-11.0776
45;1;52.27;40.8454;51.8021;63.1055;63.1142;;;4.56987;4.53036;13.16
46;1;52.27;60.6306;52.0228;42.3494;42.351;;;-3.34423;-7.02287;-7.91409
47;1;52.27;39.002;51.7052;57.0829;57.0876;;;5.3072;4.12224;8.65142
48;1;52.27;71.3912;52.1739;38.8475;38.858;;;-7.64846;-11.9395;-12.9557
49;1;52.27;43.7032;51.9769;53.4617;53.4747;;;3.42673;-4.7434;11.0752
50;1;52.27;49.5944;51.9228;50.5557;50.5663;;;1.07024;2.24749;-2.35649
51;1;52.27;42.2441;51.7077;59.8639;59.8761;;;4.01036;10.6693;2.94012
52;1;52.27;74.7762;52.2092;44.5249;44.5398;;;-9.00248;-8.23595;-13.0128
53;1;52.27;39.4888;51.9385;61.2165;61.2253;;;5.1125;2.50029;14.115
54;1;52.27;56.2129;52.0276;44.6341;44.6447;;;-1.57715;-3.31202;-6.68965
55;1;52.27;37.8884;51.739;59.7394;59.7411;;;5.75265;8.76856;7.32981
56;1;52.27;74.277;52.1898;41.2015;41.2116;;;-8.80278;-9.71728;-14.5554
57;1;52.27;42.785;52.0054;57.4259;57.4324;;;3.794;-1.74989;12.5968
58;1;52.27;51.4499;51.9947;49.0009;49.0072;;;0.328044;0.688892;-3.46595
59;1;52.27;39.1781;51.7529;61.0097;61.0154;;;5.23675;11.6861;4.90871
60;1;52.27;76.9379;52.2193;42.9319;42.9357;;;-9.86716;-9.03496;-15.1039
61;1;52.27;39.7857;51.9932;61.0922;61.1054;;;4.99371;1.45184;14.8609
62;1;52.27;55.803;52.0612;45.0152;45.0195;;;-1.4132;-2.96772;-6.40691
63;1;52.27;36.7439;51.7925;60.6522;60.6556;;;6.21046;10.0742;7.62366
64;1;52.27;75.8227;52.2068;41.0601;41.0617;;;-9.42105;-9.70997;-15.6315
65;1;52.27;41.9319;52.0327;58.5975;58.6018;;;4.13526;-1.02592;13.5563
66;1;52.27;50.9497;52.0146;48.9798;48.9922;;;0.528148;1.10911;-3.60711
67;1;52.27;39.6454;51.8119;60.9307;60.9405;;;5.04985;11.7138;4.5217
68;1;52.27;76.0606;52.203;43.708;43.7152;;;-9.51621;-8.27026;-14.5661
69;1;52.27;37.8559;51.9752;62.741;62.7544;;;5.76564;3.83759;15.2819
70;1;52.27;60.9008;52.1147;40.9807;40.9868;;;-3.45231;-7.24986;-9.21795
71;1;52.27;40.6938;51.939;55.8812;55.8883;;;4.63048;2.47415;8.08279
