POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.65303;0.803256;0.803256;0.556885;0.5549;;;-0.0600905;-0.12619;-0.0600905
8;1;0.65303;0.600977;0.702117;0.620244;0.616556;;;0.0208211;-0.0824658;0.0809116
9;1;0.65303;0.434299;0.612844;0.68973;0.688487;;;0.0874923;0.101268;0.0666712
10;1;0.65303;0.460022;0.574639;0.689062;0.688487;;;0.0772031;0.162126;-0.0102892
11;1;0.65303;0.465463;0.552803;0.857996;0.852902;;;0.0750267;0.319682;-0.0021764
12;1;0.65303;1.2664;0.671736;0.50513;0.503521;;;-0.245347;-0.195547;-0.320374
13;1;0.65303;0.506846;0.64818;0.796388;0.791247;;;0.0584735;-0.0727526;0.303821
14;1;0.65303;0.624521;0.645223;0.612802;0.60628;;;0.0114035;0.0239473;-0.04707
15;1;0.65303;0.433628;0.621712;0.805991;0.801523;;;0.0877607;0.208245;0.0763572
16;1;0.65303;1.00477;0.660018;0.548401;0.544624;;;-0.140696;-0.0872163;-0.228456
17;1;0.65303;0.407065;0.637022;0.863927;0.863178;;;0.0983859;0.119394;0.239082
18;1;0.65303;0.82723;0.652873;0.443156;0.441865;;;-0.0696801;-0.146328;-0.168066
19;1;0.65303;0.506944;0.641648;0.669876;0.667935;;;0.0584343;-0.0236163;0.128114
20;1;0.65303;0.711499;0.646637;0.533559;0.524072;;;-0.0233877;-0.0727305;-0.081822
21;1;0.65303;0.426357;0.631952;0.748757;0.739867;;;0.0906691;0.117675;0.114057
22;1;0.65303;0.496696;0.623498;0.662414;0.65766;;;0.0625335;0.13132;-0.0281356
23;1;0.65303;0.446443;0.613083;0.854032;0.852902;;;0.0826347;0.304853;0.0201012
24;1;0.65303;1.21141;0.646324;0.517882;0.513797;;;-0.223354;-0.16419;-0.305988
25;1;0.65303;0.4382;0.63537;0.849685;0.842626;;;0.0859319;0.0162672;0.309286
26;1;0.65303;0.824055;0.644804;0.457642;0.452141;;;-0.0684101;-0.143661;-0.154342
27;1;0.65303;0.586329;0.64202;0.620467;0.616556;;;0.0266803;-0.0876327;0.0950904
28;1;0.65303;0.69931;0.644624;0.509097;0.503521;;;-0.0185121;-0.126508;-0.0451924
29;1;0.65303;0.503486;0.638487;0.640742;0.637108;;;0.0598175;-0.00089145;0.0783296
30;1;0.65303;0.451461;0.630695;0.722216;0.719315;;;0.0806275;0.169318;0.02081
31;1;0.65303;0.475054;0.624469;0.855624;0.852902;;;0.0711903;0.318817;-0.0094372
32;1;0.65303;1.27603;0.649529;0.501937;0.493245;;;-0.2492;-0.204502;-0.32039
33;1;0.65303;0.4556;0.642346;0.824082;0.822074;;;0.0789719;-0.0386612;0.328172
34;1;0.65303;0.741989;0.645905;0.517124;0.513797;;;-0.0355837;-0.0747258;-0.114556
