POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;28.3534;32.3677;32.3677;25.7842;25.7824;;;-1.60572;-3.37202;-1.60572
8;1;28.3534;27.1071;29.7374;27.3847;27.3695;;;0.498521;-2.32512;2.10424
9;1;28.3534;21.1435;26.8728;30.144;30.1391;;;2.88393;3.73114;2.38541
10;1;28.3534;23.0273;25.9114;28.8781;28.8632;;;2.13043;4.47391;-0.753502
11;1;28.3534;21.0239;24.9339;35.3877;35.3828;;;2.93178;10.6306;0.801346
12;1;28.3534;48.4129;28.8471;23.2141;23.1995;;;-8.02381;-6.21936;-10.9556
13;1;28.3534;21.2013;27.7548;34.7352;34.7292;;;2.86084;-0.211593;10.8846
14;1;28.3534;35.4343;28.7147;20.9607;20.9589;;;-2.83237;-5.94798;-5.69321
15;1;28.3534;22.196;27.9904;29.1785;29.1744;;;2.46297;-0.775755;5.29534
16;1;28.3534;28.0708;27.9985;25.2955;25.2845;;;0.113033;-0.538386;-2.34993
17;1;28.3534;20.6407;27.3296;32.638;32.6287;;;3.08505;5.94022;2.97202
18;1;28.3534;30.7657;27.6159;23.7244;23.713;;;-0.964931;-2.02635;-4.04998
19;1;28.3534;20.1137;27.0388;32.5653;32.5509;;;3.29588;4.89499;4.26081
20;1;28.3534;39.4593;27.926;22.8447;22.8416;;;-4.44237;-4.43398;-7.73825
21;1;28.3534;21.9063;27.5247;32.4879;32.4731;;;2.57882;0.981539;7.02118
22;1;28.3534;31.492;27.7726;23.7658;23.7597;;;-1.25545;-2.63646;-3.83427
23;1;28.3534;20.5426;27.3474;31.9712;31.9596;;;3.1243;3.92457;4.37975
24;1;28.3534;38.6575;27.9757;22.559;22.546;;;-4.12165;-4.7309;-7.24595
25;1;28.3534;23.3455;27.732;30.9491;30.9482;;;2.00314;-0.524305;6.12479
26;1;28.3534;26.9557;27.6932;27.2447;27.2295;;;0.559071;1.17405;-1.44407
27;1;28.3534;22.566;27.449;32.6723;32.6598;;;2.31494;6.03543;1.75587
28;1;28.3534;42.8809;28.1505;22.7762;22.7638;;;-5.81101;-6.1677;-8.12596
29;1;28.3534;25.509;28.0356;29.8171;29.8124;;;1.13775;-3.77843;6.94876
30;1;28.3534;23.3397;27.84;30.4244;30.4192;;;2.00548;4.2115;0.867727
31;1;28.3534;22.6105;27.6308;34.2348;34.2313;;;2.29716;9.03553;0.291682
32;1;28.3534;46.8162;28.3687;23.2755;23.2617;;;-7.38515;-6.47329;-9.68231
33;1;28.3534;24.6985;28.2328;31.6044;31.6017;;;1.46196;-3.40317;8.84711
34;1;28.3534;29.6651;28.2839;26.0519;26.0469;;;-0.524696;-1.10186;-1.98666
35;1;28.3534;23.0226;28.1025;31.1879;31.1816;;;2.13231;3.37599;2.65701
36;1;28.3534;36.8977;28.3957;24.1287;24.1175;;;-3.41773;-3.80123;-5.55004
37;1;28.3534;24.6192;28.2738;30.3597;30.357;;;1.49367;-0.664523;4.9114
38;1;28.3534;25.4453;28.1854;28.7208;28.7076;;;1.16321;2.44275;-0.33046
39;1;28.3534;23.1859;28.0339;32.9401;32.9399;;;2.067;6.78345;0.903792
40;1;28.3534;45.0587;28.5347;22.3784;22.3748;;;-6.68212;-7.249;-8.74913
41;1;28.3534;25.7448;28.455;29.4559;29.4545;;;1.04341;-5.05784;7.72553
42;1;28.3534;24.6637;28.3497;29.6713;29.6568;;;1.47587;3.09932;0.432458
43;1;28.3534;23.748;28.2253;32.9243;32.9088;;;1.84214;6.96782;0.366277
44;1;28.3534;46.412;28.7039;21.9215;21.9081;;;-7.22347;-8.20146;-9.06561
45;1;28.3534;24.0998;28.5858;30.0976;30.0925;;;1.70141;-4.62849;8.92488
46;1;28.3534;25.8723;28.518;28.2398;28.2253;;;0.992434;2.08411;-0.708981
47;1;28.3534;24.1001;28.4102;32.1671;32.1619;;;1.70132;5.65687;0.708881
48;1;28.3534;43.5193;28.77;22.6027;22.5927;;;-6.06637;-7.08249;-7.76768
49;1;28.3534;24.7449;28.6764;29.6467;29.6412;;;1.44339;-4.05138;7.50975
50;1;28.3534;24.4653;28.5807;29.3983;29.3923;;;1.55522;3.26596;0.111828
51;1;28.3534;23.6456;28.471;33.0771;33.0644;;;1.8831;7.22048;0.327887
