PS100;PS80;PS60;PS40;PS20
0.00416667;0.191667;0.804167;0;0;
0.01875;0.4125;0.56875;0;0;
0.00416667;0.8;0.195833;0;0;
0.00625;0.81875;0.175;0;0;
0.758333;0.241667;0;0;0;
0.0208333;0.0270833;0.952083;0;0;
0.654167;0.345833;0;0;0;
0.00208333;0.00208333;0.752083;0.24375;0;
0;0.7375;0.2625;0;0;
0.025;0.25625;0.71875;0;0;
0.25625;0.74375;0;0;0;
0.0104167;0.289583;0.7;0;0;
0.40625;0.59375;0;0;0;
0.0333333;0.0916667;0.875;0;0;
0.51875;0.48125;0;0;0;
0.0104167;0.00208333;0.839583;0.147917;0;
0;0.860417;0.139583;0;0;
0.03125;0.335417;0.633333;0;0;
0.329167;0.670833;0;0;0;
0.0354167;0.00208333;0.960417;0.00208333;0;
0.00625;0.975;0.01875;0;0;
0.0645833;0.4125;0.522917;0;0;
0.372917;0.627083;0;0;0;
0.0125;0.0333333;0.954167;0;0;
0;0.939583;0.0604167;0;0;
0.05625;0.391667;0.552083;0;0;
0.335417;0.664583;0;0;0;
0.0166667;0.0291667;0.954167;0;0;
0;0.960417;0.0395833;0;0;
0.05;0.35625;0.59375;0;0;
0.285417;0.714583;0;0;0;
0.0208333;0.191667;0.7875;0;0;
0.0854167;0.914583;0;0;0;
0.08125;0.214583;0.704167;0;0;
0.1875;0.8125;0;0;0;
0.0291667;0.495833;0.475;0;0;
0.185417;0.814583;0;0;0;
0.08125;0.102083;0.816667;0;0;
0.0375;0.9625;0;0;0;
0.0416667;0.814583;0.14375;0;0;
0.385417;0.614583;0;0;0;
0.08125;0.00208333;0.739583;0.177083;0;
0.00416667;0.770833;0.225;0;0;
0.108333;0.891667;0;0;0;
0.375;0.625;0;0;0;
0.075;0.0895833;0.835417;0;0;
0.214583;0.785417;0;0;0;
0.0270833;0.410417;0.5625;0;0;
0.1375;0.8625;0;0;0;
0.075;0.127083;0.797917;0;0;
0.0479167;0.952083;0;0;0;
0.0354167;0.81875;0.145833;0;0;
0.35;0.65;0;0;0;
0.1125;0.00208333;0.710417;0.175;0;
0.00833333;0.729167;0.2625;0;0;
0.120833;0.879167;0;0;0;
0.389583;0.610417;0;0;0;
0.0833333;0.0229167;0.89375;0;0;
0.15;0.85;0;0;0;
0.0333333;0.716667;0.25;0;0;
0.31875;0.68125;0;0;0;
0.133333;0.00625;0.860417;0;0;
0.01875;0.972917;0.00833333;0;0;
0.0333333;0.95;0.0166667;0;0;
0.460417;0.539583;0;0;0;
0.108333;0.00208333;0.747917;0.141667;0;
0.0104167;0.875;0.114583;0;0;
0.13125;0.86875;0;0;0;
0.3875;0.6125;0;0;0;
0.0895833;0.25625;0.654167;0;0;
0.304167;0.695833;0;0;0;
0.0375;0.397917;0.564583;0;0;
0.0708333;0.929167;0;0;0;
0.10625;0.308333;0.585417;0;0;
0.15625;0.84375;0;0;0;
0.0375;0.666667;0.295833;0;0;
0.272917;0.727083;0;0;0;
0.0875;0.302083;0.610417;0;0;
0.322917;0.677083;0;0;0;
0.0458333;0.3875;0.566667;0;0;
0.0958333;0.904167;0;0;0;
0.0729167;0.464583;0.4625;0;0;
0.402083;0.597917;0;0;0;
0.0416667;0.158333;0.8;0;0;
0.00416667;0.954167;0.0416667;0;0;
0.0895833;0.345833;0.564583;0;0;
0.16875;0.83125;0;0;0;
0.0375;0.585417;0.377083;0;0;
0.197917;0.802083;0;0;0;
0.0791667;0.410417;0.510417;0;0;
0.3375;0.6625;0;0;0;
0.01875;0.339583;0.641667;0;0;
0.0770833;0.922917;0;0;0;
0.0666667;0.354167;0.579167;0;0;
0.239583;0.760417;0;0;0;
0.0229167;0.491667;0.485417;0;0;
0.183333;0.816667;0;0;0;
0.0895833;0.279167;0.63125;0;0;
0.195833;0.804167;0;0;0;
0.0375;0.61875;0.34375;0;0;
0.20625;0.79375;0;0;0;
0.0625;0.427083;0.510417;0;0;
0.40625;0.59375;0;0;0;
0.0291667;0.108333;0.8625;0;0;
0.00208333;0.975;0.0229167;0;0;
0.0604167;0.445833;0.49375;0;0;
0.327083;0.672917;0;0;0;
0.04375;0.339583;0.616667;0;0;
0.141667;0.858333;0;0;0;
0.0958333;0.422917;0.48125;0;0;
0.366667;0.633333;0;0;0;
0.025;0.275;0.7;0;0;
0.102083;0.897917;0;0;0;
0.0708333;0.3625;0.566667;0;0;
0.38125;0.61875;0;0;0;
0.0333333;0.145833;0.820833;0;0;
0.0145833;0.985417;0;0;0;
0.0895833;0.441667;0.46875;0;0;
0.354167;0.645833;0;0;0;
0.03125;0.225;0.74375;0;0;
