POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;1.31509;1.51185;1.51185;1.18916;1.17756;;;-0.0787046;-0.16528;-0.0787046
8;1;1.31509;1.66634;1.58909;1.00371;0.991628;;;-0.140501;-0.460332;-0.0617964
9;1;1.31509;1.12485;1.43434;1.11701;1.11558;;;0.076097;-0.300528;0.216598
10;1;1.31509;1.3;1.40076;1.24865;1.23953;;;0.0060358;0.0126752;-0.0700612
11;1;1.31509;1.14704;1.35001;1.42928;1.42546;;;0.0672202;0.153838;0.0611844
12;1;1.31509;1.96532;1.45256;0.985559;0.970969;;;-0.260091;-0.392354;-0.327312
13;1;1.31509;1.38796;1.44333;1.13619;1.11558;;;-0.0291478;-0.453565;0.230944
14;1;1.31509;1.23713;1.41756;1.39413;1.38415;;;0.0311834;0.0654851;0.0603312
15;1;1.31509;1.33848;1.40877;1.33441;1.32217;;;-0.009359;0.0458312;-0.0405424
16;1;1.31509;2.05296;1.47319;0.898039;0.888333;;;-0.295149;-0.573982;-0.28579
17;1;1.31509;1.30486;1.45789;1.0428;1.03295;;;0.0040902;-0.565393;0.29924
18;1;1.31509;1.30378;1.44505;1.31823;1.30151;;;0.004521;0.0094941;0.0004308
19;1;1.31509;1.41003;1.44235;1.2593;1.23953;;;-0.0379774;-0.0702584;-0.0424984
20;1;1.31509;1.97157;1.48015;0.862658;0.847015;;;-0.262593;-0.621704;-0.224616
21;1;1.31509;1.35892;1.47207;0.927922;0.908992;;;-0.0175342;-0.658526;0.245059
22;1;1.31509;1.43609;1.46982;1.25518;1.23953;;;-0.0484014;-0.101643;-0.0308672
23;1;1.31509;1.32;1.46101;1.2587;1.23953;;;-0.0019662;-0.105772;0.0464352
24;1;1.31509;1.67907;1.47313;0.978332;0.970969;;;-0.145594;-0.411519;-0.143628
25;1;1.31509;1.2089;1.45922;1.11712;1.11558;;;0.0424738;-0.322324;0.188068
26;1;1.31509;1.13668;1.44309;1.3868;1.38415;;;0.0713646;0.149866;0.0288908
27;1;1.31509;1.39495;1.4408;1.34247;1.32217;;;-0.031947;0.082777;-0.103312
28;1;1.31509;1.89854;1.46161;1.0564;1.0536;;;-0.233383;-0.407327;-0.201436
29;1;1.31509;1.37385;1.45779;1.10353;1.09492;;;-0.0235066;-0.45669;0.209876
30;1;1.31509;1.39288;1.45509;1.28881;1.28085;;;-0.031115;-0.0653415;-0.0076084
