PS100;PS80;PS60;PS40;PS20
0.197917;0.270833;0.53125;0;0;
0.161458;0.265625;0.572917;0;0;
0.114583;0.473958;0.411458;0;0;
0.151042;0.697917;0.151042;0;0;
0.328125;0.671875;0;0;0;
0.276042;0.0989583;0.625;0;0;
0.15625;0.723958;0.119792;0;0;
0.1875;0.713542;0.0989583;0;0;
0.192708;0.755208;0.0520833;0;0;
0.255208;0.291667;0.453125;0;0;
0.161458;0.713542;0.125;0;0;
0.171875;0.59375;0.234375;0;0;
0.171875;0.828125;0;0;0;
0.265625;0.21875;0.515625;0;0;
0.140625;0.682292;0.177083;0;0;
0.145833;0.84375;0.0104167;0;0;
0.21875;0.78125;0;0;0;
0.213542;0.395833;0.390625;0;0;
0.208333;0.791667;0;0;0;
0.177083;0.385417;0.4375;0;0;
0.119792;0.796875;0.0833333;0;0;
0.239583;0.197917;0.5625;0;0;
0.078125;0.765625;0.15625;0;0;
0.1875;0.546875;0.265625;0;0;
0.145833;0.854167;0;0;0;
0.296875;0.197917;0.505208;0;0;
0.130208;0.697917;0.171875;0;0;
0.223958;0.776042;0;0;0;
0.177083;0.78125;0.0416667;0;0;
0.21875;0.588542;0.192708;0;0;
0.296875;0.703125;0;0;0;
0.145833;0.375;0.479167;0;0;
0.135417;0.864583;0;0;0;
0.244792;0.223958;0.53125;0;0;
0.135417;0.75;0.114583;0;0;
0.192708;0.625;0.182292;0;0;
0.1875;0.671875;0.140625;0;0;
0.25;0.192708;0.557292;0;0;
0.145833;0.572917;0.28125;0;0;
0.15625;0.71875;0.125;0;0;
0.192708;0.739583;0.0677083;0;0;
0.255208;0.244792;0.5;0;0;
0.161458;0.604167;0.234375;0;0;
0.166667;0.625;0.208333;0;0;
0.140625;0.802083;0.0572917;0;0;
0.213542;0.260417;0.526042;0;0;
0.135417;0.458333;0.40625;0;0;
0.15625;0.760417;0.0833333;0;0;
0.197917;0.588542;0.213542;0;0;
0.197917;0.192708;0.609375;0;0;
0.125;0.520833;0.354167;0;0;
0.166667;0.661458;0.171875;0;0;
0.151042;0.822917;0.0260417;0;0;
0.270833;0.135417;0.59375;0;0;
0.145833;0.53125;0.322917;0;0;
0.140625;0.755208;0.104167;0;0;
0.229167;0.526042;0.244792;0;0;
0.255208;0.00520833;0.723958;0.015625;0;
0.130208;0.338542;0.53125;0;0;
0.151042;0.75;0.0989583;0;0;
0.171875;0.671875;0.15625;0;0;
0.223958;0.140625;0.635417;0;0;
0.135417;0.427083;0.4375;0;0;
0.135417;0.776042;0.0885417;0;0;
0.1875;0.651042;0.161458;0;0;
0.208333;0.166667;0.625;0;0;
0.119792;0.583333;0.296875;0;0;
0.145833;0.625;0.229167;0;0;
0.145833;0.765625;0.0885417;0;0;
0.15625;0.0989583;0.682292;0;0.0625;
0.125;0.536458;0.338542;0;0;
0.15625;0.53125;0.3125;0;0;
0.114583;0.760417;0.125;0;0;
0.21875;0.265625;0.515625;0;0;
0.135417;0.463542;0.401042;0;0;
0.135417;0.786458;0.078125;0;0;
0.161458;0.734375;0.104167;0;0;
0.213542;0.203125;0.583333;0;0;
0.130208;0.588542;0.28125;0;0;
0.192708;0.578125;0.229167;0;0;
0.208333;0.526042;0.265625;0;0;
0.21875;0.114583;0.666667;0;0;
0.140625;0.427083;0.432292;0;0;
0.130208;0.734375;0.135417;0;0;
0.171875;0.802083;0.0260417;0;0;
0.270833;0.109375;0.619792;0;0;
0.130208;0.572917;0.296875;0;0;
0.208333;0.75;0.0416667;0;0;
0.182292;0.692708;0.125;0;0;
0.223958;0.375;0.401042;0;0;
0.135417;0.71875;0.145833;0;0;
0.171875;0.692708;0.135417;0;0;
0.135417;0.677083;0.1875;0;0;
0.203125;0.338542;0.458333;0;0;
0.161458;0.53125;0.307292;0;0;
0.161458;0.541667;0.296875;0;0;
0.177083;0.510417;0.3125;0;0;
0.197917;0.0572917;0.744792;0;0;
0.0989583;0.411458;0.489583;0;0;
0.130208;0.828125;0.0416667;0;0;
0.15625;0.765625;0.078125;0;0;
0.239583;0.223958;0.536458;0;0;
0.125;0.526042;0.348958;0;0;
0.151042;0.770833;0.078125;0;0;
0.145833;0.729167;0.125;0;0;
0.192708;0.369792;0.4375;0;0;
0.125;0.625;0.25;0;0;
0.140625;0.692708;0.166667;0;0;
0.125;0.875;0;0;0;
0.21875;0.28125;0.5;0;0;
0.109375;0.729167;0.161458;0;0;
0.161458;0.666667;0.171875;0;0;
0.151042;0.723958;0.125;0;0;
0.208333;0.302083;0.489583;0;0;
0.145833;0.520833;0.333333;0;0;
0.151042;0.458333;0.390625;0;0;
0.145833;0.541667;0.3125;0;0;
0.15625;0.140625;0.703125;0;0;
0.078125;0.552083;0.369792;0;0;
0.119792;0.802083;0.078125;0;0;
