POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;11.6832;12.5946;12.5946;11.1;11.0893;;;-0.364537;-0.765527;-0.364537
8;1;11.6832;12.2628;12.4287;10.9113;10.9073;;;-0.231828;-1.25237;0.132708
9;1;11.6832;9.97419;11.6105;11.7565;11.7417;;;0.683609;0.183213;0.915438
10;1;11.6832;10.1714;11.2507;11.9672;11.954;;;0.604731;1.26994;-0.078878
11;1;11.6832;9.65613;10.9318;13.6458;13.6379;;;0.810832;2.97268;0.206101
12;1;11.6832;18.1729;12.1387;9.69169;9.67853;;;-2.59586;-2.47862;-3.40669
13;1;11.6832;10.2134;11.8636;12.7411;12.7277;;;0.587919;-1.24399;3.18378
14;1;11.6832;12.0732;11.8898;10.8457;10.8315;;;-0.155976;-0.32755;-0.743895
15;1;11.6832;10.0964;11.6905;12.5272;12.5153;;;0.634724;1.00537;0.7907
16;1;11.6832;14.4475;11.9662;10.2847;10.2702;;;-1.10573;-1.31667;-1.74046
17;1;11.6832;10.3822;11.8222;12.305;12.303;;;0.520421;-0.223783;1.62615
18;1;11.6832;11.0513;11.758;11.5672;11.5596;;;0.252756;0.530788;-0.267664
19;1;11.6832;9.14626;11.5571;13.5849;13.5772;;;1.01478;2.66183;0.762025
20;1;11.6832;17.3347;11.9698;9.71334;9.70887;;;-2.26058;-2.08539;-3.27536
21;1;11.6832;9.97658;11.8369;12.9507;12.9401;;;0.682655;-0.65181;2.94323
22;1;11.6832;12.2732;11.8642;10.623;10.6191;;;-0.236004;-0.495608;-0.918659
23;1;11.6832;9.51409;11.7259;12.8118;12.8036;;;0.867648;1.32645;1.10365
24;1;11.6832;15.1109;11.914;9.94828;9.93642;;;-1.37108;-1.55282;-2.23873
25;1;11.6832;9.79028;11.8022;12.713;12.7125;;;0.757174;0.0372408;2.12826
26;1;11.6832;12.0882;11.8165;10.6669;10.6646;;;-0.161982;-0.340161;-0.919155
27;1;11.6832;9.55848;11.709;12.8649;12.8643;;;0.849892;1.44461;1.01187
28;1;11.6832;15.0221;11.8596;10.1411;10.1336;;;-1.33554;-1.36003;-2.18544
29;1;11.6832;10.2636;11.7902;12.5673;12.5608;;;0.567841;-0.167564;1.90339
30;1;11.6832;13.1565;11.8471;10.1725;10.164;;;-0.589318;-1.23757;-1.15716
31;1;11.6832;9.46084;11.7517;12.4573;12.4547;;;0.88895;0.629227;1.47827
32;1;11.6832;14.6805;11.8643;9.5052;9.49649;;;-1.19893;-1.88853;-2.08788
33;1;11.6832;10.9816;11.8316;11.4427;11.4383;;;0.280648;-1.29917;1.47958
34;1;11.6832;9.34833;11.7429;12.8969;12.8946;;;0.933955;1.96131;0.653306
35;1;11.6832;12.0881;11.7548;12.4514;12.4395;;;-0.161963;1.62118;-1.09592
36;1;11.6832;14.0875;11.8326;11.9276;11.9237;;;-0.961713;-0.398414;-0.79975
37;1;11.6832;9.53594;11.7585;13.6208;13.6076;;;0.858908;1.40529;1.82062
38;1;11.6832;14.6776;11.8497;8.90787;8.90485;;;-1.19777;-2.51533;-2.05668
39;1;11.6832;9.63696;11.7827;11.6753;11.6658;;;0.818502;-0.796472;2.01628
40;1;11.6832;12.1297;11.7929;9.78247;9.76955;;;-0.178609;-1.17155;-0.997111
41;1;11.6832;10.4427;11.7543;11.4842;11.4838;;;0.496199;-0.129534;0.674808
42;1;11.6832;10.1225;11.709;12.1859;12.1816;;;0.624294;1.31102;0.128095
43;1;11.6832;11.0125;11.6902;12.7992;12.7884;;;0.268272;1.87439;-0.356022
44;1;11.6832;16.5004;11.8167;10.2064;10.1943;;;-1.92686;-2.17202;-2.19513
45;1;11.6832;10.7225;11.7887;12.0529;12.0451;;;0.384289;-1.36501;2.31115
46;1;11.6832;11.149;11.7727;11.6408;11.6355;;;0.213675;0.448718;-0.170614
47;1;11.6832;10.546;11.7428;12.6461;12.6367;;;0.454904;1.40402;0.241229
48;1;11.6832;15.6147;11.835;10.1162;10.1033;;;-1.57259;-1.89841;-2.02749
49;1;11.6832;10.9218;11.8137;11.8447;11.8327;;;0.304574;-1.25881;1.87716
50;1;11.6832;10.6349;11.7869;12.0496;12.0451;;;0.41934;0.880615;0.114766
51;1;11.6832;10.4454;11.7571;12.9367;12.9249;;;0.49511;1.92035;0.0757692
52;1;11.6832;16.9222;11.8694;9.75548;9.75438;;;-2.09561;-2.48043;-2.59072
53;1;11.6832;11.6564;11.8649;11.3155;11.3017;;;0.0107232;-2.45791;2.10633
54;1;11.6832;10.6842;11.8403;12.3118;12.303;;;0.399592;0.839144;0.388869
55;1;11.6832;11.9102;11.8417;11.9775;11.9692;;;-0.090782;0.648502;-0.490374
56;1;11.6832;13.789;11.8806;11.0748;11.0742;;;-0.842314;-1.12036;-0.751532
57;1;11.6832;11.0391;11.8641;11.8174;11.8023;;;0.257662;-0.579265;1.09998
58;1;11.6832;11.1995;11.8514;11.7351;11.7265;;;0.193488;0.406325;-0.0641744
59;1;11.6832;10.4533;11.825;12.6832;12.6822;;;0.491949;1.43942;0.298461
60;1;11.6832;16.42;11.9101;9.59916;9.58751;;;-1.8947;-2.53946;-2.38665
61;1;11.6832;11.0773;11.8949;11.4263;11.4231;;;0.242375;-2.03047;2.13708
62;1;11.6832;10.7337;11.8742;12.0485;12.0451;;;0.379805;0.797591;0.13743
63;1;11.6832;11.1064;11.8607;12.4701;12.4698;;;0.230707;1.28208;-0.149098
64;1;11.6832;15.6317;11.9257;10.2075;10.1943;;;-1.5794;-2.03466;-1.8101
65;1;11.6832;11.377;11.9164;11.4239;11.4231;;;0.122484;-1.77744;1.70188
66;1;11.6832;11.002;11.9012;11.9967;11.9844;;;0.272503;0.572257;0.150019
67;1;11.6832;10.853;11.884;12.5143;12.5002;;;0.332101;1.26967;0.059598
68;1;11.6832;15.9335;11.9493;9.90062;9.89091;;;-1.7001;-2.30054;-2.0322
69;1;11.6832;11.3513;11.9398;11.2952;11.2866;;;0.132749;-2.02177;1.83285
70;1;11.6832;10.5645;11.9184;12.2665;12.2574;;;0.4475;0.939749;0.314751
71;1;11.6832;11.767;11.916;12.1219;12.1209;;;-0.0334956;0.869409;-0.480995
72;1;11.6832;14.3704;11.9532;10.8663;10.8618;;;-1.07489;-1.38786;-1.04139
73;1;11.6832;10.8933;11.9374;11.8758;11.863;;;0.315969;-0.724327;1.39086
74;1;11.6832;11.3537;11.9288;11.5782;11.5748;;;0.13182;0.276823;-0.184148
75;1;11.6832;10.6923;11.9109;12.4624;12.4547;;;0.396366;1.10919;0.264546
76;1;11.6832;17.2325;11.9869;8.84452;8.84417;;;-2.2197;-3.55218;-2.61607
77;1;11.6832;9.33177;11.9495;11.8557;11.8479;;;0.940579;-1.57696;3.16028
78;1;11.6832;11.1611;11.9386;11.0768;11.0742;;;0.208834;0.438551;-0.731746
79;1;11.6832;11.0717;11.9267;12.3043;12.303;;;0.244591;0.952191;0.0357572
80;1;11.6832;14.9946;11.9681;10.2715;10.2702;;;-1.32456;-1.82938;-1.56915
81;1;11.6832;11.2674;11.9588;11.4445;11.4383;;;0.166333;-1.48008;1.49089
82;1;11.6832;10.8491;11.9442;12.0507;12.0451;;;0.333659;0.700684;0.167326
83;1;11.6832;10.6457;11.9273;12.7142;12.7125;;;0.414989;1.57216;0.08133
84;1;11.6832;16.5871;11.9871;9.70188;9.6937;;;-1.96157;-2.54713;-2.37655
85;1;11.6832;10.9126;11.9735;11.5909;11.59;;;0.308264;-1.89977;2.26983
86;1;11.6832;10.8191;11.959;11.928;11.9237;;;0.345626;0.725815;0.0373624
87;1;11.6832;10.6941;11.9434;12.6964;12.6822;;;0.395632;1.55664;0.0500052
88;1;11.6832;16.269;11.9962;9.90929;9.90608;;;-1.83433;-2.29546;-2.22996
89;1;11.6832;10.7666;11.9814;11.8087;11.8023;;;0.366647;-1.5255;2.20098
90;1;11.6832;10.9533;11.9691;11.7837;11.772;;;0.291952;0.613098;-0.0746952
91;1;11.6832;10.7659;11.955;12.5914;12.5912;;;0.366907;1.3836;0.0749556
92;1;11.6832;15.7644;11.9993;10.0879;10.073;;;-1.63248;-2.04461;-1.99939
93;1;11.6832;11.226;11.9904;11.5637;11.5596;;;0.182901;-1.66052;1.81538
94;1;11.6832;9.94822;11.9672;12.6107;12.6064;;;0.693998;1.4574;0.511097
95;1;11.6832;11.6904;11.9641;12.442;12.4395;;;-0.00286077;1.45139;-0.696859
96;1;11.6832;14.7569;11.9951;11.1703;11.1652;;;-1.22946;-1.13049;-1.2266
97;1;11.6832;10.3291;11.9768;12.6488;12.6367;;;0.54164;0.00695709;1.7711
98;1;11.6832;12.3569;11.9809;10.7104;10.7101;;;-0.269486;-0.56592;-0.811125
99;1;11.6832;10.7445;11.9676;11.9875;11.9844;;;0.375467;0.222561;0.644952
100;1;11.6832;13.5041;11.984;10.365;10.3612;;;-0.728335;-1.30694;-1.1038
101;1;11.6832;10.7314;11.9708;11.7138;11.7113;;;0.380745;-0.507379;1.10908
102;1;11.6832;11.2292;11.9631;11.593;11.59;;;0.181597;0.381353;-0.199148
103;1;11.6832;11.319;11.9564;12.116;12.1057;;;0.145666;0.687253;-0.0359304
104;1;11.6832;14.1893;11.9792;10.6209;10.6191;;;-1.00243;-1.41786;-1.1481
105;1;11.6832;11.3499;11.9729;11.4811;11.4686;;;0.133345;-1.13783;1.13578
106;1;11.6832;10.5413;11.9585;12.2807;12.2726;;;0.456758;0.959191;0.323413
107;1;11.6832;11.783;11.9568;12.1218;12.1209;;;-0.0398956;0.87541;-0.496653
108;1;11.6832;14.5413;11.9821;10.7693;10.7556;;;-1.14325;-1.52542;-1.10336
109;1;11.6832;11.3561;11.9761;11.5104;11.4989;;;0.130838;-1.25066;1.27409
110;1;11.6832;10.6937;11.9637;12.1857;12.1816;;;0.395823;0.831228;0.264985
111;1;11.6832;11.3803;11.9582;12.3125;12.303;;;0.121185;1.08572;-0.274638
112;1;11.6832;14.5445;11.9826;10.8165;10.8163;;;-1.1445;-1.31774;-1.26569
113;1;11.6832;11.1642;11.9749;11.8421;11.8327;;;0.207596;-0.881784;1.3521
114;1;11.6832;10.9454;11.9654;11.9478;11.9389;;;0.295126;0.619765;0.0875304
115;1;11.6832;10.3137;11.9502;12.8843;12.8794;;;0.547803;1.77015;0.252676
116;1;11.6832;16.9582;11.9958;9.52959;9.52683;;;-2.10998;-2.66081;-2.65779
117;1;11.6832;10.7174;11.9842;11.7505;11.7417;;;0.386329;-1.84952;2.49631
118;1;11.6832;10.4214;11.9703;12.1045;12.0906;;;0.504735;1.05994;0.118406
119;1;11.6832;10.7689;11.9597;12.8236;12.8187;;;0.365742;1.828;-0.138993
120;1;11.6832;16.4306;11.9989;10.1072;10.1033;;;-1.89895;-2.1598;-2.26469
121;1;11.6832;10.5997;11.9867;12.1158;12.1057;;;0.433405;-1.24965;2.33236
122;1;11.6832;12.8653;11.9943;10.4933;10.4825;;;-0.472838;-0.992959;-0.906242
123;1;11.6832;10.6658;11.9829;11.8143;11.8023;;;0.406984;-0.138293;0.879821
124;1;11.6832;13.0685;11.9921;10.2513;10.2398;;;-0.554117;-1.30194;-0.961101
125;1;11.6832;11.1391;11.985;11.2836;11.2714;;;0.217646;-0.844883;0.771763
126;1;11.6832;10.5705;11.9732;12.1777;12.1664;;;0.44509;0.93469;0.227444
127
