PS100;PS80;PS60;PS40;PS20
0;0;0.613636;0.386364;0;
0;0;0.604545;0.395455;0;
0;0;0.336364;0.663636;0;
0;0.0318182;0.968182;0;0;
0;0.686364;0.313636;0;0;
0.0136364;0.318182;0.668182;0;0;
0.0727273;0.927273;0;0;0;
0.00454545;0.268182;0.727273;0;0;
0;0.931818;0.0681818;0;0;
0.0136364;0.777273;0.209091;0;0;
0.454545;0.545455;0;0;0;
0.00454545;0.00454545;0.604545;0.386364;0;
0;0.0772727;0.922727;0;0;
0;0;0.913636;0.0863636;0;
0;0.327273;0.672727;0;0;
0;0.531818;0.468182;0;0;
0.0590909;0.940909;0;0;0;
0.0227273;0.895455;0.0818182;0;0;
0.572727;0.427273;0;0;0;
0;0;0.5;0.5;0;
0;0;0.863636;0.136364;0;
0;0;0.440909;0.559091;0;
0;0;0.318182;0.681818;0;
0;0.145455;0.854545;0;0;
0;0.663636;0.336364;0;0;
0.00454545;0.309091;0.686364;0;0;
0.0727273;0.927273;0;0;0;
0;0.277273;0.722727;0;0;
0;0.972727;0.0272727;0;0;
0.0272727;0.763636;0.209091;0;0;
0.495455;0.504545;0;0;0;
0;0;0.640909;0.359091;0;
0;0.159091;0.840909;0;0;
0;0;0.986364;0.0136364;0;
0;0.581818;0.418182;0;0;
0;0.413636;0.586364;0;0;
0.1;0.9;0;0;0;
0.0318182;0.813636;0.154545;0;0;
0.6;0.4;0;0;0;
0.00909091;0.00454545;0.4;0.586364;0;
0;0;0.686364;0.313636;0;
0;0;0.345455;0.427273;0.227273;
0;0;0.422727;0.577273;0;
0;0.00454545;0.940909;0.0545455;0;
0;0.677273;0.322727;0;0;
0;0.390909;0.609091;0;0;
0.0681818;0.931818;0;0;0;
0;0.222727;0.777273;0;0;
0;0.859091;0.140909;0;0;
0.00454545;0.690909;0.304545;0;0;
0.309091;0.690909;0;0;0;
0.00454545;0.00454545;0.836364;0.154545;0;
0;0.4;0.6;0;0;
0;0.159091;0.840909;0;0;
0;0.75;0.25;0;0;
0;0.354545;0.645455;0;0;
0;0.927273;0.0727273;0;0;
0.0181818;0.763636;0.218182;0;0;
0.336364;0.663636;0;0;0;
0;0.00454545;0.886364;0.109091;0;
0;0.477273;0.522727;0;0;
0.00909091;0.140909;0.85;0;0;
0;0.786364;0.213636;0;0;
0;0.386364;0.613636;0;0;
0;0.954545;0.0454545;0;0;
0.0318182;0.786364;0.181818;0;0;
0.404545;0.595455;0;0;0;
0;0.00454545;0.777273;0.218182;0;
0;0.331818;0.668182;0;0;
0;0.0818182;0.918182;0;0;
0;0.713636;0.286364;0;0;
0;0.372727;0.627273;0;0;
0;0.995455;0.00454545;0;0;
0.0181818;0.881818;0.1;0;0;
0.536364;0.463636;0;0;0;
0;0;0.536364;0.463636;0;
0;0;0.9;0.1;0;
0;0;0.586364;0.413636;0;
0;0;0.586364;0.413636;0;
0;0.313636;0.686364;0;0;
0;0.763636;0.236364;0;0;
0.0136364;0.481818;0.504545;0;0;
0.168182;0.831818;0;0;0;
0;0.0681818;0.931818;0;0;
0;0.786364;0.213636;0;0;
0.00454545;0.422727;0.572727;0;0;
0.159091;0.840909;0;0;0;
0.0136364;0.0818182;0.904545;0;0;
0;0.75;0.25;0;0;
0.00454545;0.368182;0.627273;0;0;
0.0772727;0.922727;0;0;0;
0.00454545;0.218182;0.777273;0;0;
0;0.827273;0.172727;0;0;
0.0454545;0.395455;0.559091;0;0;
0.0681818;0.931818;0;0;0;
0.0136364;0.25;0.736364;0;0;
0.00909091;0.7;0.290909;0;0;
0.0409091;0.254545;0.704545;0;0;
0;0.854545;0.145455;0;0;
0;0.404545;0.595455;0;0;
0;0.777273;0.222727;0;0;
0.0409091;0.372727;0.586364;0;0;
0;0.959091;0.0409091;0;0;
0.0136364;0.318182;0.668182;0;0;
0.00454545;0.704545;0.290909;0;0;
0.0454545;0.204545;0.75;0;0;
0;0.781818;0.218182;0;0;
0.00909091;0.368182;0.622727;0;0;
0.00909091;0.677273;0.313636;0;0;
0.0318182;0.190909;0.777273;0;0;
0;0.772727;0.227273;0;0;
0.0136364;0.345455;0.640909;0;0;
0;0.704545;0.295455;0;0;
0.05;0.222727;0.727273;0;0;
0.00909091;0.772727;0.218182;0;0;
0.0136364;0.368182;0.618182;0;0;
0.00454545;0.718182;0.277273;0;0;
0.05;0.286364;0.663636;0;0;
0;0.877273;0.122727;0;0;
0.0136364;0.418182;0.568182;0;0;
