PS100;PS80;PS60;PS40;PS20
0.0318182;0.00454545;0.686364;0.277273;0;
0.0227273;0.00454545;0.595455;0.318182;0.0590909;
0.00454545;0.00454545;0.727273;0.263636;0;
0.00454545;0.213636;0.781818;0;0;
0;0.881818;0.118182;0;0;
0.109091;0.00454545;0.763636;0.122727;0;
0.00454545;0.736364;0.259091;0;0;
0.0454545;0.0272727;0.927273;0;0;
0.0136364;0.527273;0.459091;0;0;
0.0454545;0.00454545;0.804545;0.145455;0;
0.00909091;0.518182;0.472727;0;0;
0.00909091;0.218182;0.772727;0;0;
0;0.781818;0.218182;0;0;
0.0863636;0.00454545;0.768182;0.140909;0;
0.00909091;0.677273;0.313636;0;0;
0.0318182;0.113636;0.854545;0;0;
0;0.722727;0.277273;0;0;
0.0681818;0.00454545;0.718182;0.209091;0;
0;0.6;0.4;0;0;
0.0272727;0.181818;0.790909;0;0;
0;0.731818;0.268182;0;0;
0.0863636;0.00454545;0.818182;0.0909091;0;
0.00454545;0.709091;0.286364;0;0;
0.0318182;0.268182;0.7;0;0;
0.00909091;0.85;0.140909;0;0;
0.0636364;0.0772727;0.859091;0;0;
0.0863636;0.913636;0;0;0;
0.0590909;0.00454545;0.727273;0.209091;0;
0;0.418182;0.581818;0;0;
0.0181818;0.109091;0.872727;0;0;
0;0.740909;0.259091;0;0;
0.05;0.00454545;0.772727;0.172727;0;
0.0136364;0.359091;0.627273;0;0;
0.00909091;0.0818182;0.909091;0;0;
0;0.631818;0.368182;0;0;
0.0227273;0.00454545;0.859091;0.113636;0;
0;0.463636;0.536364;0;0;
0.0318182;0.00454545;0.945455;0.0181818;0;
0;0.540909;0.459091;0;0;
0.0227273;0.00454545;0.945455;0.0272727;0;
0.00454545;0.518182;0.477273;0;0;
0.0181818;0.00454545;0.909091;0.0681818;0;
0;0.627273;0.372727;0;0;
0.0227273;0.00454545;0.963636;0.00909091;0;
0.00909091;0.622727;0.368182;0;0;
0.0545455;0.00454545;0.777273;0.163636;0;
0.00454545;0.5;0.495455;0;0;
0.0136364;0.322727;0.663636;0;0;
0.00454545;0.754545;0.240909;0;0;
0.0818182;0.00454545;0.804545;0.109091;0;
0.00454545;0.681818;0.313636;0;0;
0.0318182;0.145455;0.822727;0;0;
0.0181818;0.690909;0.290909;0;0;
0.0636364;0.00454545;0.804545;0.127273;0;
0;0.527273;0.472727;0;0;
0.00909091;0.381818;0.609091;0;0;
0.00454545;0.754545;0.240909;0;0;
0.0636364;0.0181818;0.918182;0;0;
0;0.922727;0.0772727;0;0;
0.0363636;0.00454545;0.936364;0.0227273;0;
0.00454545;0.681818;0.313636;0;0;
0.0818182;0.00454545;0.872727;0.0409091;0;
0;0.863636;0.136364;0;0;
0.0181818;0.0590909;0.922727;0;0;
0;0.809091;0.190909;0;0;
0.0363636;0.0727273;0.890909;0;0;
0.168182;0.831818;0;0;0;
0.0181818;0.00454545;0.831818;0.145455;0;
0;0.659091;0.340909;0;0;
0.0545455;0.00454545;0.845455;0.0954545;0;
0;0.8;0.2;0;0;
0.0318182;0.172727;0.795455;0;0;
0;0.886364;0.113636;0;0;
0.1;0.00454545;0.85;0.0454545;0;
0;0.909091;0.0909091;0;0;
0.0363636;0.00454545;0.954545;0.00454545;0;
0;0.663636;0.336364;0;0;
0.05;0.00454545;0.754545;0.190909;0;
0.0136364;0.413636;0.572727;0;0;
0.00454545;0.3;0.695455;0;0;
0.00454545;0.713636;0.281818;0;0;
0.1;0.00454545;0.604545;0.290909;0;
0.00454545;0.372727;0.622727;0;0;
0.00454545;0.486364;0.509091;0;0;
0.0136364;0.736364;0.25;0;0;
0.0909091;0.00454545;0.690909;0.213636;0;
0.0136364;0.463636;0.522727;0;0;
0.0136364;0.222727;0.763636;0;0;
0;0.559091;0.440909;0;0;
0.05;0.00454545;0.7;0.245455;0;
0.00454545;0.259091;0.736364;0;0;
0;0.522727;0.477273;0;0;
0.0136364;0.795455;0.190909;0;0;
0.0818182;0.0545455;0.863636;0;0;
0.0363636;0.963636;0;0;0;
0.05;0.0363636;0.913636;0;0;
0.0181818;0.704545;0.277273;0;0;
0.0909091;0.00454545;0.795455;0.109091;0;
0.00454545;0.822727;0.172727;0;0;
0.0272727;0.268182;0.704545;0;0;
0.00454545;0.877273;0.118182;0;0;
0.118182;0.00454545;0.777273;0.1;0;
0.00909091;0.863636;0.127273;0;0;
0.0318182;0.254545;0.713636;0;0;
0.00909091;0.640909;0.35;0;0;
0.0909091;0.00454545;0.740909;0.163636;0;
0.0272727;0.4;0.572727;0;0;
0.0136364;0.359091;0.627273;0;0;
0.00909091;0.731818;0.259091;0;0;
0.0681818;0.00454545;0.868182;0.0590909;0;
0.00909091;0.863636;0.127273;0;0;
0.0636364;0.104545;0.831818;0;0;
0.0136364;0.768182;0.218182;0;0;
0.0818182;0.00909091;0.909091;0;0;
0.00454545;0.995455;0;0;0;
0.0272727;0.186364;0.786364;0;0;
0;0.927273;0.0727273;0;0;
0.0863636;0.236364;0.677273;0;0;
0.359091;0.640909;0;0;0;
0.0454545;0.00454545;0.731818;0.218182;0;
