POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.67053;7.9006;7.9006;4.24329;4.24018;;;-0.892025;-1.87325;-0.892025
8;1;5.67053;6.45119;7.17589;4.18969;4.18562;;;-0.312263;-2.529;0.579762
9;1;5.67053;6.00928;6.78702;3.23699;3.2347;;;-0.135499;-2.81355;0.176764
10;1;5.67053;6.1676;6.63217;5.48791;5.48729;;;-0.198825;-0.417532;-0.0633256
11;1;5.67053;4.40273;6.18628;6.26322;6.25894;;;0.507121;0.647422;0.705946
12;1;5.67053;5.2926;6.03733;6.05271;6.04849;;;0.151174;0.964888;-0.355947
13;1;5.67053;4.52854;5.82179;7.21512;7.20986;;;0.456797;1.92416;0.305623
14;1;5.67053;5.71462;5.8084;5.18552;5.18331;;;-0.0176354;-0.0370344;-0.474433
15;1;5.67053;4.32596;5.64368;6.51166;6.50836;;;0.53783;1.09241;0.555466
16;1;5.67053;5.25439;5.60475;6.49145;6.48498;;;0.16646;1.44197;-0.37137
17;1;5.67053;4.65164;5.5181;7.59814;7.59179;;;0.407558;2.29785;0.241098
18;1;5.67053;6.78648;5.6238;4.54877;4.54416;;;-0.446378;-0.937393;-0.853936
19;1;5.67053;5.37373;5.60457;5.36947;5.36258;;;0.11872;-0.688081;0.565098
20;1;5.67053;4.86222;5.55154;5.38105;5.37817;;;0.323324;-0.00910046;0.204604
21;1;5.67053;4.42552;5.47647;6.13492;6.13423;;;0.498005;1.03671;0.17468
22;1;5.67053;4.54739;5.41841;5.89134;5.88481;;;0.449257;0.94344;-0.0487476
23;1;5.67053;4.49463;5.36407;6.91729;6.91367;;;0.470361;1.9312;0.021104
24;1;5.67053;5.64221;5.37952;7.1495;7.14751;;;0.0113301;1.95499;-0.459031
25;1;5.67053;5.47755;5.38468;7.73771;7.73209;;;0.0771957;2.1171;0.0658656
26;1;5.67053;7.14274;5.47258;4.65113;4.64549;;;-0.588883;-1.23665;-0.666079
27;1;5.67053;5.11312;5.45546;5.37951;5.37817;;;0.222965;-0.768428;0.811848
28;1;5.67053;4.8574;5.42828;5.19955;5.1989;;;0.325256;-0.0853909;0.102291
29;1;5.67053;4.23292;5.37631;6.17996;6.1732;;;0.575046;1.12221;0.24979
30;1;5.67053;4.49316;5.33951;5.84901;5.84584;;;0.470949;0.988992;-0.104097
31;1;5.67053;4.3699;5.30073;7.02098;7.015;;;0.520253;2.08152;0.0493044
32;1;5.67053;5.81701;5.32058;7.13806;7.13192;;;-0.0585907;1.95848;-0.578844
33;1;5.67053;5.39018;5.32316;7.86703;7.8646;;;0.112141;2.19398;0.170731
34;1;5.67053;7.39662;5.39721;4.4537;4.45063;;;-0.690434;-1.44991;-0.802574
35;1;5.67053;5.42894;5.39831;5.06568;5.0586;;;0.0966378;-1.24697;0.787072
36;1;5.67053;4.97302;5.38413;4.77334;4.7702;;;0.279007;-0.661056;0.18237
37;1;5.67053;4.90893;5.3688;5.2179;5.21448;;;0.304642;-0.0213087;0.0256344
38;1;5.67053;4.40681;5.33874;6.17468;6.1732;;;0.50549;1.06153;0.200848
39;1;5.67053;4.60716;5.31657;6.90713;6.90588;;;0.425349;1.95476;-0.0801408
40;1;5.67053;5.61247;5.32527;7.23711;7.23325;;;0.0232273;2.00354;-0.402122
41;1;5.67053;5.722;5.33661;7.61791;7.61517;;;-0.0205846;1.96031;-0.043812
42;1;5.67053;6.90062;5.38005;4.90386;4.90271;;;-0.492036;-1.03328;-0.471451
43;1;5.67053;4.81555;5.3648;5.67648;5.67436;;;0.341992;-0.315093;0.834028
44;1;5.67053;5.16392;5.35951;5.33768;5.3314;;;0.202645;0.110461;-0.139347
45;1;5.67053;4.49881;5.33744;6.32826;6.3213;;;0.468691;1.09471;0.266046
46;1;5.67053;4.77516;5.32338;5.77488;5.76789;;;0.358149;0.752112;-0.110542
47;1;5.67053;4.6218;5.30627;6.73569;6.7344;;;0.419495;1.63305;0.0613468
48;1;5.67053;5.43858;5.30942;7.03254;7.03059;;;0.0927829;1.8279;-0.326712
49;1;5.67053;5.37446;5.31093;7.59513;7.59179;;;0.118429;2.0766;0.025646
