PS100;PS80;PS60;PS40;PS20
0.0229167;0.0166667;0.960417;0;0;
0;0.433333;0.566667;0;0;
0.0125;0.772917;0.214583;0;0;
0.00625;0.472917;0.520833;0;0;
0.383333;0.616667;0;0;0;
0.00833333;0.25625;0.735417;0;0;
0.545833;0.454167;0;0;0;
0.0104167;0.00208333;0.6625;0.108333;0.216667;
0;0.679167;0.320833;0;0;
0.00833333;0.00208333;0.860417;0.129167;0;
0;0.747917;0.252083;0;0;
0.0145833;0.683333;0.302083;0;0;
0.35625;0.64375;0;0;0;
0.0125;0.277083;0.710417;0;0;
0.541667;0.458333;0;0;0;
0.00208333;0.00208333;0.627083;0.2875;0.08125;
0;0.4375;0.5625;0;0;
0.00208333;0.00208333;0.914583;0.08125;0;
0;0.558333;0.441667;0;0;
0.00208333;0.70625;0.291667;0;0;
0.408333;0.591667;0;0;0;
0.00208333;0.283333;0.714583;0;0;
0.585417;0.414583;0;0;0;
0.0145833;0.00208333;0.54375;0.26875;0.170833;
0;0.433333;0.566667;0;0;
0.00833333;0.00208333;0.795833;0.160417;0.0333333;
0.00208333;0.435417;0.5625;0;0;
0.01875;0.73125;0.25;0;0;
0.410417;0.589583;0;0;0;
0.0145833;0.266667;0.71875;0;0;
0.5;0.5;0;0;0;
0.0291667;0.00208333;0.6125;0.35625;0;
0;0.23125;0.76875;0;0;
0.00625;0.00208333;0.866667;0.125;0;
0;0.327083;0.672917;0;0;
0.00416667;0.7625;0.233333;0;0;
0.452083;0.547917;0;0;0;
0.01875;0.297917;0.683333;0;0;
0.63125;0.36875;0;0;0;
0.00833333;0.00208333;0.64375;0.06875;0.277083;
0;0.764583;0.235417;0;0;
0.00833333;0.00208333;0.879167;0.110417;0;
0;0.845833;0.154167;0;0;
0.00416667;0.71875;0.277083;0;0;
0.422917;0.577083;0;0;0;
0.0145833;0.258333;0.727083;0;0;
0.539583;0.460417;0;0;0;
0.0166667;0.00208333;0.629167;0.291667;0.0604167;
0;0.383333;0.616667;0;0;
0.00208333;0.00208333;0.947917;0.0479167;0;
0;0.560417;0.439583;0;0;
0.0145833;0.71875;0.266667;0;0;
0.414583;0.585417;0;0;0;
0.0229167;0.28125;0.695833;0;0;
0.491667;0.508333;0;0;0;
0.0229167;0.00208333;0.6;0.322917;0.0520833;
0;0.25625;0.74375;0;0;
0.00208333;0.00208333;0.839583;0.133333;0.0229167;
0;0.35625;0.64375;0;0;
0.00208333;0.804167;0.19375;0;0;
0.51875;0.48125;0;0;0;
0.00625;0.272917;0.720833;0;0;
0.672917;0.327083;0;0;0;
0.0125;0.00208333;0.625;0.0583333;0.302083;
0;0.802083;0.197917;0;0;
0.00416667;0.00208333;0.958333;0.0354167;0;
0;0.95;0.05;0;0;
0.025;0.697917;0.277083;0;0;
0.3875;0.6125;0;0;0;
0.0229167;0.441667;0.535417;0;0;
0.714583;0.285417;0;0;0;
0.0104167;0.00208333;0.541667;0.1;0.345833;
0;0.725;0.275;0;0;
0;0.00208333;0.83125;0.166667;0;
0;0.695833;0.304167;0;0;
0.00833333;0.791667;0.2;0;0;
0.427083;0.572917;0;0;0;
0.0291667;0.322917;0.647917;0;0;
0.585417;0.414583;0;0;0;
0.01875;0.00208333;0.63125;0.229167;0.11875;
0;0.510417;0.489583;0;0;
0.00416667;0.00208333;0.991667;0.00208333;0;
0;0.745833;0.254167;0;0;
0.0104167;0.689583;0.3;0;0;
0.479167;0.520833;0;0;0;
0.00416667;0.322917;0.672917;0;0;
0.689583;0.310417;0;0;0;
0.00416667;0.00208333;0.566667;0.10625;0.320833;
0;0.75;0.25;0;0;
0.00416667;0.00208333;0.877083;0.116667;0;
0;0.85;0.15;0;0;
0.00833333;0.79375;0.197917;0;0;
0.539583;0.460417;0;0;0;
0.0166667;0.34375;0.639583;0;0;
0.78125;0.21875;0;0;0;
0;0;0.527083;0.0916667;0.38125;
0;0.78125;0.21875;0;0;
0.00833333;0.00208333;0.822917;0.116667;0.05;
0;0.904167;0.0958333;0;0;
0.0104167;0.722917;0.266667;0;0;
0.508333;0.491667;0;0;0;
0.0166667;0.325;0.658333;0;0;
0.710417;0.289583;0;0;0;
0.00625;0.00208333;0.53125;0.16875;0.291667;
0;0.629167;0.370833;0;0;
0.00625;0.00208333;0.797917;0.189583;0.00416667;
0;0.652083;0.347917;0;0;
0.00208333;0.870833;0.127083;0;0;
0.577083;0.422917;0;0;0;
0.0104167;0.2375;0.752083;0;0;
0.70625;0.29375;0;0;0;
0.00208333;0.00208333;0.572917;0.172917;0.25;
0.00208333;0.65625;0.341667;0;0;
0.0104167;0.00208333;0.858333;0.129167;0;
0;0.752083;0.247917;0;0;
0.0125;0.78125;0.20625;0;0;
0.54375;0.45625;0;0;0;
0.0125;0.304167;0.683333;0;0;
0.747917;0.252083;0;0;0;
0;0;0.570833;0.0395833;0.389583;
