POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;21.2278;26.1353;26.1353;18.0869;18.0833;;;-1.96301;-4.12231;-1.96301
8;1;21.2278;20.3405;23.2379;19.6363;19.6271;;;0.354882;-3.37706;2.31789
9;1;21.2278;14.6887;20.3882;21.6808;21.6771;;;2.61563;2.11577;2.26075
10;1;21.2278;15.8649;19.2574;22.0443;22.0441;;;2.14512;4.50476;-0.47051
11;1;21.2278;15.575;18.5209;27.2052;27.1945;;;2.26111;9.25309;0.115988
12;1;21.2278;34.754;21.2264;19.563;19.5512;;;-5.41049;-2.10893;-7.6716
13;1;21.2278;16.0926;20.493;27.8158;27.8146;;;2.05407;2.20462;7.46456
14;1;21.2278;27.33;21.3476;15.2683;15.2613;;;-2.44089;-5.12587;-4.49496
15;1;21.2278;20.8992;21.2978;18.7531;18.7413;;;0.131425;-4.84987;2.57231
16;1;21.2278;21.8409;21.3521;15.854;15.8434;;;-0.245272;-5.36495;-0.376697
17;1;21.2278;15.6278;20.8317;19.692;19.6904;;;2.23997;-0.661004;2.48524
18;1;21.2278;16.1778;20.4439;22.2198;22.2086;;;2.01999;4.24197;-0.219986
19;1;21.2278;15.5067;20.0641;27.1112;27.1059;;;2.2884;9.04762;0.268417
20;1;21.2278;34.9446;21.127;19.2082;19.1968;;;-5.48675;-2.47456;-7.77515
21;1;21.2278;16.5275;20.8204;27.2481;27.2451;;;1.88011;1.47366;7.36686
22;1;21.2278;24.7541;21.0662;17.0908;17.0836;;;-1.41053;-2.96212;-3.29064
23;1;21.2278;18.8453;20.9356;21.201;21.1963;;;0.952997;-0.960828;2.36353
24;1;21.2278;22.3471;21.014;18.5975;18.5894;;;-0.447738;-1.90108;-1.40074
25;1;21.2278;16.6982;20.7868;22.6733;22.6642;;;1.81183;1.90377;2.25957
26;1;21.2278;15.8523;20.5401;22.8562;22.854;;;2.15017;4.51536;0.33834
27;1;21.2278;15.5186;20.301;27.2468;27.2451;;;2.28364;9.31102;0.13347
28;1;21.2278;35.1148;20.9744;19.3674;19.3614;;;-5.55483;-2.35412;-7.83847
29;1;21.2278;16.3536;20.7735;27.5479;27.5362;;;1.94966;1.74016;7.50448
30;1;21.2278;25.9267;20.9882;16.2708;16.261;;;-1.87957;-3.9471;-3.82923
31;1;21.2278;19.7656;20.9393;20.096;20.0953;;;0.58488;-2.71885;2.46445
32;1;21.2278;22.2574;20.99;17.2651;17.2607;;;-0.411845;-3.58372;-0.996725
33;1;21.2278;18.3483;20.8921;19.8987;19.8928;;;1.15177;-1.16501;1.56361
34;1;21.2278;16.7337;20.7436;22.9522;22.9426;;;1.79762;3.77499;0.645848
35;1;21.2278;15.4052;20.5595;26.9316;26.9287;;;2.32903;8.66595;0.53141
36;1;21.2278;34.0924;21.0106;19.3313;19.3234;;;-5.14587;-2.14038;-7.4749
37;1;21.2278;17.1;20.8845;26.875;26.8655;;;1.65109;1.3269;6.79696
38;1;21.2278;23.8423;20.9769;17.9034;17.8934;;;-1.04582;-2.19623;-2.69691
39;1;21.2278;18.0429;20.888;22.1156;22.1074;;;1.27393;0.479032;2.31976
40;1;21.2278;22.7601;20.9431;19.4522;19.4499;;;-0.612925;-0.808111;-1.88686
41;1;21.2278;16.1934;20.8074;24.2545;24.246;;;2.01372;3.4207;2.62665
42;1;21.2278;15.7788;20.6677;22.7014;22.6895;;;2.17959;4.57714;0.16587
43;1;21.2278;15.687;20.5331;27.1714;27.1692;;;2.2163;9.23137;0.0367064
44;1;21.2278;34.2879;20.895;19.8843;19.8802;;;-5.22408;-1.7392;-7.44038
45;1;21.2278;16.1839;20.7742;27.9407;27.9284;;;2.01754;2.49764;7.24162
46;1;21.2278;26.6896;20.9221;15.7146;15.7042;;;-2.18473;-4.58793;-4.20227
47;1;21.2278;21.013;20.9243;18.962;18.9564;;;0.0858918;-4.40756;2.27062
48;1;21.2278;21.7455;20.9439;16.4029;16.4002;;;-0.207115;-4.8425;-0.293007
49;1;21.2278;17.6845;20.8681;18.86;18.8552;;;1.41729;-1.8662;1.6244
50;1;21.2278;16.5544;20.7701;22.8014;22.7907;;;1.86935;3.92563;0.452061
51;1;21.2278;15.5081;20.6531;26.9446;26.9414;;;2.28784;8.7301;0.418496
52;1;21.2278;33.6443;20.9355;19.7234;19.7157;;;-4.96661;-1.69978;-7.25446
53;1;21.2278;16.6225;20.8438;27.4419;27.4349;;;1.84209;2.16861;6.80871
54;1;21.2278;25.4098;20.9389;16.7091;16.7039;;;-1.67282;-3.51293;-3.51492
55;1;21.2278;19.7042;20.9137;20.3627;20.3611;;;0.609429;-2.23313;2.28225
