PS100;PS80;PS60;PS40;PS20
0;0;0.758242;0.241758;0;
0;0;0.395604;0.604396;0;
0;0;0.318681;0.582418;0.0989011;
0;0.21978;0.681319;0;0.0989011;
0.142857;0.252747;0.604396;0;0;
0;0;0.120879;0.879121;0;
0;0;0.406593;0.516484;0.0769231;
0.164835;0.021978;0.813187;0;0;
0;0.0989011;0.89011;0;0.010989;
0;0;0.725275;0.263736;0.010989;
0.021978;0.0879121;0.802198;0;0.0879121;
0.0989011;0.175824;0.725275;0;0;
0.10989;0.186813;0.703297;0;0;
0;0;0.747253;0.252747;0;
0.10989;0.010989;0.879121;0;0;
0.0769231;0.021978;0.879121;0;0.021978;
0.0659341;0.340659;0.593407;0;0;
0;0;0.461538;0.538462;0;
0;0.043956;0.846154;0;0.10989;
0.021978;0.714286;0.263736;0;0;
0.208791;0.285714;0.505495;0;0;
0;0;0.450549;0.549451;0;
0.043956;0.0989011;0.725275;0;0.131868;
0.0769231;0.395604;0.527473;0;0;
0.208791;0.0879121;0.703297;0;0;
0;0;0.494505;0.505495;0;
0;0.010989;0.89011;0;0.0989011;
0;0.703297;0.296703;0;0;
0.274725;0.21978;0.505495;0;0;
0;0;0.362637;0.637363;0;
0;0.021978;0.857143;0;0.120879;
0.010989;0.758242;0.230769;0;0;
0.186813;0.516484;0.296703;0;0;
0;0;0.692308;0.296703;0.010989;
0.043956;0.527473;0.428571;0;0;
0.0879121;0.032967;0.846154;0;0.032967;
0.043956;0.67033;0.285714;0;0;
0;0;0.78022;0.197802;0.021978;
0.032967;0.582418;0.384615;0;0;
0;0.120879;0.868132;0;0.010989;
0.0549451;0.802198;0.142857;0;0;
0;0;0.692308;0.307692;0;
0.10989;0.516484;0.373626;0;0;
0;0;0.945055;0.021978;0.032967;
0.010989;0.637363;0.351648;0;0;
0;0;0.615385;0.373626;0.010989;
0.153846;0.131868;0.714286;0;0;
0;0;0.945055;0.032967;0.021978;
0.021978;0.406593;0.571429;0;0;
0;0;0.428571;0.571429;0;
0;0.164835;0.703297;0;0.131868;
0.120879;0.494505;0.384615;0;0;
0.252747;0.21978;0.527473;0;0;
0;0;0.78022;0.21978;0;
0.10989;0.406593;0.483516;0;0;
0;0;0.956044;0.010989;0.032967;
0;0.802198;0.197802;0;0;
0;0;0.593407;0.406593;0;
0.10989;0.318681;0.571429;0;0;
0;0.0769231;0.912088;0;0.010989;
0.043956;0.703297;0.252747;0;0;
0;0;0.626374;0.373626;0;
0.0769231;0.428571;0.494505;0;0;
0.0659341;0.0549451;0.835165;0;0.043956;
0.0549451;0.615385;0.32967;0;0;
0;0;0.637363;0.362637;0;
0.0659341;0.296703;0.637363;0;0;
0.0769231;0.0989011;0.824176;0;0;
0.043956;0.582418;0.373626;0;0;
0;0;0.747253;0.252747;0;
0.0549451;0.252747;0.692308;0;0;
0.0879121;0.0989011;0.813187;0;0;
0.032967;0.538462;0.428571;0;0;
0;0;0.747253;0.252747;0;
0.0549451;0.395604;0.549451;0;0;
0.032967;0.10989;0.846154;0;0.010989;
0.0769231;0.648352;0.274725;0;0;
0;0;0.626374;0.373626;0;
0.0659341;0.417582;0.516484;0;0;
0.0879121;0.032967;0.879121;0;0;
0.021978;0.637363;0.340659;0;0;
0;0;0.813187;0.186813;0;
0.0659341;0.626374;0.307692;0;0;
0;0.0659341;0.901099;0;0.032967;
0.043956;0.802198;0.153846;0;0;
0;0;0.527473;0.472527;0;
0.0989011;0.318681;0.582418;0;0;
0.0769231;0.010989;0.89011;0.021978;0;
0.032967;0.593407;0.373626;0;0;
0;0;0.67033;0.32967;0;
0.0659341;0.340659;0.593407;0;0;
0.0549451;0.043956;0.879121;0;0.021978;
0.0549451;0.593407;0.351648;0;0;
0;0;0.593407;0.406593;0;
0.0879121;0.252747;0.659341;0;0;
0.0769231;0.0549451;0.835165;0;0.032967;
0.0879121;0.450549;0.461538;0;0;
0;0;0.56044;0.43956;0;
0.153846;0.0549451;0.791209;0;0;
0;0.164835;0.802198;0;0.032967;
0.142857;0.538462;0.318681;0;0;
0;0;0.505495;0.494505;0;
0.142857;0.175824;0.681319;0;0;
0.0549451;0.0879121;0.813187;0;0.043956;
0.0659341;0.604396;0.32967;0;0;
0;0;0.56044;0.43956;0;
0.10989;0.230769;0.659341;0;0;
0;0.0769231;0.923077;0;0;
0.043956;0.703297;0.252747;0;0;
0;0;0.593407;0.395604;0.010989;
0.0879121;0.43956;0.472527;0;0;
0;0.120879;0.846154;0;0.032967;
0.0659341;0.802198;0.131868;0;0;
0;0;0.527473;0.472527;0;
0.153846;0.373626;0.472527;0;0;
0;0.0659341;0.879121;0;0.0549451;
0.021978;0.802198;0.175824;0;0;
0;0;0.450549;0.549451;0;
0.0989011;0.186813;0.714286;0;0;
0.0769231;0.131868;0.791209;0;0;
